word_phonemic,word_ab,meaning,category,language,match_type,edit_distance,gorila_id,site,seq_type,found_in_both,matched_substring,context
nāna-,NANA,brother (?),luwian_kinship,luwian,exact,0,HT1,Haghia Triada - Portico 11 and Room 13,conventional,True,NANA,UPAARANANANE𐄙𐄋
kup-,KUPA,"to plan, devise",luwian_agriculture_trade,luwian,exact,0,HT1,Haghia Triada - Portico 11 and Room 13,conventional,True,KUPA,DIZAKEKUPAARANAN
xupa-,KUPA,tomb,lycian_agriculture_trade,lycian,exact,0,HT1,Haghia Triada - Portico 11 and Room 13,conventional,True,KUPA,DIZAKEKUPAARANAN
tbi-,TAPI,one (numeral '1'),lycian_number,lycian,exact,0,HT4,Haghia Triada - Portico 11 and Room 13,conventional,False,TAPI,"TEPARETAPISIDU,P"
tār-,TARA,tree/wood,luwian_nature,luwian,exact,0,HT6a,Haghia Triada - Villa Magazine,conventional,False,TARA,APA𐄁DATARA𐄁TE𐄁NI
pddẽ-,PATE,place,lycian_agriculture_trade,lycian,exact,0,HT8a,Haghia Triada - Villa Magazine,conventional,False,PATE,KARATIPATE*QA*IS
aruna-,ARUNA,sea,luwian_nature,luwian,exact,0,HT10b,Haghia Triada - Villa Magazine,conventional,False,ARUNA,ATA¹⁄SARUNATI¹⁄
tarri-,TARI,three,luwian_number,luwian,exact,0,HT10b,Haghia Triada - Villa Magazine,conventional,False,TARI,TIDARETARINATA¹⁄
-tari,TARI,middle voice 3sg [Mediopassive marker],luwian_suffix,luwian,exact,0,HT10b,Haghia Triada - Villa Magazine,conventional,False,TARI,TIDARETARINATA¹⁄
arina-,ARINA,"spring, water source",lycian_agriculture_trade,lycian,exact,0,HT10b,Haghia Triada - Villa Magazine,conventional,False,ARINA,IDARETARINATA¹⁄SA
arina-,ARINA,"spring, source",lycian_nature,lycian,exact,0,HT10b,Haghia Triada - Villa Magazine,conventional,False,ARINA,IDARETARINATA¹⁄SA
tri-,TARI,three,lycian_number,lycian,exact,0,HT10b,Haghia Triada - Villa Magazine,conventional,False,TARI,TIDARETARINATA¹⁄
Arinna,ARINA,toponym: Arinna,toponym,anatolian,exact,0,HT10b,Haghia Triada - Villa Magazine,conventional,False,ARINA,IDARETARINATA¹⁄SA
tede-,TETE,father,lycian_kinship,lycian,exact,0,HT13,Haghia Triada - Villa Magazine,conventional,False,TETE,REZA¹⁄TETEKI¹⁄KU
kup-,KUPA,"to plan, devise",luwian_agriculture_trade,luwian,exact,0,HT16,Haghia Triada - Villa Magazine,conventional,False,KUPA,KAKUPA𐄁DINAU
xupa-,KUPA,tomb,lycian_agriculture_trade,lycian,exact,0,HT16,Haghia Triada - Villa Magazine,conventional,False,KUPA,KAKUPA𐄁DINAU
kup-,KUPA,"to plan, devise",luwian_agriculture_trade,luwian,exact,0,HT24a,Haghia Triada - Corridor 9 and Vestibule 26,conventional,False,KUPA,KUPARIJAKI
xupa-,KUPA,tomb,lycian_agriculture_trade,lycian,exact,0,HT24a,Haghia Triada - Corridor 9 and Vestibule 26,conventional,False,KUPA,KUPARIJAKI
Apasa,APASA,toponym: Apasa,toponym,anatolian,exact,0,HT24a,Haghia Triada - Corridor 9 and Vestibule 26,conventional,False,APASA,UMAMEMAPASAJAMARU
tede-,TETE,father,lycian_kinship,lycian,exact,0,HT26a,Haghia Triada - Villa Magazine,conventional,False,TETE,𐄁*TETE𐄁TATIK
kuen-,KUNA,"to kill, strike",luwian_verb,luwian,exact,0,HT47a,Haghia Triada - Villa Magazine,conventional,True,KUNA,TU+RO𐄁KUNATUDUUP
nāna-,NANA,brother (?),luwian_kinship,luwian,exact,0,HT64,Haghia Triada - Villa Magazine,conventional,False,NANA,𐝫KUZUNANARUMA*M
pddẽ-,PATE,place,lycian_agriculture_trade,lycian,exact,0,HT85b,Haghia Triada - Casa Room 7,conventional,False,PATE,TAQEKAPATETUZADI
