bennett_id,conventional_value,refined_value,decision,confidence,resolved_by_bootstrapping
AB 01,da,da,CONFIRM,73.5,YES
AB 02,ro,ro,CONFIRM,42.8,YES
AB 03,pa,pa,CONFIRM,74.5,NO
AB 04,te,te,CONFIRM,57.6,NO
AB 05,to,to,CONFIRM,65.5,NO
AB 06,na,na,CONFIRM,65.6,NO
AB 07,di,di,CONFIRM,69.2,YES
AB 08,a,a,CONFIRM,65.1,NO
AB 09,se,se,CONFIRM,68.3,NO
AB 10,u,u,CONFIRM,67.3,NO
AB 11,si,si,CONFIRM,73.7,NO
AB 12,so,so,CONFIRM,65.3,NO
AB 13,me,me,CONFIRM,57.5,NO
AB 14,do,do,CONFIRM,61.9,YES
AB 15,mo,mo,CONFIRM,59.3,NO
AB 16,qa,qa,UNCERTAIN,48.1,NO
AB 17,za,za,CONFIRM,78.1,NO
AB 18,zo,zo,CONFIRM,61.6,NO
AB 19,?,?,UNCERTAIN,0.0,NO
AB 20,zo?,zo?,UNCERTAIN,0.0,NO
AB 21,mi,mi,CONFIRM,60.4,NO
AB 21F,?,?,UNCERTAIN,0.0,NO
AB 22,pi,pi,CONFIRM,54.7,NO
AB 22F,?,pa,CONFIRM,57.0,NO
AB 23,mu,mu,CONFIRM,61.5,YES
AB 24,ne,ne,CONFIRM,71.3,NO
AB 26,ru,ru,CONFIRM,72.2,NO
AB 27,re,re,CONFIRM,64.9,NO
AB 28,i,i,CONFIRM,78.7,NO
AB 29,pu,pu,CONFIRM,63.2,YES
AB 30,ni,ni,CONFIRM,62.7,NO
AB 31,sa,sa,CONFIRM,75.3,NO
AB 32,?,i,CONFIRM,67.0,NO
AB 33,?,pa,CONFIRM,57.0,NO
AB 34,ti,ti,CONFIRM,55.0,NO
AB 35,ti,ti,CONFIRM,54.7,NO
AB 36,jo,jo,CONFIRM,59.0,YES
AB 37,?,?,CONFIRM,0.0,YES
AB 38,e,e,CONFIRM,73.5,YES
AB 39,?,?,CONFIRM,41.0,YES
AB 40,wi,wi,CONFIRM,76.4,NO
AB 41,?,si,UNCERTAIN,25.0,NO
AB 42,?,?,UNCERTAIN,0.0,NO
AB 43,?,pa,CONFIRM,57.0,NO
