bennett_id,conventional_value,refined_value,decision,confidence,resolved_by_bootstrapping
AB 01,da,da,CONFIRM,73.5,YES
AB 02,ro,ro,CONFIRM,42.8,YES
AB 03,pa,pa,CONFIRM,74.5,NO
AB 04,te,te,CONFIRM,57.6,NO
AB 05,to,to,CONFIRM,65.5,NO
AB 06,na,na,CONFIRM,65.6,NO
AB 07,di,di,CONFIRM,69.2,YES
AB 08,a,a,CONFIRM,65.1,NO
AB 09,se,se,CONFIRM,68.3,NO
AB 10,u,u,CONFIRM,67.3,NO
AB 11,si,si,CONFIRM,73.7,NO
AB 13,me,me,CONFIRM,57.5,NO
AB 16,qa,qa,UNCERTAIN,48.1,NO
AB 17,za,za,CONFIRM,78.1,NO
AB 20,zo?,zo?,UNCERTAIN,0.0,NO
AB 21,mi,mi,CONFIRM,60.4,NO
AB 22,pi,pi,CONFIRM,54.7,NO
AB 23,mu,mu,CONFIRM,61.5,YES
AB 24,ne,ne,CONFIRM,71.3,NO
AB 26,ru,ru,CONFIRM,72.2,NO
AB 27,re,re,CONFIRM,64.9,NO
AB 28,i,i,CONFIRM,78.7,NO
AB 29,pu,pu,CONFIRM,63.2,YES
AB 30,ni,ni,CONFIRM,62.7,NO
AB 31,sa,sa,CONFIRM,75.3,NO
AB 34,ti,ti,CONFIRM,55.0,NO
AB 37,?,?,CONFIRM,0.0,YES
AB 38,e,e,CONFIRM,73.5,YES
AB 39,?,?,CONFIRM,41.0,YES
AB 40,wi,wi,CONFIRM,76.4,NO
AB 41,?,si,UNCERTAIN,25.0,NO
AB 44,ke,ke,CONFIRM,85.0,NO
AB 45,ri,ri,CONFIRM,45.0,YES
AB 46,?,?,CONFIRM,33.5,YES
AB 47,nu,nu,CONFIRM,35.5,YES
AB 48,?,?,CONFIRM,64.0,YES
AB 49,?,?,CONFIRM,62.0,YES
AB 50,pu,pu,CONFIRM,71.0,YES
AB 51,du,du,CONFIRM,53.0,YES
AB 53,ri,ri,CONFIRM,58.7,NO
AB 54,wa,wa,CONFIRM,50.7,NO
AB 55,nu,nu,CONFIRM,78.1,NO
AB 56,?,?,CONFIRM,35.0,YES
AB 57,ja,ja,CONFIRM,47.0,NO
AB 58,?,?,CONFIRM,56.0,YES
AB 59,?,?,CONFIRM,25.0,YES
AB 60,ra,ra,UNCERTAIN,57.9,NO
AB 61,o,o,CONFIRM,85.0,NO
AB 65,ju,ju,CONFIRM,47.5,YES
AB 66,?,?,CONFIRM,29.5,YES
AB 67,ki,ki,CONFIRM,73.3,NO
AB 69,tu,tu,CONFIRM,65.9,NO
AB 70,ko,ko,CONFIRM,85.0,NO
AB 72,?,?,CONFIRM,56.0,YES
AB 73,?,?,CONFIRM,25.0,YES
AB 74,?,ze,CONFIRM,55.0,NO
AB 75,?,?,UNCERTAIN,0.0,NO
AB 76,?,pi,CONFIRM,55.0,NO
AB 77,ka,ka,CONFIRM,77.6,NO
AB 78,qe,qe,UNCERTAIN,47.0,NO
AB 79,?,ze,UNCERTAIN,25.0,NO
AB 80,ma,ma,UNCERTAIN,34.1,NO
AB 81,ku,ku,CONFIRM,53.9,NO
AB 82,?,o,UNCERTAIN,25.0,NO
AB 83,?,la,CONFIRM,55.0,NO
AB 84,?,?,UNCERTAIN,0.0,NO
AB 85,?,?,CONFIRM,25.0,YES
AB 86,?,lo,UNCERTAIN,25.0,NO
AB 87,?,?,CONFIRM,25.0,YES
