commodity_class,total_occurrences,distinct_logogram_count,distinct_logograms,total_adjacent_syllabograms,top_syllabograms,top_syllabogram_bennetts,uncertain_signs_in_top10,unique_context_sequences
GRAIN,15,8,A 309; A 364; A 386; A 399; A 400; A 402; VASE 10; VASE 9,27,"𐄁(2,7.4%); I(2,7.4%); RI(2,7.4%); DU(2,7.4%); KU(2,7.4%); NI(1,3.7%); DA(1,3.7%); TA(1,3.7%); MA(1,3.7%); 16(1,3.7%); TE(1,3.7%); ?(1,3.7%); pu(1,3.7%); JU(1,3.7%); TI(1,3.7%)",AB 26(3); AB 51(2); AB 04(2); AB 29(2); AB 45(2); AB 44(2); AB 77(2); AB 01(1); AB 65(1); AB 73(1),AB 51; AB 29; AB 45; AB 01; AB 65; AB 73,; [LOGO:VASE 10]-KU-[LOGO:VASE 7]-[syll]-PI[U]-*310; JU-TI-*28B-[syll]-[LOGO:VASE 4]-[frac:VIN+RA]; [syll]-I-[syll]-[syll]-[syll]; [syll]-[syll]-[syll]-pu[U]-[syll]; [syll]-I-[syll]-RI[U]-TA[U]-MA[U]; [syll]-[LOGO:VASE 4]-[syll]-[LOGO:VASE 10]-KU-[LOGO:VASE 7]; NI[U]-[syll]-DA[U]; DU-[syll]-[LOGO:A 568]-[LOGO:A 375]; [syll]-*312[U]-TA₂-[syll]-[syll]-[syll]; [syll]-𐄁[U]-[syll]-[syll]-𐄁-[syll]; [syll]-[frac:5]-[syll]-16[U]-[syll]-[syll]; *301[U]-RI[U]-[syll]-[syll]-[syll]-OLIV; [syll]-[LOGO:VASE 2]-[nume:]-[syll]-[syll]-?[U]; DU-[syll]-TE-[syll]-[syll]
HIDES,1,1,A 308,1,"?(1,100.0%)",AB 82(1),AB 82,[syll]-?[U]-[syll]
LIVESTOCK,7,6,A 302; A 303; A 304; A 305; A 306; A 307,9,"E(2,22.2%); HIDE+[?](2,22.2%); *306(1,11.1%); VIR+[?](1,11.1%); JA(1,11.1%); *317(1,11.1%); QE(1,11.1%)",AB 33(2); AB 82(2); AB 90(1); AB 71(1); AB 49(1); AB 105(1); AB 63(1),AB 82; AB 90; AB 71; AB 49; AB 105,E-[LOGO:A 305]-HIDE+[?][U]; [LOGO:A 306]-E-HIDE+[?][U]-[LOGO:VASE 9]-[LOGO:VASE 9]; [syll]; VIR+[?][U]-JA[U]; *306[U]-[syll]-[syll]; *317[U]-QE-[LOGO:A 562]
MANPOWER,13,2,A 394; A 395,13,"A(3,23.1%); VIN(2,15.4%); DU(1,7.7%); RE(1,7.7%); ZA(1,7.7%); 33(1,7.7%); PO(1,7.7%); ?(1,7.7%); VIR+*307(1,7.7%); RO(1,7.7%)",AB 08(3); AB 77(2); AB 44(1); AB 24(1); AB 14(1); AB 115(1); AB 11(1); AB 87(1); AB 90(1); AB 02(1),AB 14; AB 115; AB 87; AB 90; AB 02,; [syll]-[syll]-[syll]-[LOGO:A 500]; [syll]-VIR+*307[U]-[syll]-[syll]-[syll]; [syll]-[syll]-[LOGO:VASE 4]-[syll]-[syll]-?[U]; [syll]-[LOGO:A 503]-[syll]-[syll]-[syll]-33[U]; RO[U]; [syll]-VIN-[syll]-VIN-[syll]-A; A-DU-[syll]-RE-ZA[U]; PO-A-[syll]-[syll]-[syll]-[LOGO:VASE 8]
OLIVES,3,3,A 568; VASE 1; VASE 2,8,"OLE+MI(1,12.5%); ¹⁄₆(1,12.5%); ≈(1,12.5%); DA(1,12.5%); TU(1,12.5%); *308(1,12.5%); 4(1,12.5%); 𐝫(1,12.5%)",AB 75(3); AB 77(1); AB 33(1); AB 56(1); AB 02(1); AB 57(1),AB 75; AB 56; AB 02,[syll]-DA[U]-TU[U]-[syll]-*308-4[U]; [LOGO:VASE 3]-[LOGO:VASE 3]-[metr]-[LOGO:VASE 2]-𐝫[U]-[LOGO:VASE 4]; OLE+MI[U]-[LOGO:VASE 1]-[syll]-¹⁄₆-[LOGO:VASE 1]-≈
OLIVE_OIL,15,6,A 311; A 381; VASE 1; VASE 3; VASE 4; VASE 6,12,"𐄁(2,16.7%); *308(1,8.3%); OLE(1,8.3%); QA2+[?]+PU(1,8.3%); RE(1,8.3%); TA(1,8.3%); CYP(1,8.3%); A(1,8.3%); SE(1,8.3%); 2(1,8.3%); ≈(1,8.3%)",AB 92(1); AB 86(1); AB 21f(1); AB 50(1); AB 24(1); AB 51(1); AB 87(1); AB 08(1); AB 09(1); AB 29(1),AB 92; AB 86; AB 50; AB 51; AB 87; AB 29,*308[U]-[LOGO:VASE 6]-[frac:]-[metr]-[LOGO:VASE 6]-[nume:≈]; [LOGO:VASE 6]-[nume:≈]-[LOGO:VASE 6]-[LOGO:VASE 6]-[syll]-[syll]; 2[U]-[syll]-[LOGO:VASE 3]-≈-[syll]-[LOGO:VASE 7]; [syll]-𐄁[U]-[syll]-[syll]-[syll]-[syll]; [syll]-[syll]-[LOGO:VASE 3]-[LOGO:VASE 3]-[syll]-[syll]; [LOGO:VASE 7]-[frac:3]-[syll]-[metr]-[syll]-[frac:??]; TA[U]-CYP[U]-[syll]-[LOGO:VASE 2]-[nume:OLE+RI]-[LOGO:VASE 2]; [LOGO:VASE 1]-[syll]-[metr]-[frac:¹⁄₆]-[LOGO:VASE 1]-[metr]; OLE[U]-[syll]-[LOGO:VASE 2]-[syll]-QA2+[?]+PU-[syll]; [metr]-[syll]-[syll]-[frac:]-[syll]-[syll]; [syll]-[syll]-[LOGO:VASE 3]-[metr]-[LOGO:VASE 2]-[LOGO:VASE 2]; A-SE-[syll]-[syll]-[LOGO:VASE 6]-[syll]; [LOGO:VASE 8]-[LOGO:A 348]-[syll]-[syll]-RE[U]-𐄁; [syll]-[syll]-[LOGO:VASE 7]-[LOGO:VASE 7]-[syll]-[LOGO:VASE 2]; [syll]-[syll]
PERSONNEL,1,1,A 301,4,"*301(1,25.0%); 1(1,25.0%); *306(1,25.0%); SI(1,25.0%)",AB 08(1); AB 51(1); AB 85(1); AB 90(1),AB 51; AB 85; AB 90,[syll]-*301-1[U]-*306[U]-[syll]-SI[U]
UNKNOWN_COMMODITY,150,70,A 312; A 313; A 314; A 316; A 317; A 318; A 319; A 320; A 321; A 322; A 325; A 326; A 328; A 329; A 331; A 332; A 334; A 340; A 342; A 343; A 344; A 345; A 346; A 347; A 348; A 349; A 350; A 351; A 352; A 353; A 354; A 355; A 356; A 357; A 358; A 359; A 360; A 361; A 362; A 363; A 365; A 366; A 367; A 368; A 369; A 370; A 371; A 372; A 373; A 374; A 375; A 376; A 377; A 378; A 379; A 380; A 382; A 383; A 384; A 385; A 387; A 388; A 389; A 390; A 391; A 392; A 393; A 396; A 397; A 398,143,"1(5,3.5%); ?(5,3.5%); 2(5,3.5%); 10(4,2.8%); E(4,2.8%); *118(4,2.8%); NI(4,2.8%); RA₂(4,2.8%); TU(3,2.1%); DA(3,2.1%); PA₃(3,2.1%); NA(3,2.1%); RA(3,2.1%); SA(3,2.1%); 5(3,2.1%)",AB 72(8); AB 33(7); AB 48(7); AB 65(6); AB 24(6); AB 01(6); AB 66(6); AB 30(5); AB 56(5); AB 03(4),AB 72; AB 48; AB 65; AB 01; AB 66; AB 56,; [syll]-5-[syll]-[LOGO:VASE 8]-¹⁄₅-[LOGO:VASE 3]; [syll]-A[U]-[syll]-[syll]-QI+SI-2[U]; [syll]-[LOGO:VASE 3]-[LOGO:VASE 3]-[LOGO:VASE 10]-[syll]-[syll]; [syll]-[syll]-[syll]-[syll]-1[U]-[syll]; RA[U]-RE-[syll]-[syll]-GRA[U]-[syll]; [liga]-[syll]-[syll]-[syll]-[syll]-[LOGO:A 368]; [syll]-[syll]-[syll]-PA₃-10[U]-[syll]; mu[U]-ru-?[U]-[syll]; [LOGO:A 500]-[syll]-[syll]-[syll]-[syll]-5[U]; *815-[LOGO:A 325]-[syll]-RA[U]-300[U]-[syll]; TE-[syll]-SI[U]-[syll]-SA-RA₂; [syll]-[syll]-[syll]; [syll]-NI[U]-[syll]-[LOGO:VASE 8]-DA[U]-I; [syll]-[LOGO:A 350]-[syll]-[syll]-[syll]-ra?; [syll]-20-[syll]-[syll]-[LOGO:A 397]-[syll]; [syll]-[syll]-[syll]-[LOGO:VASE 11]-[syll]-[syll]; [syll]-[syll]-[syll]-[syll]-37[U]-[syll]; [syll]-TI-[syll]; [syll]-KI[U]-RE
VESSELS,427,18,A 327; A 333; A 335; A 338; A 339; VASE 1; VASE 10; VASE 11; VASE 12; VASE 13; VASE 2; VASE 3; VASE 4; VASE 5; VASE 6; VASE 7; VASE 8; VASE 9,689,"?(28,4.1%); ¹⁄₂(27,3.9%); 2(20,2.9%); ¹⁄₄(18,2.6%); NI(17,2.5%); pu(16,2.3%); DA(15,2.2%); I(15,2.2%); PA(14,2.0%); RE(14,2.0%); 1(13,1.9%); ¹⁄₁₆(12,1.7%); 𐄁(12,1.7%); 𐝫(12,1.7%); SI(11,1.6%)",AB 29(46); AB 87(32); AB 26(23); AB 77(22); AB 03(21); AB 08(21); AB 30(20); AB 24(19); AB 62(19); AB 66(18),AB 29; AB 87; AB 62; AB 66,; [syll]-[syll]-[LOGO:VASE 9]-[LOGO:VASE 1]; [syll]-[syll]-[LOGO:A 568]-[syll]-[syll]; pu[U]-[syll]-[LOGO:VASE 5]; DI-DA[U]-13/20[U]-[LOGO:VASE 10]-[syll]-SI; pu[U]-[syll]-[syll]; jo[U]-?[U]-[LOGO:VASE 8]; ≈[U]-[LOGO:VASE 6]-[syll]-[syll]-𐝫[U]-[syll]; RO[U]-¹⁄₄[U]-[syll]-[syll]-[syll]-se; [syll]-[LOGO:VASE 8]-¹⁄₁₆-[LOGO:VASE 4]-[syll]-[LOGO:A 348]; [syll]-[syll]-[syll]-u-[syll]-[syll]; 2-double[U]-[syll]-2[U]-[syll]-[LOGO:VASE 3]; [syll]-?[U]-[syll]-[syll]-[syll]; [LOGO:A 335]-VIN-[syll]-[LOGO:VASE 7]; TI-[syll]-[syll]-DU-TI-20; [syll]-[syll]-¹⁄₄-[syll]-[syll]-MI[U]; [syll]-[LOGO:A 381]-[syll]-[syll]-[syll]-SU[U]; ³⁄₈[U]-[syll]-KU-[LOGO:VASE 5]-KI[U]-RO[U]; [LOGO:A 400]-[syll]-[syll]-VIR+[?]-72[U]-[syll]; [syll]-𐝃𐝏𐝏𐝏𐝫[U]-[LOGO:A 562]-[LOGO:A 562]-[LOGO:A 562]
WINE,3,3,A 310; VASE 4; VASE 8,2,"JU(1,50.0%); 𐝈𐝉(1,50.0%)",AB 66(1); AB 23(1),AB 66; AB 23,[syll]-[syll]-[metr]-[LOGO:VASE 10]-[syll]-[LOGO:VASE 1]; [syll]-[syll]; JU[U]-𐝈𐝉[U]-[syll]-[syll]-[LOGO:VASE 9]-[LOGO:VASE 10]
