gorila_id,site,object_type,commodity_class,logogram_bennett,logogram_transliteration,logogram_sequence,before_-1_bennett,before_-1_translit,before_-1_type,before_-2_bennett,before_-2_translit,before_-2_type,after_1_bennett,after_1_translit,after_1_type,after_2_bennett,after_2_translit,after_2_type,after_3_bennett,after_3_translit,after_3_type
HT4,Haghia Triada - Portico 11 and Room 13,tablet (page-shaped),LIVESTOCK,A 306,TI,2,,𐝫,syllabogram,,*306,syllabogram,AB 37,KA,syllabogram,AB 77,A,syllabogram,AB 08,RE,syllabogram
HT5,Haghia Triada - Portico 11 and Room 13,tablet (page-shaped),LIVESTOCK,A 307,"
",2,,𐝫,syllabogram,,*307,syllabogram,,MA,syllabogram,,30,syllabogram,AB 80,"
",syllabogram
HT6a,Haghia Triada - Villa Magazine,tablet (page-shaped),UNKNOWN_COMMODITY,A 321,"
",20,,"
",syllabogram,,MA,syllabogram,,O,syllabogram,AB 61,DI,syllabogram,AB 76,NE,syllabogram
HT7a,Haghia Triada - Villa Magazine,tablet (page-shaped),MANPOWER,A 100-102,VIR+[?],3,AB 78,QE,syllabogram,AB 37,TI,syllabogram,AB 28,I,syllabogram,AB 26,RU,syllabogram,AB 57,JA,syllabogram
HT7b,Haghia Triada - Villa Magazine,tablet (page-shaped),UNKNOWN_COMMODITY,A 329,*329,6,,1,syllabogram,AB 01,DA,syllabogram,,2,syllabogram,,,,,,
HT8a,Haghia Triada - Villa Magazine,tablet (page-shaped),PERSONNEL,A 301,*301,14,,3,syllabogram,,¹⁄₂,syllabogram,,2,syllabogram,AB 16,QA,syllabogram,A 310,*310,logogram
HT8a,Haghia Triada - Villa Magazine,tablet (page-shaped),WINE,A 310,*310,17,A 301,*301,logogram,,2,syllabogram,AB 28,I,syllabogram,,³⁄₄,syllabogram,AB 41,SI,syllabogram
HT8b,Haghia Triada - Villa Magazine,tablet (page-shaped),WINE,A 310,*310,10,AB 188,*188,syllabogram,,2,syllabogram,AB 28,I,syllabogram,,1,syllabogram,,³⁄₈,syllabogram
HT9a,Haghia Triada - Villa Magazine,tablet (page-shaped),LIVESTOCK,A 306,*306,12,,𐄁,syllabogram,,5,syllabogram,AB 69,TU,syllabogram,,10,syllabogram,AB 07,DI,syllabogram
HT9a,Haghia Triada - Villa Magazine,tablet (page-shaped),UNKNOWN_COMMODITY,A 324,*324,22,AB 78,QE,syllabogram,AB 50,PU,syllabogram,AB 07,DI,syllabogram,AB 60,RA,syllabogram,,2,syllabogram
HT9b,Haghia Triada - Villa Magazine,tablet (page-shaped),LIVESTOCK,A 305,𐄁,8,,"
",syllabogram,,"
",syllabogram,,"
",syllabogram,AB 03,DE,syllabogram,AB 45,3,syllabogram
HT9b,Haghia Triada - Villa Magazine,tablet (page-shaped),LIVESTOCK,A 306,TU,16,AB 08,SI,syllabogram,AB 41,3,syllabogram,AB 69,8,syllabogram,,"
",syllabogram,A 324,DI,logogram
HT9b,Haghia Triada - Villa Magazine,tablet (page-shaped),UNKNOWN_COMMODITY,A 324,DI,19,A 306,TU,logogram,AB 69,8,syllabogram,AB 07,RA,syllabogram,AB 60,2,syllabogram,,"
",syllabogram
HT10a,Haghia Triada - Villa Magazine,tablet (page-shaped),UNKNOWN_COMMODITY,A 325,ZA,16,,¹⁄₂,syllabogram,,"
",syllabogram,AB 17,4,syllabogram,,"
",syllabogram,A 301,6,logogram
HT10a,Haghia Triada - Villa Magazine,tablet (page-shaped),PERSONNEL,A 301,6,19,A 325,ZA,logogram,AB 17,4,syllabogram,,"
",syllabogram,AB 10,*325,syllabogram,A 325,ZA,logogram
HT10a,Haghia Triada - Villa Magazine,tablet (page-shaped),UNKNOWN_COMMODITY,A 325,ZA,22,A 301,6,logogram,,"
",syllabogram,AB 17,14,syllabogram,,"
",syllabogram,,*305,syllabogram
HT10a,Haghia Triada - Villa Magazine,tablet (page-shaped),LIVESTOCK,A 305,¹⁄₂,27,,"
",syllabogram,,*305,syllabogram,AB 26,"
",syllabogram,,DA,syllabogram,,RI,syllabogram
HT10b,Haghia Triada - Villa Magazine,tablet (page-shaped),UNKNOWN_COMMODITY,A 312,TA,11,AB 06,NA,syllabogram,,15,syllabogram,AB 59,6,syllabogram,,¹⁄₂,syllabogram,,"
",syllabogram
HT11a,Haghia Triada - Villa Magazine,tablet (page-shaped),UNKNOWN_COMMODITY,A 322,1,11,AB 02,2,syllabogram,AB 06,"
",syllabogram,AB 53,"
",syllabogram,,KU,syllabogram,AB 81,10,syllabogram
HT12,Haghia Triada - Villa Magazine,tablet (page-shaped),LIVESTOCK,A 304,*304,7,,𐄁,syllabogram,,OLE+DI,syllabogram,,5,syllabogram,AB 78,QE,syllabogram,AB 69,TU,syllabogram
HT14,Haghia Triada - Villa Magazine,tablet (page-shaped),LIVESTOCK,A 304,*304,11,,3,syllabogram,,OLE+DI,syllabogram,,9,syllabogram,AB 122,OLIV,syllabogram,,13,syllabogram
HT14,Haghia Triada - Villa Magazine,tablet (page-shaped),LIVESTOCK,A 304,"
",27,,OLE+DI,syllabogram,,"
",syllabogram,,OLIV,syllabogram,AB 122,,syllabogram,,𐄐,syllabogram
HT18,Haghia Triada - Villa Magazine,tablet (page-shaped),LIVESTOCK,A 304,*304,6,,20,syllabogram,,OLE+KI,syllabogram,,3,syllabogram,AB 31,SA,syllabogram,AB 76,RA₂,syllabogram
HT21,Haghia Triada - Villa Magazine,tablet (page-shaped),LIVESTOCK,A 304,"
",17,,"
",syllabogram,,*304,syllabogram,,OLIV,syllabogram,,1,syllabogram,AB 122,,syllabogram
HT23a,Haghia Triada - Villa Magazine,tablet (page-shaped),LIVESTOCK,A 303,CYP,3,AB 77,KA,syllabogram,AB 06,NA,syllabogram,,¹⁄₃,syllabogram,A 308,*308,logogram,,≈,syllabogram
HT23a,Haghia Triada - Villa Magazine,tablet (page-shaped),HIDES,A 308,*308,5,,𐄁,syllabogram,A 303,CYP,logogram,,≈,syllabogram,,"
",syllabogram,,OLE+NE,syllabogram
HT23b,Haghia Triada - Villa Magazine,tablet (page-shaped),LIVESTOCK,A 303,CYP,2,AB 30,NI,syllabogram,AB 60,RA,syllabogram,,¹⁄₃,syllabogram,A 302,OLE,logogram,,¹⁄₃,syllabogram
HT23b,Haghia Triada - Villa Magazine,tablet (page-shaped),OLIVE_OIL,A 302,OLE,4,AB 60,RA,syllabogram,A 303,CYP,logogram,,¹⁄₃,syllabogram,,"
",syllabogram,,"
",syllabogram
HT26a,Haghia Triada - Villa Magazine,tablet (page-shaped),UNKNOWN_COMMODITY,A 312,*312,2,,*406VAS+KE,syllabogram,,𐄁,syllabogram,AB 04,TE,syllabogram,AB 04,TE,syllabogram,,𐄁,syllabogram
HT26b,Haghia Triada - Villa Magazine,tablet (page-shaped),MANPOWER,A 100-102,VIR+[?],3,,𐄁,syllabogram,,*406VAS+KE,syllabogram,,9,syllabogram,,RO,syllabogram,AB 02,NI,syllabogram
HT26b,Haghia Triada - Villa Magazine,tablet (page-shaped),HIDES,A 308,"
",18,,"
",syllabogram,,I,syllabogram,,*188,syllabogram,,*86,syllabogram,AB 188,"
",syllabogram
HT27a,Haghia Triada - Villa Magazine,tablet (page-shaped),LIVESTOCK,A 307,*307,4,AB 30,NI,syllabogram,AB 59,TA,syllabogram,,𐄁,syllabogram,A 100-102,VIR+[?],logogram,,90,syllabogram
