commodity_class,sign,cooccurrences,slots,p_value,fold_enrichment
GRAIN,AB 04,1,13,0.140049,6.74
GRAIN,AB 73,1,13,0.161548,5.78
GRAIN,AB 45,1,13,0.182550,5.06
GRAIN,AB 29,2,13,0.193306,2.45
GRAIN,AB 87,1,13,0.203065,4.50
GRAIN,AB 65,1,13,0.261794,3.37
GRAIN,AB 51,1,13,0.333893,2.53
GRAIN,AB 01,1,13,0.350872,2.38
GRAIN,AB 03,1,13,0.350872,2.38
GRAIN,AB 26,1,13,0.350872,2.38
GRAIN,AB 66,1,13,0.399442,2.02
GRAIN,AB 77,1,13,0.429934,1.84
OLIVE_OIL,AB 77,2,5,0.015487,9.56
OLIVE_OIL,AB 21f,1,5,0.037590,26.30
OLIVE_OIL,AB 50,1,5,0.055956,17.53
OLIVE_OIL,AB 24,1,5,0.126639,7.51
VESSELS,AB 29,31,406,0.009306,1.22
VESSELS,AB 62,18,406,0.045471,1.23
VESSELS,AB 02,9,406,0.095272,1.30
VESSELS,AB 36,8,406,0.123998,1.30
VESSELS,AB 08,17,406,0.152455,1.16
VESSELS,AB 10,6,406,0.209677,1.30
VESSELS,AB 92,6,406,0.209677,1.30
VESSELS,AB 34,6,406,0.209677,1.30
VESSELS,AB 06,5,406,0.272424,1.30
VESSELS,AB 49,9,406,0.294294,1.17
VESSELS,AB 88,9,406,0.294294,1.17
VESSELS,AB 64,4,406,0.353744,1.30
VESSELS,AB 11,4,406,0.353744,1.30
VESSELS,AB 12,4,406,0.353744,1.30
VESSELS,AB 47,4,406,0.353744,1.30
VESSELS,AB 05,4,406,0.353744,1.30
VESSELS,AB 44,8,406,0.353801,1.15
VESSELS,AB 45,7,406,0.422338,1.13
VESSELS,AB 26,14,406,0.432019,1.07
VESSELS,AB 46,3,406,0.459078,1.30
VESSELS,AB 22,3,406,0.459078,1.30
VESSELS,AB 30,13,406,0.485260,1.05
VESSELS,AB 09,5,406,0.586156,1.08
VESSELS,AB 04,5,406,0.586156,1.08
VESSELS,AB 23,5,406,0.586156,1.08
VESSELS,AB 03,13,406,0.658291,0.99
VESSELS,AB 01,13,406,0.658291,0.99
VESSELS,AB 87,7,406,0.662220,1.01
VESSELS,AB 57,4,406,0.679026,1.04
VESSELS,AB 75,6,406,0.732985,0.97
VESSELS,AB 14,3,406,0.775077,0.97
VESSELS,AB 21f,3,406,0.775077,0.97
VESSELS,AB 89,3,406,0.775077,0.97
VESSELS,AB 73,5,406,0.801544,0.93
VESSELS,AB 90,5,406,0.801544,0.93
VESSELS,AB 56,9,406,0.848250,0.90
VESSELS,AB 32,4,406,0.864768,0.86
VESSELS,AB 58,2,406,0.868157,0.86
VESSELS,AB 61,2,406,0.868157,0.86
VESSELS,AB 43,2,406,0.868157,0.86
VESSELS,AB 79,2,406,0.868157,0.86
VESSELS,AB 85,6,406,0.874516,0.86
VESSELS,AB 24,9,406,0.925656,0.83
VESSELS,AB 66,13,406,0.938990,0.84
VESSELS,AB 52,4,406,0.949066,0.74
VESSELS,AB 07,4,406,0.949066,0.74
VESSELS,AB 51,10,406,0.951139,0.81
VESSELS,AB 77,14,406,0.958901,0.82
VESSELS,AB 13,2,406,0.961236,0.65
VESSELS,AB 33,7,406,0.965718,0.76
VESSELS,AB 50,3,406,0.973540,0.65
VESSELS,AB 65,6,406,0.992247,0.65
VESSELS,AB 48,2,406,0.999274,0.37
MANPOWER,AB 14,1,6,0.044979,21.92
MANPOWER,AB 87,1,6,0.098820,9.74
MANPOWER,AB 24,1,6,0.150107,6.26
MANPOWER,AB 08,1,6,0.198939,4.61
MANPOWER,AB 77,1,6,0.227098,3.98
LIVESTOCK,AB 82,2,5,0.000216,70.13
LIVESTOCK,AB 90,1,5,0.065033,15.03
LIVESTOCK,AB 49,1,5,0.091847,10.52
LIVESTOCK,AB 33,1,5,0.109379,8.77
WINE,AB 77,1,2,0.081977,11.95
