la_bennett_id,inscription_id,gorila_id,sequence,character,findspot,period,object_type,syllabograms_before,syllabograms_after,chars_before,chars_after,nearby_numbers,nearby_fractions,all_inscription_logograms,pattern_frequency,morphology_cross_reference
A 372,6,HT6a,17,𐛑,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),"TA JA 24 
 JA+RU",,𐘢 𐘳 𐘱 𐄑 𐄊,,24; 20; 4; 10; 10,,A 372; A 566; A 568; VASE 7,,
A 566,6,HT6a,18,𐝓,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),,"10 
 O DI NE",,𐙁 𐙭 𐄐 𐘵 𐘽,24; 20; 4; 10; 10,,A 372; A 566; A 568; VASE 7,,
A 568,6,HT6a,31,𐝕,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),"KA QE 5 ³⁄₄ 
","RA 𐄁 
 QE TA",𐄈 𐘾 𐘂 𐘿 𐄋,𐘀 𐘿 𐘴 𐄁 𐘿,2; 5; 0.75; 5,,A 372; A 566; A 568; VASE 7,,
A 568,6,HT6a,41,𐝕,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),"TA 22 ³⁄₄ 
 NI",pu 𐄐 𐄋,𐘿 𐘢 𐘳 𐄑 𐄈,𐘝 𐄐 𐄋,22; 0.75; 20; 2; 10; 5,,A 372; A 566; A 568; VASE 7,,
VASE 7,6,HT6a,45,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),pu 𐄐 𐄋,,𐘝 𐄐 𐄋,,2; 15; 10; 5,,A 372; A 566; A 568; VASE 7,,
VASE 6,7,HT6b,5,𐝅,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),WA DU NI MI 3,"
 RA TI SE 
",𐘮 𐘬 𐘝 𐘻 𐄉,𐘴 𐘠 𐘈 𐄇 𐙁,3; 1,,VASE 4; VASE 6; VASE 7,,
VASE 4,7,HT6b,23,𐝃,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),MA 66 DA KI 3,"SA MA 35 
 NI",𐄕 𐄌 𐘀 𐘸 𐄉,𐘞 𐙁 𐄒 𐄋 𐘰,60; 6; 3; 30; 5,,VASE 4; VASE 6; VASE 7,,
VASE 7,7,HT6b,33,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),NI NA 17 ¹⁄₂ 𐄍,,𐘰 𐘝 𐘅 𐄐 𐄍,,17; 10; 7,,VASE 4; VASE 6; VASE 7,,
VASE 7,10,HT8a,9,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),PA₃ KA RA TI 1,PA 3,𐘰 𐘾 𐘴 𐘠 𐄇,𐘂 𐄉,1; 3; 0.5,,A 568; VASE 4; VASE 7,,
VASE 7,10,HT8a,12,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),PA 3,TE *301 2 QA *310,𐘂 𐄉,𐘃 𐙕 𐄈 𐘌 𐙠,1; 0.5; 3; 2,,A 568; VASE 4; VASE 7,,
A 568,10,HT8a,19,𐝕,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),*301 2 QA *310 I,SI KI RA,𐙕 𐄈 𐘌 𐙠 𐘚,𐘤 𐘸 𐘴,2; 0.25,,A 568; VASE 4; VASE 7,,
VASE 4,10,HT8a,23,𐝃,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),SI KI RA,KI RE TA NA,𐘤 𐘸 𐘴,𐘸 𐘙 𐘳 𐘅,0.75; 0.5,,A 568; VASE 4; VASE 7,,
VASE 7,10,HT8a,28,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),KI RE TA NA,,𐘸 𐘙 𐘳 𐘅,,0.25,,A 568; VASE 4; VASE 7,,
VASE 4,11,HT8b,13,𐝃,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),2 QA *310 I 1,,𐄈 𐘌 𐙠 𐘚 𐄇,,2; 1; 0.5,,A 392; VASE 4; VASE 5; VASE 7,,
VASE 5,11,HT8b,14,𐝄,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),,PA ¹⁄₂,,𐘾 𐘂,1; 0.375; 0.5,,A 392; VASE 4; VASE 5; VASE 7,,
VASE 7,11,HT8b,17,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),PA ¹⁄₂,JA RE 1 ¹⁄₈,𐘾 𐘂,𐘂 𐘱 𐘙 𐄇,1; 0.375; 0.5; 1; 1,,A 392; VASE 4; VASE 5; VASE 7,,
VASE 5,11,HT8b,22,𐝄,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),JA RE 1 ¹⁄₈,,𐘂 𐘱 𐘙 𐄇,,1; 1; 0.5,,A 392; VASE 4; VASE 5; VASE 7,,
A 392,11,HT8b,23,𐛥,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),,,,,1; 1,,A 392; VASE 4; VASE 5; VASE 7,,
VASE 7,11,HT8b,24,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),,,,,1; 1; 0.5,,A 392; VASE 4; VASE 5; VASE 7,,
VASE 7,11,HT8b,25,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),,,,,1; 1; 0.5,,A 392; VASE 4; VASE 5; VASE 7,,
A 568,12,HT9a,11,𐝕,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),𐄁 PA DE 𐄁 5,*306 TU 10 DI NA,𐄁 𐘂 𐘦 𐄁 𐄋,𐙚 𐘹 𐄐 𐘆 𐘅,5; 10,,A 568; VASE 4; VASE 7,,
VASE 7,12,HT9a,26,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),2 *324 DI RA 2,TA I AROM 2,𐄈 𐙰 𐘆 𐘴 𐄈,𐘳 𐘚 𐙌 𐄈,2; 2; 2; 0.5,,A 568; VASE 4; VASE 7,,
VASE 7,12,HT9a,31,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),TA I AROM 2,A RU 4,𐘳 𐘚 𐙌 𐄈,𐘇 𐘘 𐄊,0.5; 2; 4; 0.25,,A 568; VASE 4; VASE 7,,
VASE 4,12,HT9a,35,𐝃,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),A RU 4,KU RO 31 ³⁄₄,𐘇 𐘘 𐄊,𐙂 𐘁 𐄒 𐄇,2; 0.5; 4; 30; 1,,A 568; VASE 4; VASE 7,,
A 568,12,HT9a,40,𐝕,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),KU RO 31 ³⁄₄,,𐙂 𐘁 𐄒 𐄇,,0.25; 30; 1,,A 568; VASE 4; VASE 7,,
VASE 7,14,HT10a,14,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),𐄁 DA RE 16 ¹⁄₂,"*325 ZA 4 
 6",𐄁 𐘀 𐘙 𐄐 𐄌,𐘉 𐙱 𐘍 𐄊 𐙕,10; 6; 4; 4; 6,,VASE 7,,
VASE 7,14,HT10a,30,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),"*305 RU ¹⁄₂ 
 DA","8 
 ME ZA so",𐄊 𐝫 𐙙 𐘘 𐄈,𐘀 𐘭 𐘀 𐄎 𐘋,4; 0.5; 2; 8; 8,,VASE 7,,
VASE 7,15,HT10b,14,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),"15 
 TA 6 ¹⁄₂","SA RU 6 
 NA",𐄐 𐄋 𐙢 𐘳 𐄌,𐘾 𐘞 𐘘 𐄌 𐘳,10; 5; 6; 6; 6; 6,,VASE 4; VASE 7,,
VASE 4,15,HT10b,23,𐝃,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),"
 NA TI 9 ¹⁄₄",,𐄌 𐘳 𐘅 𐘠 𐄏,,6; 9; 9,,VASE 4; VASE 7,,
A 350,18,HT12,13,𐚻,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),5 QE TU NE 𐄁,1 E 30,𐄋 𐘿 𐘹 𐘗 𐄁,𐄇 𐘡 𐄒,5; 1; 30,,A 350; A 351; A 389; VASE 8,,
A 389,18,HT12,17,𐛢,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),1 E 30,𐄁 *118 5 3,𐄇 𐘡 𐄒,𐄁 𐙈 𐄋 𐄉,1; 30; 5; 3,,A 350; A 351; A 389; VASE 8,,
A 351,18,HT12,25,𐚼,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),5 3 NI 1,,𐄋 𐄉 𐘝 𐄇,,5; 3; 1; 0.0625; 50,,A 350; A 351; A 389; VASE 8,,
VASE 8,18,HT12,26,𐝇,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),,DA I 50,,𐘀 𐘚 𐄔,3; 1; 50,,A 350; A 351; A 389; VASE 8,,
VASE 7,19,HT13,12,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),𐄁 RE ZA 5 ¹⁄₂,"TE 56 
 TE KI",𐄁 𐘙 𐘍 𐄋 𐝫,𐝫 𐘃 𐘹 𐄔 𐄌,5; 0.5; 56; 50; 6,,VASE 7,,
VASE 7,19,HT13,22,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),"KI ¹⁄₂ 
 KU ZU","
 DA SI *118 19",𐄌 𐘃 𐘸 𐄑 𐄍,𐙂 𐙀 𐘝 𐄐 𐄎,6; 0.5; 20; 7; 10; 8,,VASE 7,,
VASE 7,19,HT13,42,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),𐄋 ta? ro 𐄙 𐄒,,𐄋 𐙂 𐘁 𐄙 𐄒,,5; 100; 30,,VASE 7,,
VASE 5,22,HT16,7,𐝄,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),PA 𐄁 DI NA U,𐄁 WA,𐘂 𐄁 𐘆 𐘅 𐘉,𐄁 𐘮,0.3333; 0.375,A 724,VASE 2; VASE 4; VASE 5; VASE 8,,
VASE 2,22,HT16,10,𐝁,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),𐄁 WA,,𐄁 𐘮,,0.125; 0.375,A 724,VASE 2; VASE 4; VASE 5; VASE 8,,
VASE 4,22,HT16,12,𐝃,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),,,,,0.125; 0.3333; 0.0625,A 724,VASE 2; VASE 4; VASE 5; VASE 8,,
VASE 5,22,HT16,13,𐝄,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),,PO ZE ¹⁄₁₆,,𐘞 𐘊 𐘼,0.3333; 0.375; 0.0625,A 724,VASE 2; VASE 4; VASE 5; VASE 8,,
VASE 8,22,HT16,17,𐝇,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),PO ZE ¹⁄₁₆,,𐘞 𐘊 𐘼,,0.375; 0.0625,,VASE 2; VASE 4; VASE 5; VASE 8,,
VASE 7,25,HT19,11,𐝆,Haghia Triada - Villa Magazine,LM IB,tablet (page-shaped),VIN 30 SA RO 5,DU ME DI 43 ¹⁄₂,𐙍 𐄒 𐘞 𐘁 𐄋,𐘬 𐘋 𐘆 𐄓 𐄉,30; 5; 40; 3,,VASE 7,,
