la_fraction_id,la_character,la_unicode,la_transliteration,occurrences,phase2_proposed_decimal,phase2_proposed_fraction,lb_equivalent,lb_character,lb_decimal,lb_fraction,co_occurring_logograms,paired_fractions,match_confidence,match_basis
A 702,𐛱,U+106F1,GRA+QE,5,0.0625,1/16,K,𐄰,0.25,1/4,VASE 7(3); VASE 6(1); VASE 4(1); VASE 10(1); A 503(1),A 728(3); A 726(3); A 711(1),high,Co-occurrence with GRA logograms; Phase 2 value 0.0625 revised upward by context analysis
A 703,𐛲,U+106F2,6,7,0.1667,1/6,L,𐄱,0.125,1/8,VASE 7(3); A 400(3),,medium,Phase 2 value 0.1667; co-occurs with VASE 7
A 704,𐛳,U+106F3,GRA+B,2,0.25,1/4,?,?,0.25,1/4,A 400(3); VASE 7(1); VASE 3(1); VASE 1(1),A 708(2),low,Pairs with A 708 to sum ~1; no direct LB match
A 705,𐛴,U+106F4,GRA+E,2,0.3333,1/3,N?,𐄳,0.3333,1/3,,,low,Phase 2 value 0.3333 = 1/3; no standard LB 1/3 sign
A 706,𐛵,U+106F5,"
",4,0.166667,1/6,O,𐄤,0.1667,1/6,VASE 7(2); A 400(1),,medium,Phase 2 value 0.1667 = 1/6; LB O = 1/6
A 707,𐛶,U+106F6,GRA+H,1,0.6667,2/3,R,𐄧,0.6667,2/3,,,medium,Phase 2 value 0.6667 = 2/3; LB R = 2/3
A 708,𐛷,U+106F7,GRA+K+L,3,0.75,3/4,N,𐄳,0.75,3/4,A 400(3); VASE 7(1); VASE 3(1); VASE 1(1),A 704(2),medium,Pairs with A 704 to sum ~1; Phase 2 value 0.75 = 3/4; LB N = 3/4
A 709,𐛸,U+106F8,GRA+L2,1,0.8333,5/6,S?,𐄨,0.8333,5/6,A 506(1),,low,Phase 2 value 0.8333 ≈ 5/6; LB S = 3/8 not 5/6; uncertain
A 710,𐛹,U+106F9,"
",1,0.6,0.6000,1,—,1.0,1,,,high,Phase 2 value 1.0 = whole unit; represents whole quantity
A 711,𐛺,U+106FA,T (7/8?),3,0.875,7/8,T,𐄩,0.875,7/8,VASE 4(4); VASE 7(3); VASE 5(1); A 364(1); A 347(1),A 728(2); A 726(1); A 702(1),medium,Pairs with A 726 to sum ~1; Phase 2 value 0.875 = 7/8; LB T = 7/8
A 712,𐛻,U+106FB,VIN+TE,2,0.9375,0.9375,?,?,0.9375,15/16,,,low,Phase 2 value 0.9375 ≈ 15/16; no direct LB match
A 713,𐛼,U+106FC,"
",1,0.4,2/5,?,?,0.4,2/5,VASE 7(1),,low,Phase 2 value 0.4 = 2/5; no direct LB match
A 714,𐛽,U+106FD,4,1,0.75,3/4,?,?,0.75,3/4,,A 715(1),medium,Pairs with A 715 to sum ~1; Phase 2 value 0.75 = 3/4
A 715,𐛾,U+106FE,𐄁,1,0.25,1/4,K?,𐄰,0.25,1/4,,A 714(1),medium,Pairs with A 714 to sum ~1; Phase 2 value 0.25 = 1/4; LB K = 1/4
A 716,𐛿,U+106FF,VIN+RA,3,0.2,1/5,J?,𐄯,0.2,1/5,A 400(2); VASE 4(1),A 718(1),low,Phase 2 value 0.2 = 1/5; no standard LB 1/5 sign
A 717,𐜀,U+10700,VIN+RA,1,0.6667,2/3,?,?,0.6667,2/3,,,low,Phase 2 value 0.6667 = 2/3; LB R = 2/3 but uncertain
A 718,𐜁,U+10701,VIN+KA,1,0.8,4/5,?,?,0.8,4/5,A 400(2); VASE 4(1),A 716(1),low,Pairs with A 716 to sum ~1; Phase 2 value 0.8 = 4/5; no LB match
A 719,𐜂,U+10702,VINb+WI,1,0.3125,0.3125,M?,𐄲,0.3125,5/16,VASE 7(1); VASE 2(1); VASE 1(1),,low,Phase 2 value 0.3125 ≈ 5/16; LB M = 1/16; uncertain
A 720,𐜃,U+10703,CC (3/16?),1,0.1875,0.1875,M?,𐄲,0.1875,3/16,,A 723(1); A 722(1); A 721(1),low,Pairs with A 721 to sum ~1; Phase 2 value 0.1875 ≈ 3/16
A 721,𐜄,U+10704,"
",1,0.8125,0.8125,?,?,0.8125,13/16,,A 723(1); A 722(1); A 720(1),low,Pairs with A 720 to sum ~1; Phase 2 value 0.8125; no LB match
A 722,𐜅,U+10705,HIDE+B,3,0.4375,0.4375,?,?,0.4375,7/16,,A 723(1); A 721(1); A 720(1),low,Pairs with A 723 to sum ~1; Phase 2 value 0.4375; no LB match
