la_ab,la_char,la_unicode,lb_value,cm_sign,cm_desc,cm_corpus,la_cm_confidence,notes
AB 08,𐘇,U+10607,a,CM 015,Stool / table-shaped sign,"CM 1, CM 2, CM 3",HIGH,Minoan 'a'; shape resembles CG 'a'
AB 28,𐘜,U+1061C,i,CM 020,Angled bracket open left,"CM 1, CM 2, CM 3",HIGH,"Minoan 'i'; simple vertical stroke, common"
AB 10,𐘉,U+10609,u,CM 026,Horizontal with centre-dot circle above,"CM 1, CM 2, CM 3",HIGH,Minoan 'u'; circle-with-dot motif
AB 61,𐘻,U+1063B,o,CM 012,Circled cross,"CM 1, CM 3",HIGH,"Minoan 'o'; circled cross, good match"
AB 01,𐘀,U+10600,da,CM 001,Simple cross / star motif,"CM 1, CM 2, CM 3",HIGH,"LA da; cross/star sign, also LB da"
AB 07,𐘆,U+10606,di,CM 029,Eye-shaped sign,"CM 1, CM 2",HIGH,"LA di; eye-shaped sign, same in LB"
AB 04,𐘃,U+10603,te,CM 049,Fork with long handle,"CM 1, CM 2",HIGH,"LA te; fork shape, well-attested"
AB 05,𐘄,U+10604,to,CM 002,Vertical wedge with two horizontals,"CM 1, CM 3",HIGH,"LA to; vertical wedge, also LB to"
AB 06,𐘅,U+10605,na,CM 005,L-shaped angular sign,"CM 1, CM 2, CM 3",HIGH,"LA na; L-shaped sign, securely matched"
AB 34,𐘡,U+10621,ti,CM 006,Double vertical strokes,"CM 1, CM 2",HIGH,LA ti; double vertical strokes
AB 77,𐙉,U+10649,ka,CM 043,Trident / pitchfork,"CM 1, CM 2, CM 3",HIGH,"LA ka; trident shape, good match"
AB 44,𐘪,U+1062A,ke,CM 023,Vertical line with two side ticks,"CM 1, CM 2",HIGH,LA ke; vertical with side ticks
AB 67,𐙀,U+10640,ki,CM 013,Chevron pointing up,"CM 1, CM 2",HIGH,LA ki; chevron pointing up
AB 70,𐙃,U+10643,ko,CM 030,Spiral / volute,"CM 1, CM 3",HIGH,"LA ko; spiral/volute, close match LB ko"
AB 81,𐙍,U+1064D,ku,CM 041,Horizontal line with two circles,"CM 1, CM 2",HIGH,LA ku; horizontal with two circles
AB 03,𐘂,U+10602,pa,CM 010,Horizontal line with vertical drop,"CM 1, CM 2, CM 3",HIGH,LA pa; horizontal with vertical drop
AB 22,𐘖,U+10616,pi,CM 018,Circle with attached line,"CM 1, CM 2",HIGH,LA pi; circle with attached line
AB 50,𐘰,U+10630,pu,CM 056,Circle with hanging line,"CM 1, CM 2",HIGH,LA pu; circle with hanging line
AB 23,𐘘,U+10618,mu,CM 008,Rectangular frame with cross,"CM 1, CM 2",HIGH,LA mu; rectangular frame with cross
AB 26,𐘚,U+1061A,ru,CM 014,Vertical line with crossbar,"CM 1, CM 3",HIGH,LA ru; vertical with crossbar
