la_bennett_id,la_unicode,la_character,la_transliteration,la_occurrences,lb_abbr,lb_meaning,lb_unicode,lb_character,lb_sign_name,co_occurring_logograms,correspondence_certainty,notes
A 301,U+1068A,𐚊,"
",1,SILQUA,siliqua / carob (dry measure),,,*301,VASE 8(4); VASE 10(3); VASE 2(1); VASE 1(1),high,Dry measure. LB *301 = siliqua.
A 302,U+1068B,𐚋,*351,1,OVIS,sheep,U+100D8,𐃘,*105 / OVIS,,high,Sheep ideogram.
A 303,U+1068C,𐚌,*352,2,OLIV,olives,U+100EA,𐃪,*122 / OLIV,VASE 4(1),high,Olive ideogram. LA uses same sign for cattle? Distinguish from BOS (A 303).
A 304,U+1068D,𐚍,*353,1,CROC,saffron / crocus,U+100F0,𐃰,*135 / CROC,A 562(1),high,Saffron. LA meaning [vessel?] — may be a vessel that held saffron.
A 305,U+1068E,𐚎,*354,1,FIC,figs,U+100ED,𐃭,*132 / FIC,VASE 9(2); A 306(1),high,Fig ideogram.
A 306,U+1068F,𐚏,*355,1,CYC,cyperus (Cyperus esculentus / rotundus),U+100EE,𐃮,*133 / CYC,VASE 9(2); A 305(1),high,Cyperus — an aromatic plant used in perfumery. LA meaning uncertain.
A 307,U+10690,𐚐,[?],1,COR,coriander,U+100EF,𐃯,*134 / COR,,high,Coriander. LA meaning uncertain.
A 308,U+10691,𐚑,HIDE+[?],1,GRA,wheat,U+100E8,𐃨,*120 / GRA,,high,"Wheat ideogram. Also found as GRA+PA (A 400), GRA+DA (A 399), GRA+MA, GRA+QE etc. in LA."
A 309,U+10692,𐚒,[barley?],1,HORD,barley,U+100E9,𐃩,*121 / HORD,,high,Barley ideogram. LA counterpart also [barley?] in transliteration.
A 310,U+10693,𐚓,[wine?],1,VIN,wine,U+100EC,𐃬,*131 / VIN,,high,Wine ideogram. LA counterpart also [wine?].
A 311,U+10694,𐚔,[oil?],1,OLE,olive oil,U+100EB,𐃫,*130 / OLE,,high,"Olive oil ideogram. LA counterpart also [oil?]. Many ligatures in LA: OLE+RI (A 381), OLE+NE (A 730), OLE+U (A 728)."
A 312,U+10695,𐚕,[?],1,,,,,,VASE 7(3); VASE 3(2); VASE 4(1),low,No known LB counterpart
A 313,U+10696,𐚖,*362,1,,,,,,VASE 7(1),low,No known LB counterpart
A 314,U+10697,𐚗,*363,2,,,,,,VASE 7(1),low,No known LB counterpart
A 314,U+10697,𐚗,KE,2,,,,,,VASE 7(1),low,No known LB counterpart
A 316,U+10699,𐚙,*365,1,,,,,,,low,No known LB counterpart
A 317,U+1069A,𐚚,*366,1,,,,,,,low,No known LB counterpart
A 318,U+1069B,𐚛,*367,1,,,,,,,low,No known LB counterpart
A 319,U+1069C,𐚜,*368,1,,,,,,,low,No known LB counterpart
A 320,U+1069D,𐚝,*369,1,,,,,,,low,No known LB counterpart
A 321,U+1069E,𐚞,NU,2,,,,,,,low,No known LB counterpart
A 321,U+1069E,𐚞,*370,2,,,,,,,low,No known LB counterpart
A 322,U+1069F,𐚟,*371,1,,,,,,,low,No known LB counterpart
A 325,U+106A2,𐚢,QA,4,,,,,,A 339(4); A 338(4); A 333(4),low,No known LB counterpart
A 325,U+106A2,𐚢,"
",4,,,,,,A 339(4); A 338(4); A 333(4),low,No known LB counterpart
A 325,U+106A2,𐚢,PA₃,4,,,,,,A 339(4); A 338(4); A 333(4),low,No known LB counterpart
A 325,U+106A2,𐚢,TA,4,,,,,,A 339(4); A 338(4); A 333(4),low,No known LB counterpart
A 326,U+106A3,𐚣,*403,1,,,,,,A 385(1); A 370(1); A 369(1),low,No known LB counterpart
A 327,U+106A4,𐚤,VS,1,,,,,,,low,No known LB counterpart
A 328,U+106A5,𐚥,*405,1,,,,,,VASE 8(1),low,No known LB counterpart
A 329,U+106A6,𐚦,2,1,,,,,,VASE 7(3); A 400(2); VASE 6(1); VASE 5(1); A 568(1),low,No known LB counterpart
A 331,U+106A8,𐚨,*408,4,,,,,,,low,No known LB counterpart
A 332,U+106A9,𐚩,*409,5,,,,,,,low,No known LB counterpart
A 333,U+106AA,𐚪,VS,2,,,,,,A 325(4); A 339(1); A 338(1),low,No known LB counterpart
A 333,U+106AA,𐚪,VAS,2,,,,,,A 325(4); A 339(1); A 338(1),low,No known LB counterpart
A 334,U+106AB,𐚫,*411,15,,,,,,,low,No known LB counterpart
A 335,U+106AC,𐚬,VS,1,,,,,,VASE 7(2),low,No known LB counterpart
A 338,U+106AF,𐚯,VS,1,,,,,,A 325(4); A 339(1); A 333(1),low,No known LB counterpart
A 339,U+106B0,𐚰,VS,1,,,,,,A 325(4); A 338(1); A 333(1),low,No known LB counterpart
A 340,U+106B1,𐚱,*417,2,,,,,,,low,No known LB counterpart
A 342,U+106B3,𐚳,DA+RO,2,,,,,,A 504(2),low,No known LB counterpart
A 343,U+106B4,𐚴,43,1,,,,,,VASE 7(3); A 400(2); VASE 6(1); VASE 5(1); A 568(1),low,No known LB counterpart
A 344,U+106B5,𐚵,[?],1,,,,,,A 345(1),low,No known LB counterpart
A 345,U+106B6,𐚶,[?],1,,,,,,A 344(1),low,No known LB counterpart
A 346,U+106B7,𐚷,TE+RO[,1,,,,,,VASE 7(2),low,No known LB counterpart
A 347,U+106B8,𐚸,3,1,,,,,,VASE 4(1),low,No known LB counterpart
A 348,U+106B9,𐚹,¹⁄₆,6,UNGUENT,unguent / perfumed oil,,,*408,VASE 8(9); VASE 6(6); VASE 4(4); VASE 2(4); A 350(4),high,Perfumed oil/unquent vessel. Frequent in LA at Hagia Triada.
A 348,U+106B9,𐚹,"
",6,UNGUENT,unguent / perfumed oil,,,*408,VASE 8(9); VASE 6(6); VASE 4(4); VASE 2(4); A 350(4),high,Perfumed oil/unquent vessel. Frequent in LA at Hagia Triada.
A 348,U+106B9,𐚹,1,6,UNGUENT,unguent / perfumed oil,,,*408,VASE 8(9); VASE 6(6); VASE 4(4); VASE 2(4); A 350(4),high,Perfumed oil/unquent vessel. Frequent in LA at Hagia Triada.
A 348,U+106B9,𐚹,QA2+[?]+RE,6,UNGUENT,unguent / perfumed oil,,,*408,VASE 8(9); VASE 6(6); VASE 4(4); VASE 2(4); A 350(4),high,Perfumed oil/unquent vessel. Frequent in LA at Hagia Triada.
A 348,U+106B9,𐚹,MI+JA+I,6,UNGUENT,unguent / perfumed oil,,,*408,VASE 8(9); VASE 6(6); VASE 4(4); VASE 2(4); A 350(4),high,Perfumed oil/unquent vessel. Frequent in LA at Hagia Triada.
A 349,U+106BA,𐚺,10,4,,,,,,VASE 4(8); VASE 10(6); VASE 6(5); VASE 3(5); VASE 2(3),low,No known LB counterpart
A 349,U+106BA,𐚺,QA2+[?]+RE+PU,4,,,,,,VASE 4(8); VASE 10(6); VASE 6(5); VASE 3(5); VASE 2(3),low,No known LB counterpart
A 349,U+106BA,𐚺,𐝉,4,,,,,,VASE 4(8); VASE 10(6); VASE 6(5); VASE 3(5); VASE 2(3),low,No known LB counterpart
A 349,U+106BA,𐚺,"
",4,,,,,,VASE 4(8); VASE 10(6); VASE 6(5); VASE 3(5); VASE 2(3),low,No known LB counterpart
A 350,U+106BB,𐚻,QA2+[?]+PU,8,,,,,,VASE 8(9); VASE 7(9); VASE 2(6); VASE 4(5); VASE 3(5),low,No known LB counterpart
A 350,U+106BB,𐚻,1,8,,,,,,VASE 8(9); VASE 7(9); VASE 2(6); VASE 4(5); VASE 3(5),low,No known LB counterpart
A 350,U+106BB,𐚻,SA,8,,,,,,VASE 8(9); VASE 7(9); VASE 2(6); VASE 4(5); VASE 3(5),low,No known LB counterpart
A 350,U+106BB,𐚻,QA2+[?]+RE,8,,,,,,VASE 8(9); VASE 7(9); VASE 2(6); VASE 4(5); VASE 3(5),low,No known LB counterpart
A 350,U+106BB,𐚻,¹⁄₁₆,8,,,,,,VASE 8(9); VASE 7(9); VASE 2(6); VASE 4(5); VASE 3(5),low,No known LB counterpart
A 350,U+106BB,𐚻,[?],8,,,,,,VASE 8(9); VASE 7(9); VASE 2(6); VASE 4(5); VASE 3(5),low,No known LB counterpart
A 351,U+106BC,𐚼,QA2+[?]+PU+RE,1,,,,,,VASE 8(1); A 389(1); A 350(1),low,No known LB counterpart
A 352,U+106BD,𐚽,𐝫,3,,,,,,,low,No known LB counterpart
A 352,U+106BD,𐚽,NA,3,,,,,,,low,No known LB counterpart
A 352,U+106BD,𐚽,*22F,3,,,,,,,low,No known LB counterpart
A 353,U+106BE,𐚾,MA,2,,,,,,,low,No known LB counterpart
A 353,U+106BE,𐚾,3,2,,,,,,,low,No known LB counterpart
A 354,U+106BF,𐚿,RE+SE,1,,,,,,VASE 7(3); A 400(2); VASE 6(1); VASE 5(1); A 568(1),low,No known LB counterpart
A 355,U+106C0,𐛀,*516,10,,,,,,VASE 7(5); VASE 8(4); A 400(4); VASE 2(3); VASE 4(2),low,No known LB counterpart
A 355,U+106C0,𐛀,¹⁄₅,10,,,,,,VASE 7(5); VASE 8(4); A 400(4); VASE 2(3); VASE 4(2),low,No known LB counterpart
A 355,U+106C0,𐛀,𐄁,10,,,,,,VASE 7(5); VASE 8(4); A 400(4); VASE 2(3); VASE 4(2),low,No known LB counterpart
A 356,U+106C1,𐛁,I+*301,2,,,,,,,low,No known LB counterpart
