bennett_id,la_unicode,la_char,lb_unicode,lb_char,lb_value,la_hyp_value,visual_sim,attestation,sign_type,visual_score,positional_score,frequency_score,toponym_score,ngram_score,composite_score,notes
AB 01,U+10600,𐘀,U+10000,𐀀,da,da,1.0,both,syllabogram,100.0,90.0,90.0,65.0,45.0,82.8,Nearly identical across LA and LB; the most securely transferred sign.
AB 02,U+10601,𐘁,U+10001,𐀁,ro,ro,1.0,both,syllabogram,100.0,75.0,90.0,45.0,60.0,76.2,Identical shape in both scripts but may have had different values (LA /i/ in toponyms); debated.
AB 03,U+10602,𐘂,U+10002,𐀂,pa,pa,1.0,both,syllabogram,100.0,80.0,90.0,61.0,45.0,79.8,Identical; securely transferred. High frequency in both corpora.
AB 04,U+10603,𐘃,U+10003,𐀃,te,te,1.0,both,syllabogram,100.0,75.0,90.0,28.0,45.0,70.5,"Identical in LA and LB. Fits place-name evidence (e.g., Pylos place names)."
AB 05,U+10604,𐘄,U+10004,𐀄,to,to,1.0,both,syllabogram,100.0,75.0,75.0,35.0,75.0,73.8,Shape identical. Possible LA value /i/ in some contexts (PHAISTOS = pa-i-to).
AB 06,U+10605,𐘅,U+10005,𐀅,na,na,1.0,both,syllabogram,100.0,80.0,90.0,43.0,45.0,75.2,Identical; very common in both scripts.
AB 07,U+10606,𐘆,U+10006,𐀆,di,di,1.0,both,syllabogram,100.0,80.0,70.0,55.0,45.0,76.2,Identical; DIKTE = di-ka-ta confirms LA /di/.
AB 08,U+10607,𐘇,U+10007,𐀇,a,a,1.0,both,syllabogram,100.0,85.0,90.0,32.0,60.0,75.0,Vowel sign; high frequency in both scripts.
AB 09,U+10608,𐘈,U+10008,𐀈,se,se,1.0,both,syllabogram,100.0,85.0,70.0,42.0,60.0,75.5,Identical. SETOIA = se-to-i-ja confirms.
AB 10,U+10609,𐘉,U+10009,𐀉,u,u,1.0,both,syllabogram,100.0,85.0,70.0,38.0,75.0,76.0,Vowel; identical form.
AB 11,U+1060A,𐘊,U+1000A,𐀊,si,si,1.0,both,syllabogram,100.0,65.0,90.0,57.0,65.0,77.8,Identical.
