greek_word,transliteration,minoan_reconstructed,english_gloss,suffix_type,suffix_pattern,confidence_score,matched_sequence,gorila_id,site,source,linear_a_candidate,notes
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),43.0,KUNISU,HT86a,Haghia Triada - Casa Room 7,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),43.0,KUNISU,HT86b,Haghia Triada - Casa Room 7,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),43.0,KURO,HT13,Haghia Triada - Villa Magazine,loanword_matches,glos,
μίνθη,minthē,mintʰ,mint,nth,-νθ- (other),41.5,MITU,HT117a,Haghia Triada - Casa Room 9,loanword_matches,mintʰ,
μίνθη,minthē,mintʰ,mint,nth,-νθ- (other),41.5,MINU,HT86a,Haghia Triada - Casa Room 7,loanword_matches,mintʰ,
μίνθη,minthē,mintʰ,mint,nth,-νθ- (other),41.5,MINU,HT95a,Haghia Triada - Casa Room 7,loanword_matches,mintʰ,
μίνθη,minthē,mintʰ,mint,nth,-νθ- (other),41.5,MINU,HT95b,Haghia Triada - Casa Room 7,loanword_matches,mintʰ,
μίνθη,minthē,mintʰ,mint,nth,-νθ- (other),41.5,MINU,HT106,Haghia Triada - Casa Room 7,loanword_matches,mintʰ,
μίνθη,minthē,mintʰ,mint,nth,-νθ- (other),41.5,MINU,MA1a,Malia,loanword_matches,mintʰ,
μίνθη,minthē,mintʰ,mint,nth,-νθ- (other),41.5,MINU,MA1b,Malia,loanword_matches,mintʰ,
μίνθη,minthē,mintʰ,mint,nth,-νθ- (other),41.5,MITETU,ZA20,Zakros,loanword_matches,mintʰ,
κισσύβιον,kissybion,kisub,ivy-wood cup,ss,-σσ- (other),41.5,SUPU,HT31,Haghia Triada - Villa Magazine,loanword_matches,kisub,
κισσύβιον,kissybion,kisub,ivy-wood cup,ss,-σσ- (other),41.5,SUPU,HT87,Haghia Triada - Casa Room 7,loanword_matches,kisub,
κισσύβιον,kissybion,kisub,ivy-wood cup,ss,-σσ- (other),41.5,SUPU,ARKH2,Arkhalkhori,loanword_matches,kisub,
κισσύβιον,kissybion,kisub,ivy-wood cup,ss,-σσ- (other),41.5,KIPU,HT34,Haghia Triada - Villa Magazine,loanword_matches,kisub,
κισσύβιον,kissybion,kisub,ivy-wood cup,ss,-σσ- (other),41.5,KISU,HT37,Haghia Triada - Villa Magazine,loanword_matches,kisub,
κισσύβιον,kissybion,kisub,ivy-wood cup,ss,-σσ- (other),41.5,KIDIPU,ZA14,Zakros,loanword_matches,kisub,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KUROSI,HT130,Haghia Triada - Casa Room 9,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KUROSA,HT117a,Haghia Triada - Casa Room 9,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,PAROSU,HT20,Haghia Triada - Villa Magazine,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURONI,HT67,Haghia Triada - Villa Magazine,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KUROTE,HT25b,Haghia Triada - Villa Magazine,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KUNISU,HT10a,Haghia Triada - Villa Magazine,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KUNISU,HT95a,Haghia Triada - Casa Room 7,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KUNISU,HT95b,Haghia Triada - Casa Room 7,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KUROKU,HT127b,Haghia Triada - Casa del Lebete,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KUROA,HT109,Haghia Triada - Casa Room 7,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,HT9a,Haghia Triada - Villa Magazine,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,HT40,Haghia Triada - Villa Magazine,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,HT74,Haghia Triada - Villa Magazine,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,HT85a,Haghia Triada - Casa Room 7,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,HT88,Haghia Triada - Casa Room 7,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,HT89,Haghia Triada - Casa Room 7,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,HT94b,Haghia Triada - Casa Room 7,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,HT110a,Haghia Triada - Casa Room 7,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,HT116b,Haghia Triada - Casa Room 9,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,HT119,Haghia Triada - Casa Room 9,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,HT122b,Haghia Triada - Casa del Lebete,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,PH(?)31a,Phaistos,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KURO,ZA15b,Zakros,loanword_matches,glos,
γλῶσσα,glōssa,glos,tongue,ss,-σσ- (other),41.5,KUTUSU,HT49a,Haghia Triada - Villa Magazine,loanword_matches,glos,
Μέλισσα,Melissa,melis,Melissa (nymph/bee),ss,-σσ- (other),41.5,RURISU,HT118,Haghia Triada - Casa Room 9,loanword_matches,melis,
Μέλισσα,Melissa,melis,Melissa (nymph/bee),ss,-σσ- (other),41.5,JARISU,HT115a,Haghia Triada - Casa Room 9,loanword_matches,melis,
