type,sign_a,sign_b,vowel,class,evidence,frequency,confidence
shared_vowel,AB 60,AB 31,a,,substitute in same frame at pos 1,17,0.7
shared_vowel,AB 31,AB 60,a,,substitute in same frame at pos 1,14,0.7
shared_consonant_series,AB 27,AB 31,,dental/coronal,substitute in same frame at pos 1,13,0.5
shared_consonant_series,AB 60,AB 53,,dental/coronal,substitute in same frame at pos 1,13,0.5
shared_vowel,AB 26,AB 69,u,,substitute in same frame at pos 1,8,0.7
shared_consonant_series,AB 26,AB 01,,dental/coronal,substitute in same frame at pos 1,8,0.5
shared_consonant_series,AB 51,AB 31,,dental/coronal,substitute in same frame at pos 1,7,0.5
shared_consonant_series,AB 06,AB 23,,dental/coronal,substitute in same frame at pos 1,7,0.5
shared_consonant_series,AB 67,AB 81,,velar/palatal,substitute in same frame at pos 1,6,0.5
shared_consonant_series,AB 31,AB 27,,dental/coronal,substitute in same frame at pos 1,6,0.5
shared_consonant_series,AB 27,AB 01,,dental/coronal,substitute in same frame at pos 1,5,0.5
shared_vowel,AB 27,AB 79,e,,substitute in same frame at pos 1,5,0.7
shared_consonant_series,AB 27,AB 53,,dental/coronal,substitute in same frame at pos 1,5,0.5
shared_consonant_series,AB 69,AB 31,,dental/coronal,substitute in same frame at pos 1,5,0.5
shared_vowel,AB 53,AB 41,i,,substitute in same frame at pos 1,5,0.7
shared_vowel,AB 06,AB 17,a,,substitute in same frame at pos 1,5,0.7
shared_consonant_series,AB 06,AB 55,,dental/coronal,substitute in same frame at pos 1,5,0.5
shared_vowel,AB 27,AB 24,e,,substitute in same frame at pos 1,5,0.7
shared_consonant_series,AB 27,AB 47,,dental/coronal,substitute in same frame at pos 1,5,0.5
shared_vowel,AB 27,AB 04,e,,substitute in same frame at pos 1,5,0.7
shared_consonant_series,AB 55,AB 41,,dental/coronal,substitute in same frame at pos 1,5,0.5
shared_consonant_series,AB 55,AB 06,,dental/coronal,substitute in same frame at pos 1,5,0.5
shared_consonant_series,AB 41,AB 01,,dental/coronal,substitute in same frame at pos 1,5,0.5
shared_consonant_series,AB 41,AB 04,,dental/coronal,substitute in same frame at pos 1,5,0.5
shared_consonant_series,AB 06,AB 55,,dental/coronal,substitute in same frame at pos 2,5,0.5
shared_consonant_series,AB 41,AB 01,,dental/coronal,substitute in same frame at pos 1,5,0.5
shared_consonant_series,AB 23,AB 45,,dental/coronal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 51,AB 07,,dental/coronal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 79,AB 02,,dental/coronal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 27,AB 53,,dental/coronal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 07,AB 17,,dental/coronal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 81,AB 57,,velar/palatal,substitute in same frame at pos 1,4,0.5
shared_vowel,AB 45,AB 30,i,,substitute in same frame at pos 1,4,0.7
shared_consonant_series,AB 09,AB 31,,dental/coronal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 09,AB 60,,dental/coronal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 02,AB 06,,dental/coronal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 67,AB 81,,velar/palatal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 53,AB 04,,dental/coronal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 55,AB 17,,dental/coronal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 04,AB 45,,dental/coronal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 04,AB 55,,dental/coronal,substitute in same frame at pos 1,4,0.5
shared_consonant_series,AB 67,AB 81,,velar/palatal,substitute in same frame at pos 2,4,0.5
shared_vowel,AB 60,AB 06,a,,substitute in same frame at pos 1,3,0.7
shared_consonant_series,AB 51,AB 04,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 30,AB 24,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 26,AB 06,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 01,AB 30,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_vowel,AB 77,AB 57,a,,substitute in same frame at pos 1,3,0.7
shared_consonant_series,AB 02,AB 60,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 02,AB 30,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 04,AB 31,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 51,AB 60,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 09,AB 53,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 31,AB 53,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 53,AB 51,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 55,AB 41,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 60,AB 26,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 41,AB 09,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_vowel,AB 41,AB 53,i,,substitute in same frame at pos 1,3,0.7
shared_vowel,AB 77,AB 57,a,,substitute in same frame at pos 1,3,0.7
shared_consonant_series,AB 07,AB 04,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 60,AB 55,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 27,AB 26,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 27,AB 02,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 02,AB 26,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_vowel,AB 01,AB 31,a,,substitute in same frame at pos 1,3,0.7
shared_consonant_series,AB 60,AB 27,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 67,AB 57,,velar/palatal,substitute in same frame at pos 1,3,0.5
shared_vowel,AB 69,AB 55,u,,substitute in same frame at pos 1,3,0.7
shared_consonant_series,AB 67,AB 77,,velar/palatal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 60,AB 24,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 60,AB 45,,dental/coronal,substitute in same frame at pos 1,3,0.5
shared_consonant_series,AB 60,AB 09,,dental/coronal,substitute in same frame at pos 1,3,0.5
