sign_a,sign_b,position,ngram_len,class_a,class_b,vowel_a,vowel_b,count_a,count_b,sub_type,inference,confidence,frame
AB 12,AB 52,2,3,dental/coronal,?,o,?,2,16,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 52(?),0.0,AB 30-AB 30-[AB 12|AB 52]
AB 76,AB 85,2,3,labial,?,i,?,3,14,morphological,prefix/suffix substitution: AB 76(pi) ↔ AB 85(?),0.0,AB 51-AB 26-[AB 76|AB 85]
AB 59,AB 30,0,3,?,dental/coronal,?,i,1,16,morphological,prefix/suffix substitution: AB 59(?) ↔ AB 30(ni),0.0,[AB 59|AB 30]-AB 30-AB 52
AB 89,AB 30,0,3,labial,dental/coronal,i,i,1,16,morphological,prefix/suffix substitution: AB 89(mi) ↔ AB 30(ni),0.0,[AB 89|AB 30]-AB 30-AB 52
VASE 3,AB 30,0,3,?,dental/coronal,?,i,1,16,morphological,prefix/suffix substitution: VASE 3(?) ↔ AB 30(ni),0.0,[VASE 3|AB 30]-AB 30-AB 52
AB 52,AB 30,1,3,?,dental/coronal,?,i,1,16,unknown,unclassified: AB 52(?) ↔ AB 30(ni),0.0,AB 30-[AB 52|AB 30]-AB 52
AB 49,AB 08,0,3,?,vowel,?,a,12,5,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 08(a),0.0,[AB 49|AB 08]-AB 30-AB 30
AB 52,AB 22f,2,3,?,?,?,?,16,1,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 22f(?),0.0,AB 30-AB 30-[AB 52|AB 22f]
AB 30,AB 49,0,3,dental/coronal,?,i,?,16,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 49(?),0.0,[AB 30|AB 49]-AB 30-AB 52
AB 30,AB 13,0,3,dental/coronal,labial,i,e,16,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 13(me),0.0,[AB 30|AB 13]-AB 30-AB 52
AB 26,AB 06,2,3,dental/coronal,dental/coronal,u,a,13,3,unknown,unclassified: AB 26(ru) ↔ AB 06(na),0.0,AB 08-AB 51-[AB 26|AB 06]
AB 51,AB 06,0,3,dental/coronal,dental/coronal,u,a,14,2,unknown,unclassified: AB 51(du) ↔ AB 06(na),0.0,[AB 51|AB 06]-AB 26-AB 85
AB 75,AB 85,2,3,?,?,?,?,1,14,morphological,prefix/suffix substitution: AB 75(?) ↔ AB 85(?),0.0,AB 51-AB 26-[AB 75|AB 85]
AB 08,AB 10,0,3,vowel,vowel,a,u,13,2,unknown,unclassified: AB 08(a) ↔ AB 10(u),0.0,[AB 08|AB 10]-AB 51-AB 26
AB 51,AB 45,1,3,dental/coronal,dental/coronal,u,i,13,2,phonetic,"same class (dental/coronal), different vowel: AB 51(du) ↔ AB 45(ri)",0.5,AB 08-[AB 51|AB 45]-AB 26
AB 85,AB 64,2,3,?,?,?,?,14,1,morphological,prefix/suffix substitution: AB 85(?) ↔ AB 64(?),0.0,AB 51-AB 26-[AB 85|AB 64]
AB 85,AB 09,2,3,?,dental/coronal,?,e,14,1,morphological,prefix/suffix substitution: AB 85(?) ↔ AB 09(se),0.0,AB 51-AB 26-[AB 85|AB 09]
AB 26,A 301,1,3,dental/coronal,?,u,?,14,1,unknown,unclassified: AB 26(ru) ↔ A 301(?),0.0,AB 51-[AB 26|A 301]-AB 85
AB 85,AB 36,2,3,?,velar/palatal,?,o,14,1,morphological,prefix/suffix substitution: AB 85(?) ↔ AB 36(jo),0.0,AB 51-AB 26-[AB 85|AB 36]
AB 85,AB 47,2,3,?,dental/coronal,?,u,14,1,morphological,prefix/suffix substitution: AB 85(?) ↔ AB 47(nu),0.0,AB 51-AB 26-[AB 85|AB 47]
AB 49,AB 08,0,4,?,vowel,?,a,11,4,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 08(a),0.0,[AB 49|AB 08]-AB 30-AB 30-AB 52
VASE 7,AB 08,0,3,?,vowel,?,a,1,13,morphological,prefix/suffix substitution: VASE 7(?) ↔ AB 08(a),0.0,[VASE 7|AB 08]-AB 51-AB 26
AB 43,AB 08,0,3,labial,vowel,a,a,1,13,morphological,prefix/suffix substitution: AB 43(pa) ↔ AB 08(a),0.0,[AB 43|AB 08]-AB 51-AB 26
AB 30,AB 52,1,3,dental/coronal,?,i,?,2,12,unknown,unclassified: AB 30(ni) ↔ AB 52(?),0.0,AB 30-[AB 30|AB 52]-AB 12
AB 04,AB 12,2,3,dental/coronal,dental/coronal,e,o,2,12,unknown,unclassified: AB 04(te) ↔ AB 12(so),0.0,AB 30-AB 52-[AB 04|AB 12]
AB 09,AB 51,1,3,dental/coronal,dental/coronal,e,u,1,13,phonetic,"same class (dental/coronal), different vowel: AB 09(se) ↔ AB 51(du)",0.5,AB 08-[AB 09|AB 51]-AB 26
AB 56,AB 08,0,3,?,vowel,?,a,1,13,morphological,prefix/suffix substitution: AB 56(?) ↔ AB 08(a),0.0,[AB 56|AB 08]-AB 51-AB 26
AB 08,AB 06,0,3,vowel,dental/coronal,a,a,13,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 06(na),0.0,[AB 08|AB 06]-AB 51-AB 26
AB 26,A 301,2,3,dental/coronal,?,u,?,13,1,morphological,prefix/suffix substitution: AB 26(ru) ↔ A 301(?),0.0,AB 08-AB 51-[AB 26|A 301]
AB 26,NUM 100,2,3,dental/coronal,?,u,?,13,1,morphological,prefix/suffix substitution: AB 26(ru) ↔ NUM 100(?),0.0,AB 08-AB 51-[AB 26|NUM 100]
AB 26,AB 24,2,3,dental/coronal,dental/coronal,u,e,13,1,unknown,unclassified: AB 26(ru) ↔ AB 24(ne),0.0,AB 08-AB 51-[AB 26|AB 24]
AB 08,VASE 2,0,3,vowel,?,a,?,13,1,morphological,prefix/suffix substitution: AB 08(a) ↔ VASE 2(?),0.0,[AB 08|VASE 2]-AB 51-AB 26
