bennett_id,frequency,consonant_class,vowel,plausible,series,reasons
AB 16,45,DENTAL,a,True,medial-dominant,Kober rescue: frequency contradiction overridden by series/triple link
AB 16,45,DENTAL,e,True,medial-dominant,Kober series 'medial-dominant': consonant DENTAL matches; Kober rescue: frequency contradiction overridden by series/triple link
AB 16,45,DENTAL,i,True,medial-dominant,
AB 16,45,DENTAL,o,True,medial-dominant,
AB 16,45,DENTAL,u,True,medial-dominant,
AB 16,45,LABIAL,a,True,medial-dominant,
AB 16,45,LABIAL,e,True,medial-dominant,Kober series 'medial-dominant': consonant LABIAL matches
AB 16,45,LABIAL,i,True,medial-dominant,Kober rescue: frequency contradiction overridden by series/triple link
AB 16,45,LABIAL,o,True,medial-dominant,
AB 16,45,LABIAL,u,True,medial-dominant,
AB 16,45,VELAR,a,True,medial-dominant,
AB 16,45,VELAR,e,True,medial-dominant,Kober series 'medial-dominant': consonant VELAR matches
AB 16,45,VELAR,i,True,medial-dominant,
AB 16,45,VELAR,o,True,medial-dominant,
AB 16,45,VELAR,u,True,medial-dominant,
AB 16,45,SIBILANT,a,True,medial-dominant,Kober rescue: frequency contradiction overridden by series/triple link
AB 16,45,SIBILANT,e,True,medial-dominant,Kober series 'medial-dominant': consonant SIBILANT matches
AB 16,45,SIBILANT,i,True,medial-dominant,
AB 16,45,SIBILANT,o,True,medial-dominant,
AB 16,45,SIBILANT,u,True,medial-dominant,
AB 16,45,LIQUID,a,True,medial-dominant,
AB 16,45,LIQUID,e,True,medial-dominant,Kober series 'medial-dominant': consonant LIQUID matches
AB 16,45,LIQUID,i,True,medial-dominant,
AB 16,45,LIQUID,o,True,medial-dominant,
AB 16,45,LIQUID,u,True,medial-dominant,
AB 16,45,PALATAL,a,True,medial-dominant,"Kober series 'medial-dominant': vowel a matches series partners {'u', 'o', 'a', 'i'}"
AB 16,45,PALATAL,i,True,medial-dominant,"Kober series 'medial-dominant': vowel i matches series partners {'u', 'o', 'a', 'i'}"
AB 16,45,PALATAL,o,True,medial-dominant,"Kober series 'medial-dominant': vowel o matches series partners {'u', 'o', 'a', 'i'}"
AB 16,45,PALATAL,u,True,medial-dominant,"Kober series 'medial-dominant': vowel u matches series partners {'u', 'o', 'a', 'i'}"
AB 16,45,SEMIVOWEL,a,True,medial-dominant,"Kober series 'medial-dominant': vowel a matches series partners {'u', 'o', 'a', 'i'}"
AB 16,45,SEMIVOWEL,i,True,medial-dominant,"Kober series 'medial-dominant': vowel i matches series partners {'u', 'o', 'a', 'i'}"
AB 16,45,SEMIVOWEL,o,True,medial-dominant,"Kober series 'medial-dominant': vowel o matches series partners {'u', 'o', 'a', 'i'}"
AB 16,45,SEMIVOWEL,u,True,medial-dominant,"Kober series 'medial-dominant': vowel u matches series partners {'u', 'o', 'a', 'i'}"
AB 16,45,VOWEL,a,True,medial-dominant,"Kober series 'medial-dominant': vowel a matches series partners {'u', 'o', 'a', 'i'}"
AB 16,45,VOWEL,i,True,medial-dominant,"Kober series 'medial-dominant': vowel i matches series partners {'u', 'o', 'a', 'i'}"
AB 16,45,VOWEL,o,True,medial-dominant,"Kober series 'medial-dominant': vowel o matches series partners {'u', 'o', 'a', 'i'}"
AB 16,45,VOWEL,u,True,medial-dominant,"Kober series 'medial-dominant': vowel u matches series partners {'u', 'o', 'a', 'i'}"
AB 16,45,PALATAL,e,False,medial-dominant,"Kober series 'medial-dominant': neither consonant (PALATAL not in {'LIQUID', 'VELAR', 'LABIAL', 'DENTAL', 'SIBILANT'}) nor vowel (e not in {'u', 'o', 'a', 'i'}) matches series partners"
AB 16,45,SEMIVOWEL,e,False,medial-dominant,"Kober series 'medial-dominant': neither consonant (SEMIVOWEL not in {'LIQUID', 'VELAR', 'LABIAL', 'DENTAL', 'SIBILANT'}) nor vowel (e not in {'u', 'o', 'a', 'i'}) matches series partners"
AB 16,45,VOWEL,e,False,medial-dominant,"Kober series 'medial-dominant': neither consonant (VOWEL not in {'LIQUID', 'VELAR', 'LABIAL', 'DENTAL', 'SIBILANT'}) nor vowel (e not in {'u', 'o', 'a', 'i'}) matches series partners"
AB 19,0,DENTAL,a,True,,zero frequency — no constraint
AB 19,0,DENTAL,e,True,,zero frequency — no constraint
AB 19,0,DENTAL,i,True,,zero frequency — no constraint
AB 19,0,DENTAL,o,True,,zero frequency — no constraint
AB 19,0,DENTAL,u,True,,zero frequency — no constraint
AB 19,0,LABIAL,a,True,,zero frequency — no constraint
AB 19,0,LABIAL,e,True,,zero frequency — no constraint
AB 19,0,LABIAL,i,True,,zero frequency — no constraint
AB 19,0,LABIAL,o,True,,zero frequency — no constraint
AB 19,0,LABIAL,u,True,,zero frequency — no constraint
AB 19,0,VELAR,a,True,,zero frequency — no constraint
AB 19,0,VELAR,e,True,,zero frequency — no constraint
AB 19,0,VELAR,i,True,,zero frequency — no constraint
AB 19,0,VELAR,o,True,,zero frequency — no constraint
AB 19,0,VELAR,u,True,,zero frequency — no constraint
AB 19,0,SIBILANT,a,True,,zero frequency — no constraint
AB 19,0,SIBILANT,e,True,,zero frequency — no constraint
AB 19,0,SIBILANT,i,True,,zero frequency — no constraint
AB 19,0,SIBILANT,o,True,,zero frequency — no constraint
AB 19,0,SIBILANT,u,True,,zero frequency — no constraint
AB 19,0,LIQUID,a,True,,zero frequency — no constraint
AB 19,0,LIQUID,e,True,,zero frequency — no constraint
AB 19,0,LIQUID,i,True,,zero frequency — no constraint
AB 19,0,LIQUID,o,True,,zero frequency — no constraint
AB 19,0,LIQUID,u,True,,zero frequency — no constraint
AB 19,0,PALATAL,a,True,,zero frequency — no constraint
AB 19,0,PALATAL,e,True,,zero frequency — no constraint
AB 19,0,PALATAL,i,True,,zero frequency — no constraint
AB 19,0,PALATAL,o,True,,zero frequency — no constraint
AB 19,0,PALATAL,u,True,,zero frequency — no constraint
AB 19,0,SEMIVOWEL,a,True,,zero frequency — no constraint
AB 19,0,SEMIVOWEL,e,True,,zero frequency — no constraint
AB 19,0,SEMIVOWEL,i,True,,zero frequency — no constraint
AB 19,0,SEMIVOWEL,o,True,,zero frequency — no constraint
AB 19,0,SEMIVOWEL,u,True,,zero frequency — no constraint
AB 19,0,VOWEL,a,True,,zero frequency — no constraint
AB 19,0,VOWEL,e,True,,zero frequency — no constraint
AB 19,0,VOWEL,i,True,,zero frequency — no constraint
AB 19,0,VOWEL,o,True,,zero frequency — no constraint
AB 19,0,VOWEL,u,True,,zero frequency — no constraint
AB 20,2,DENTAL,i,True,,
AB 20,2,DENTAL,u,True,,
AB 20,2,LABIAL,a,True,,
AB 20,2,LABIAL,e,True,,
AB 20,2,LABIAL,o,True,,
AB 20,2,VELAR,a,True,,
AB 20,2,VELAR,i,True,,
AB 20,2,VELAR,o,True,,
AB 20,2,VELAR,u,True,,
AB 20,2,SIBILANT,a,True,,
AB 20,2,SIBILANT,e,True,,
AB 20,2,SIBILANT,i,True,,
AB 20,2,SIBILANT,o,True,,
AB 20,2,SIBILANT,u,True,,
AB 20,2,LIQUID,a,True,,
AB 20,2,LIQUID,e,True,,
AB 20,2,LIQUID,o,True,,
AB 20,2,LIQUID,u,True,,
AB 20,2,PALATAL,a,True,,
AB 20,2,PALATAL,e,True,,
AB 20,2,PALATAL,i,True,,
AB 20,2,PALATAL,o,True,,
AB 20,2,PALATAL,u,True,,
AB 20,2,SEMIVOWEL,a,True,,
AB 20,2,SEMIVOWEL,e,True,,
AB 20,2,SEMIVOWEL,i,True,,
AB 20,2,SEMIVOWEL,o,True,,
AB 20,2,SEMIVOWEL,u,True,,
AB 20,2,VOWEL,a,True,,
AB 20,2,VOWEL,e,True,,
AB 20,2,VOWEL,i,True,,
AB 20,2,VOWEL,o,True,,
AB 20,2,VOWEL,u,True,,
AB 20,2,DENTAL,a,False,,"frequency 2 outside DENTAL/a envelope (mean=148.5, std=9.5)"
AB 20,2,DENTAL,e,False,,"frequency 2 outside DENTAL/e envelope (mean=140.5, std=15.5)"
AB 20,2,DENTAL,o,False,,"frequency 2 outside DENTAL/o envelope (mean=28.5, std=11.5)"
AB 20,2,LABIAL,i,False,,"frequency 2 outside LABIAL/i envelope (mean=6.3, std=1.7)"
AB 20,2,LABIAL,u,False,,"frequency 2 outside LABIAL/u envelope (mean=94.3, std=32.7)"
AB 20,2,VELAR,e,False,,"frequency 2 outside VELAR/e envelope (mean=62.5, std=16.5)"
AB 20,2,LIQUID,i,False,,"frequency 2 outside LIQUID/i envelope (mean=53.0, std=24.0)"
AB 21F,0,DENTAL,a,True,,zero frequency — no constraint
AB 21F,0,DENTAL,e,True,,zero frequency — no constraint
