profile_type,profile_label,count,mean,std,min,max,p25,p50,p75,total_tokens
GLOBAL,All syllabograms,129,44.4,63.9,1,308,4,15,58,5733
CONSONANT_CLASS,DENTAL,14,87.1,57.6,13,165,27.2,84.5,139.0,1219
CONSONANT_CLASS,LABIAL,13,39.2,43.1,0,135,4,24,55,510
CONSONANT_CLASS,LIQUID,7,73.7,76.8,5,193,12.5,29,132.0,516
CONSONANT_CLASS,PALATAL,3,144.0,70.4,73,240,96.0,119,179.5,432
CONSONANT_CLASS,SEMIVOWEL,2,22.5,13.5,9,36,15.8,22.5,29.2,45
CONSONANT_CLASS,SIBILANT,7,22.3,22.5,0,67,8.0,8,32.5,156
CONSONANT_CLASS,VELAR,6,32.8,32.0,2,79,2.2,24.5,60.2,197
CONSONANT_CLASS,VOWEL,6,80.3,62.1,14,202,39.2,60.0,100.2,482
VOWEL_ROW,a (A-row),14,62.9,61.8,0,202,18.2,33.5,95.5,881
VOWEL_ROW,e (E-row),9,62.0,48.9,0,156,35,46,79,558
VOWEL_ROW,i (I-row),14,42.8,45.5,3,139,8.0,18.5,72.2,599
VOWEL_ROW,o (O-row),10,59.9,79.5,2,240,8.0,28.5,49.8,599
VOWEL_ROW,u (U-row),11,83.6,60.5,2,193,36.0,68,127.0,920
CV_SLOT,DENTAL_a,2,148.5,9.5,139,158,143.8,148.5,153.2,297
CV_SLOT,DENTAL_e,2,140.5,15.5,125,156,132.8,140.5,148.2,281
CV_SLOT,DENTAL_i,4,82.2,44.8,23,139,49.2,83.5,116.5,329
CV_SLOT,DENTAL_o,2,28.5,11.5,17,40,22.8,28.5,34.2,57
CV_SLOT,DENTAL_u,4,63.8,61.3,13,165,16.0,38.5,86.2,255
CV_SLOT,LABIAL_a,5,32.2,37.3,0,103,3,24,31,161
CV_SLOT,LABIAL_i,3,6.3,1.7,4,8,5.5,7,7.5,19
CV_SLOT,LABIAL_u,3,94.3,32.7,55,135,74.0,93,114.0,283
CV_SLOT,LIQUID_i,2,53.0,24.0,29,77,41.0,53.0,65.0,106
CV_SLOT,LIQUID_o,2,97.5,89.5,8,187,52.8,97.5,142.2,195
CV_SLOT,SIBILANT_a,2,15.0,7.0,8,22,11.5,15.0,18.5,30
CV_SLOT,SIBILANT_e,2,33.5,33.5,0,67,16.8,33.5,50.2,67
CV_SLOT,SIBILANT_o,2,25.5,17.5,8,43,16.8,25.5,34.2,51
CV_SLOT,VELAR_e,2,62.5,16.5,46,79,54.2,62.5,70.8,125
CV_SLOT,VOWEL_i,2,62.5,48.5,14,111,38.2,62.5,86.8,125
