bennett_id,cluster_id,cluster_label,init_frac,med_frac,fin_frac,total_occ,conventional_value,ml_predicted,ml_confidence,ml_changed_value,positional_ml_consistent,distance_to_centroid
AB 70,0,medial-dominant,0.0,0.9333,0.0667,15,,,0.0,False,True,0.0
AB 02,1,boundary-flexible,0.3477,0.2043,0.448,279,ro,ro,0.3403,False,True,0.084577
AB 21,1,boundary-flexible,0.6,0.0,0.4,5,,,0.0,False,True,0.247997
AB 41,1,boundary-flexible,0.3631,0.2976,0.3393,336,?,si,0.1221,True,True,0.16213
AB 46,1,boundary-flexible,0.2941,0.2941,0.4118,17,?,je,0.2109,True,True,0.17732
AB 74,1,boundary-flexible,0.4946,0.0,0.5054,93,,,0.0,False,True,0.203436
AB 82,1,boundary-flexible,0.4,0.2,0.4,5,?,o,0.143,True,True,0.041638
AB 01,2,medial-dominant,0.1608,0.7413,0.0979,143,da,da,0.525,False,True,0.029059
AB 07,2,medial-dominant,0.1009,0.789,0.1101,109,di,di,0.4855,False,True,0.064528
AB 11,2,medial-dominant,0.25,0.75,0.0,8,,,0.0,False,True,0.161764
AB 16,2,medial-dominant,0.1739,0.7174,0.1087,46,qa,qa,0.2839,False,True,0.040823
AB 23,2,medial-dominant,0.1875,0.6875,0.125,16,mu,mu,0.4072,False,True,0.069802
AB 37,2,medial-dominant,0.1161,0.7411,0.1429,112,?,ke,0.0757,True,True,0.034524
AB 39,2,medial-dominant,0.0847,0.7966,0.1186,59,?,pe,0.2407,True,True,0.080364
AB 45,2,medial-dominant,0.0857,0.7714,0.1429,35,ri,de,0.3035,True,True,0.068273
AB 50,2,medial-dominant,0.2,0.68,0.12,25,pu,pu,0.3216,False,True,0.083597
AB 60,2,medial-dominant,0.094,0.7778,0.1282,117,ra,ra,0.3156,False,True,0.061466
AB 66,2,medial-dominant,0.0556,0.7778,0.1667,18,?,ta,0.1687,True,True,0.105146
AB 78,2,medial-dominant,0.2128,0.617,0.1702,47,qe,qe,0.2239,False,True,0.150668
AB 79,2,medial-dominant,0.1562,0.6875,0.1562,32,?,ze,0.0978,True,True,0.065511
AB 80,2,medial-dominant,0.0992,0.8182,0.0826,121,ma,ma,0.2519,False,True,0.096484
AB 38,3,neutral,0.1875,0.5,0.3125,32,e,e,0.4961,False,True,0.156239
AB 83,3,neutral,0.45,0.35,0.2,20,,,0.0,False,True,0.167597
AB 86,3,neutral,0.3077,0.4615,0.2308,13,?,lo,0.1074,True,True,0.030598
AB 75,4,neutral,0.069,0.6552,0.2759,29,?,tu,0.0674,True,True,0.054584
AB 76,4,neutral,0.0566,0.5849,0.3585,53,,,0.0,False,True,0.054584
