link_type,sign_a,sign_b,shared_following_sign,shared_preceding_sign,bigram_total,total_common_right,total_common_left,common_right_signs,common_left_signs
consonant-candidate,AB 56,AB 66,AB 02,,56,13,,"AB 01, AB 02, AB 06, AB 09, AB 23",
vowel-candidate,AB 48,AB 02,,AB 66,53,,2,,"AB 01, AB 66"
vowel-candidate,AB 02,AB 03,,AB 66,51,,5,,"AB 24, AB 47, AB 62, AB 65, AB 66"
consonant-candidate,AB 30,AB 66,AB 02,,44,7,,"AB 02, AB 23, AB 24, AB 26, AB 52",
consonant-candidate,AB 66,AB 01,AB 02,,44,14,,"AB 01, AB 02, AB 06, AB 23, AB 24",
vowel-candidate,AB 02,AB 64,,AB 66,44,,1,,AB 66
vowel-candidate,AB 02,AB 59,,AB 66,44,,5,,"AB 01, AB 24, AB 30, AB 47, AB 66"
consonant-candidate,AB 66,AB 69,AB 02,,43,1,,AB 02,
consonant-candidate,AB 66,AB 65,AB 02,,42,11,,"AB 02, AB 03, AB 06, AB 09, AB 23",
vowel-candidate,AB 02,AB 66,,AB 66,42,,5,,"AB 01, AB 24, AB 62, AB 65, AB 66"
consonant-candidate,AB 66,AB 62,AB 02,,41,10,,"AB 02, AB 03, AB 06, AB 09, AB 23",
consonant-candidate,AB 66,AB 24,AB 02,,41,11,,"AB 02, AB 03, AB 06, AB 26, AB 32",
consonant-candidate,AB 66,AB 47,AB 02,,41,10,,"AB 01, AB 02, AB 03, AB 09, AB 26",
vowel-candidate,AB 02,AB 26,,AB 66,41,,7,,"AB 01, AB 24, AB 30, AB 47, AB 62"
vowel-candidate,AB 02,AB 54,,AB 66,41,,4,,"AB 01, AB 24, AB 65, AB 66"
vowel-candidate,AB 44,AB 51,,AB 08,37,,7,,"AB 01, AB 08, AB 26, AB 36, AB 49"
consonant-candidate,AB 08,AB 30,AB 52,,32,10,,"AB 22f, AB 23, AB 24, AB 26, AB 30",
consonant-candidate,AB 30,AB 26,AB 61,,29,4,,"AB 30, AB 49, AB 59, AB 61",
consonant-candidate,AB 30,AB 03,AB 52,,29,7,,"AB 24, AB 26, AB 30, AB 45, AB 49",
consonant-candidate,AB 51,AB 34,AB 06,,29,5,,"AB 04, AB 06, AB 32, AB 51, AB 62",
consonant-candidate,AB 07,AB 30,AB 52,,28,6,,"AB 22f, AB 24, AB 45, AB 49, AB 52",
consonant-candidate,AB 96,AB 51,AB 26,,27,1,,AB 26,
vowel-candidate,AB 52,AB 44,,AB 08,27,,7,,"AB 01, AB 06, AB 08, AB 36, AB 49"
consonant-candidate,AB 51,AB 30,AB 52,,26,7,,"AB 22f, AB 24, AB 26, AB 45, AB 49",
consonant-candidate,AB 30,AB 36,AB 52,,26,7,,"AB 23, AB 24, AB 26, AB 30, AB 49",
consonant-candidate,AB 51,AB 45,AB 06,,26,11,,"AB 01, AB 04, AB 06, AB 08, AB 26",
consonant-candidate,AB 51,AB 05,AB 26,,26,2,,"AB 26, AB 66",
vowel-candidate,AB 48,AB 03,,AB 66,26,,2,,"AB 08, AB 66"
vowel-candidate,AB 62,AB 51,,AB 08,26,,12,,"AB 01, AB 08, AB 23, AB 26, AB 29"
vowel-candidate,AB 44,AB 30,,AB 08,26,,9,,"AB 02, AB 06, AB 08, AB 26, AB 36"
vowel-candidate,AB 10,AB 36,,AB 06,26,,8,,"AB 01, AB 06, AB 24, AB 29, AB 49"
vowel-candidate,AB 02,AB 61,,AB 30,26,,1,,AB 30
consonant-candidate,AB 63,AB 30,AB 61,,25,5,,"AB 43, AB 45, AB 49, AB 52, AB 61",
consonant-candidate,AB 30,AB 44,AB 52,,25,8,,"AB 22f, AB 23, AB 24, AB 30, AB 45",
vowel-candidate,AB 36,AB 44,,AB 08,25,,9,,"AB 01, AB 02, AB 06, AB 08, AB 26"
vowel-candidate,AB 45,AB 44,,AB 08,25,,7,,"AB 01, AB 08, AB 32, AB 51, AB 52"
vowel-candidate,AB 09,AB 44,,AB 08,25,,4,,"AB 08, AB 26, AB 49, AB 62"
vowel-candidate,AB 61,AB 24,,AB 30,25,,1,,AB 30
vowel-candidate,AB 61,AB 22f,,AB 30,25,,1,,AB 30
vowel-candidate,AB 52,AB 77,,AB 30,25,,1,,AB 30
vowel-candidate,AB 52,AB 21f,,AB 30,25,,1,,AB 30
consonant-candidate,AB 59,AB 30,AB 52,,24,6,,"AB 22f, AB 24, AB 26, AB 49, AB 52",
