series_id,series_label,role,bennett_id,init_frac,med_frac,fin_frac,total_occ,ml_predicted,ml_confidence,distance_to_centroid
0,medial-dominant,medial-series,AB 70,0.0,0.9333,0.0667,15,,0.0,0.0
1,boundary-flexible,consonant-initial-series,AB 82,0.4,0.2,0.4,5,o,0.143,0.041638
1,boundary-flexible,consonant-initial-series,AB 02,0.3477,0.2043,0.448,279,ro,0.3403,0.084577
1,boundary-flexible,consonant-initial-series,AB 41,0.3631,0.2976,0.3393,336,si,0.1221,0.16213
1,boundary-flexible,consonant-initial-series,AB 46,0.2941,0.2941,0.4118,17,je,0.2109,0.17732
1,boundary-flexible,consonant-initial-series,AB 74,0.4946,0.0,0.5054,93,,0.0,0.203436
1,boundary-flexible,consonant-initial-series,AB 21,0.6,0.0,0.4,5,,0.0,0.247997
2,medial-dominant,medial-series,AB 01,0.1608,0.7413,0.0979,143,da,0.525,0.029059
2,medial-dominant,medial-series,AB 37,0.1161,0.7411,0.1429,112,ke,0.0757,0.034524
2,medial-dominant,medial-series,AB 16,0.1739,0.7174,0.1087,46,qa,0.2839,0.040823
2,medial-dominant,medial-series,AB 60,0.094,0.7778,0.1282,117,ra,0.3156,0.061466
2,medial-dominant,medial-series,AB 07,0.1009,0.789,0.1101,109,di,0.4855,0.064528
2,medial-dominant,medial-series,AB 79,0.1562,0.6875,0.1562,32,ze,0.0978,0.065511
2,medial-dominant,medial-series,AB 45,0.0857,0.7714,0.1429,35,de,0.3035,0.068273
2,medial-dominant,medial-series,AB 23,0.1875,0.6875,0.125,16,mu,0.4072,0.069802
2,medial-dominant,medial-series,AB 39,0.0847,0.7966,0.1186,59,pe,0.2407,0.080364
2,medial-dominant,medial-series,AB 50,0.2,0.68,0.12,25,pu,0.3216,0.083597
2,medial-dominant,medial-series,AB 80,0.0992,0.8182,0.0826,121,ma,0.2519,0.096484
2,medial-dominant,medial-series,AB 66,0.0556,0.7778,0.1667,18,ta,0.1687,0.105146
2,medial-dominant,medial-series,AB 78,0.2128,0.617,0.1702,47,qe,0.2239,0.150668
2,medial-dominant,medial-series,AB 11,0.25,0.75,0.0,8,,0.0,0.161764
3,neutral,neutral-series,AB 86,0.3077,0.4615,0.2308,13,lo,0.1074,0.030598
3,neutral,neutral-series,AB 38,0.1875,0.5,0.3125,32,e,0.4961,0.156239
3,neutral,neutral-series,AB 83,0.45,0.35,0.2,20,,0.0,0.167597
4,neutral,neutral-series,AB 75,0.069,0.6552,0.2759,29,tu,0.0674,0.054584
4,neutral,neutral-series,AB 76,0.0566,0.5849,0.3585,53,,0.0,0.054584
