triple_id,total_connections,connections,sign_1,sign_2,sign_3,shared_following,shared_preceding,s1_in_uncertain,s2_in_uncertain,s3_in_uncertain,uncertain_count,sign_1_ml_pred,sign_2_ml_pred,sign_3_ml_pred,sign_1_ml_conf,sign_2_ml_conf,sign_3_ml_conf,sign_1_pos_init,sign_2_pos_init,sign_3_pos_init,sign_1_pos_fin,sign_2_pos_fin,sign_3_pos_fin,sign_1_total_occ,sign_2_total_occ,sign_3_total_occ
11845,3,"C,V,both",AB 62,AB 85,AB 66,"AB 02,AB 10",AB 08,True,True,True,3,ta,au,ta,0.1386,0.1286,0.1687,0.403,0.469,0.362,0.394,0.47,0.356,437,508,461
9610,3,"C,V,both",AB 36,AB 62,AB 66,"AB 02,AB 52,AB 56","AB 08,AB 63",True,True,True,3,jo,ta,ta,0.3901,0.1386,0.1687,0.363,0.403,0.362,0.324,0.394,0.356,333,437,461
11843,3,"C,V,both",AB 62,AB 85,AB 36,"AB 10,AB 36,AB 56","AB 08,AB 63",True,True,True,3,ta,au,jo,0.1386,0.1286,0.3901,0.403,0.469,0.363,0.394,0.47,0.324,437,508,333
1016,3,"C,V,both",AB 02,AB 62,AB 66,"AB 02,AB 56,AB 65","AB 08,AB 62,AB 66",True,True,True,3,ro,ta,ta,0.3403,0.1386,0.1687,0.337,0.403,0.362,0.441,0.394,0.356,279,437,461
10827,3,"C,V,both",AB 49,AB 62,AB 66,"AB 02,AB 10,AB 52","AB 08,AB 63",True,True,True,3,we,ta,ta,0.2994,0.1386,0.1687,0.163,0.403,0.362,0.145,0.394,0.356,172,437,461
11186,3,"C,V,both",AB 51,AB 62,AB 66,"AB 02,AB 07,AB 52","AB 08,AB 66",True,True,True,3,du,ta,ta,0.2566,0.1386,0.1687,0.172,0.403,0.362,0.161,0.394,0.356,180,437,461
10875,3,"C,V,both",AB 49,AB 85,AB 66,"AB 10,AB 52",AB 08,True,True,True,3,we,au,ta,0.2994,0.1286,0.1687,0.163,0.469,0.362,0.145,0.47,0.356,172,508,461
1176,3,"C,V,both",AB 02,AB 36,AB 66,"AB 52,AB 56,AB 65","AB 08,AB 56,AB 66",True,True,True,3,ro,jo,ta,0.3403,0.3901,0.1687,0.337,0.363,0.362,0.441,0.324,0.356,279,333,461
237,3,"C,V,both",AB 01,AB 62,AB 66,"AB 02,AB 10","AB 07,AB 08,AB 66",True,True,True,3,da,ta,ta,0.525,0.1386,0.1687,0.154,0.403,0.362,0.091,0.394,0.356,143,437,461
8388,3,"C,V,both",AB 29,AB 62,AB 66,"AB 02,AB 06,AB 10","AB 08,AB 50,AB 66",True,True,True,3,pu,ta,ta,0.3253,0.1386,0.1687,0.118,0.403,0.362,0.243,0.394,0.356,144,437,461
10825,3,"C,V,both",AB 49,AB 62,AB 85,AB 10,"AB 08,AB 63",True,True,True,3,we,ta,au,0.2994,0.1386,0.1286,0.163,0.403,0.469,0.145,0.394,0.47,172,437,508
11849,3,"C,V,both",AB 62,AB 85,AB 51,"AB 07,AB 10",AB 08,True,True,True,3,ta,au,du,0.1386,0.1286,0.2566,0.403,0.469,0.172,0.394,0.47,0.161,437,508,180
433,3,"C,V,both",AB 01,AB 85,AB 66,"AB 02,AB 10","AB 08,AB 66",True,True,True,3,da,au,ta,0.525,0.1286,0.1687,0.154,0.469,0.362,0.091,0.47,0.356,143,508,461
11509,3,"C,V,both",AB 56,AB 62,AB 66,"AB 02,AB 56","AB 08,AB 63",True,True,True,3,pa,ta,ta,0.2148,0.1386,0.1687,0.144,0.403,0.362,0.106,0.394,0.356,132,437,461
8477,3,"C,V,both",AB 29,AB 85,AB 66,"AB 06,AB 10","AB 08,AB 66",True,True,True,3,pu,au,ta,0.3253,0.1286,0.1687,0.118,0.469,0.362,0.243,0.47,0.356,144,508,461
9638,3,"C,V,both",AB 36,AB 49,AB 66,"AB 52,AB 56","AB 08,AB 63",True,True,True,3,jo,we,ta,0.3901,0.2994,0.1687,0.363,0.163,0.362,0.324,0.145,0.356,333,172,461
9740,3,"C,V,both",AB 36,AB 66,AB 51,"AB 07,AB 52","AB 08,AB 56,AB 66",True,True,True,3,jo,ta,du,0.3901,0.1687,0.2566,0.363,0.362,0.172,0.324,0.356,0.161,333,461,180
