greek,transliteration,english_gloss,minoan_form,category,query,matched,distance,distance_threshold,inscription_id,gorila_id,site,material,period,semantic_score,confidence_score,found_commodities,context_syllabograms
Ἄργος,Argos,Argos,arg,place_name,ARUKU,ARUKU,0,0,12,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,58.0,,DINAU
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RUKUTU,0,0,65,HT49a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,58.0,,𐝫RI
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,RURISU,1,1,154,HT118,Haghia Triada - Casa Room 9,clay,LM IB,0.1,43.0,,𐄁MADI
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,JARISU,1,1,148,HT115a,Haghia Triada - Casa Room 9,clay,LM IB,0.1,43.0,,SEKUTU
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,TURISI,1,1,1385,KNZb5,Knossos,pottery/ceramic,MMIIIB,0.1,43.0,,TURISI
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,TUSU,1,1,65,HT49a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,RIKI
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,TUSU,1,1,1526,PK1,Palaikastro,clay,LMI,0.1,43.0,,TA₂TE1
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,RISU,1,1,101,HT81,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,𐄁𐄁
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,TUSESU,1,1,1091,HTZb158a,Haghia Triada - Villa Magazine Room 5,pottery/ceramic,LM IB,0.1,43.0,,𐄁TUSE
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ASITE,1,1,1590,THEZb13,Thera,pottery/ceramic,Uncertain,0.15,39.5,VIN,120KAA
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ASI,1,1,39,HT28a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,38.0,,ASIJA
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ASI,1,1,40,HT28b,Haghia Triada - Villa Magazine,clay,LM IB,0.1,38.0,,ASIJA
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ASI,1,1,1143,KH9,Khania,clay,LM IB,0.15,39.5,VIR,ASISU
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ASI,1,1,1154,KH20,Khania,clay,LM IB,0.1,38.0,,𐝫𐝫A
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ASI,1,1,1665,ARKH2,Arkhalkhori,clay,LM IB,0.1,38.0,,*131B5A
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ANANU,1,1,1093,HTZb159,Haghia Triada,pottery/ceramic,LM IB,0.1,38.0,,ANANU
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,AKANU,1,1,1399,KNZc7,Knossos,,Uncertain,0.1,38.0,,AKANU
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ANU,1,1,1454,PEZb,Petras,pottery/ceramic,Uncertain,0.1,38.0,,ANU?
Ἴαλυσος,Ialysos,Ialysos,ialus,place_name,IARUSU,IARU,1,1,12,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,38.0,,10DINAU
Ἄργος,Argos,Argos,arg,place_name,ARUKU,ARUKU,0,1,12,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,58.0,,DINAU
Ἄργος,Argos,Argos,arg,place_name,ARUKU,AKUKU,1,1,60,HT45b,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,𐝫—8
Ἄργος,Argos,Argos,arg,place_name,ARUKU,AKU,1,1,1231,KH99,Khania,clay,Uncertain,0.1,43.0,,A*118
Ἄργος,Argos,Argos,arg,place_name,ARUKU,AKU,1,1,1449,PA1,Papourou,clay,Uncertain,0.1,43.0,,AKUJU
Ἄργος,Argos,Argos,arg,place_name,ARUKU,ADUKU,1,1,1598,TY3a,Tylissos,clay,Uncertain,0.2,46.0,"OLE+U,OLE",¹⁄₄
Ἄργος,Argos,Argos,arg,place_name,ARUKU,ARUKURO,1,1,12,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,DINAU
Ἄργος,Argos,Argos,arg,place_name,ARUKU,MURUKU,1,1,61,HT46a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,𐝫MURU
Ἄργος,Argos,Argos,arg,place_name,ARUKU,KARUKU,1,1,106,HT86a,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,KARU𐄁
Ἄργος,Argos,Argos,arg,place_name,ARUKU,KARUKU,1,1,107,HT86b,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,KARU𐄁
Ἄργος,Argos,Argos,arg,place_name,ARUKU,ARUDA,1,1,39,HT28a,Haghia Triada - Villa Magazine,clay,LM IB,0.25,47.5,"OLE+U,GRA,OLE",5
Ἄργος,Argos,Argos,arg,place_name,ARUKU,SARUKU,1,1,117,HT94b,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,1KEKI
Ἄργος,Argos,Argos,arg,place_name,ARUKU,SARUKU,1,1,118,HT95a,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,MINUTE
Ἄργος,Argos,Argos,arg,place_name,ARUKU,ARUDI,1,1,1504,PH(?)31a,Phaistos,clay,Uncertain,0.1,43.0,,𐝫A
Ἄργος,Argos,Argos,arg,place_name,ARUKU,MARUKU,1,1,152,HT117a,Haghia Triada - Casa Room 9,clay,LM IB,0.1,43.0,,TU1KU
Ἄργος,Argos,Argos,arg,place_name,ARUKU,ARU,1,1,16,HT11a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,ARURA
