rank,bennett_id,proposed_value,conventional_value,confidence_score,assessment,n_place_names,place_names,n_attestations,n_variants,phonetic_consistency,observed_transliterations,site_distribution,reasons
1,AB 65,i,ju,70.0,HIGH,2,"PHAISTOS, IDA",3,0,True,"{""I"": 3}","{""Zakros"": 1, ""Palaikastro"": 2}",2 place names (+18); consistent =i (+25); differs from AB grid /ju/→/i/ (+5); consistent DB translit (+12); mostly exact matches (+10)
2,AB 32,i,,67.0,MODERATE,1,IDA,1,0,True,"{""I"": 1}","{""Iouktas"": 1}",1 place name (+10); consistent =i (+25); unknown in grid (+10); consistent DB translit (+12); exact matches only (+15); only 1 attestation (-5)
3,AB 01,da,da,65.0,MODERATE,4,"PHAISTOS, TYLISSOS, DIKTE, IDA",16,0,False,"{""DA"": 13, ""da"": 3}","{""Haghia Triada - Villa Magazine"": 2, ""Haghia Triada - Casa Room 7"": 1, ""Khania"": 2, ""Arkhalkhori"": 3, ""Zakros"": 3, ""Haghia Triada - Portico 11 and Room 13"": 1, ""Knossos"": 1, ""Kophinas"": 1, ""Phaistos"": 1, ""Crete"": 1}","4 place names (+25); varied values {'pa', 'ka', 'i', 'tu', 'da'} (+0); matches AB grid /da/ (+20); DB mostly reads expected value (+8); avg distance 0.50 (+5); 16 attestations (+7)"
4,AB 45,ri,ri,65.0,MODERATE,3,"PHAISTOS, TYLISSOS, SU-KI-RI-TA",10,0,False,"{""RI"": 5, ""PA"": 1, ""SU"": 4}","{""Petras"": 2, ""Haghia Triada - Villa Magazine"": 2, ""Haghia Triada - Casa Room 9"": 2, ""Knossos"": 1, ""Haghia Triada - Villa Magazine Room 5"": 1, ""Phaistos"": 2}","3 place names (+25); varied values {'ki', 'pa', 'i', 'so', 'ri'} (+0); matches AB grid /ri/ (+20); DB mostly reads expected value (+8); avg distance 0.90 (+5); 10 attestations (+7)"
5,AB 03,pa,pa,61.0,MODERATE,2,"PHAISTOS, DIKTE",63,0,False,"{""PA"": 36, ""JA"": 4, ""pa"": 11, ""RA"": 1, ""DI"": 3, ""SA"": 1, ""A"": 1, ""RI"": 1, ""SU"": 2, ""MA"": 1, ""TI"": 1, ""QE"": 1}","{""Haghia Triada - Villa Magazine"": 11, ""Haghia Triada - Casa Room 7"": 10, ""Haghia Triada - Casa Room 9"": 3, ""Haghia Triada - Casa del Lebete"": 5, ""Haghia Triada - Portico 11 and Room 13"": 2, ""Haghia Triada"": 3, ""Iouktas"": 1, ""Khania"": 5, ""Knossos"": 5, ""Petras"": 1, ""Phaistos"": 1, ""Palaikastro"": 7, ""Syme"": 1, ""Tylissos"": 1, ""Zakros"": 6, ""Arkhalkhori"": 1}","2 place names (+18); varied values {'di', 'pa', 'i'} (+0); matches AB grid /pa/ (+20); DB mostly reads expected value (+8); avg distance 1.00 (+5); 63 attestations (+10)"
6,AB 26,i,ru,58.0,MODERATE,3,"PHAISTOS, SETOIA, IDA",23,0,False,"{""I"": 11, ""ru"": 2, ""PA"": 1, ""QA"": 1, ""JA"": 2, ""TA"": 1, ""DA"": 5}","{""Haghia Triada - Villa Magazine"": 4, ""Haghia Triada - Casa Room 9"": 1, ""Khania"": 2, ""Palaikastro"": 4, ""Prassa"": 2, ""Kophinas"": 1, ""Nerokurou"": 1, ""Phaistos"": 1, ""Syme"": 1, ""Zakros"": 3, ""Arkhalkhori"": 2, ""Crete"": 1}","3 place names (+25); varied values {'to', 'ja', 'pa', 'i', 'da'} (+0); differs from AB grid /ru/→/i/ (+5); DB mostly reads expected value (+8); mostly exact matches (+10); 23 attestations (+10)"
7,AB 58,pa,,57.0,MODERATE,1,PHAISTOS,1,0,True,"{""PA"": 1}","{""Haghia Triada - Villa Magazine"": 1}",1 place name (+10); consistent =pa (+25); unknown in grid (+10); consistent DB translit (+12); avg distance 1.00 (+5); only 1 attestation (-5)
8,AB 72,pa,,57.0,MODERATE,1,PHAISTOS,1,0,True,"{""PA"": 1}","{""Haghia Triada - Casa del Lebete"": 1}",1 place name (+10); consistent =pa (+25); unknown in grid (+10); consistent DB translit (+12); avg distance 1.00 (+5); only 1 attestation (-5)
9,AB 112,pa,,57.0,MODERATE,1,PHAISTOS,1,0,True,"{""PA"": 1}","{""Haghia Triada - Casa del Lebete"": 1}",1 place name (+10); consistent =pa (+25); unknown in grid (+10); consistent DB translit (+12); avg distance 1.00 (+5); only 1 attestation (-5)
10,AB 11,pa,,57.0,MODERATE,1,PHAISTOS,1,0,True,"{""si"": 1}","{""Haghia Triada - Casa del Lebete"": 1}",1 place name (+10); consistent =pa (+25); unknown in grid (+10); consistent DB translit (+12); avg distance 1.00 (+5); only 1 attestation (-5)
11,AB 39,i,,57.0,MODERATE,1,PHAISTOS,1,0,True,"{""JE"": 1}","{""Haghia Triada - Portico 11 and Room 13"": 1}",1 place name (+10); consistent =i (+25); unknown in grid (+10); consistent DB translit (+12); avg distance 1.00 (+5); only 1 attestation (-5)
12,AB 64,i,,57.0,MODERATE,1,PHAISTOS,1,0,True,"{""ZU"": 1}","{""Khania"": 1}",1 place name (+10); consistent =i (+25); unknown in grid (+10); consistent DB translit (+12); avg distance 1.00 (+5); only 1 attestation (-5)
13,AB 68,pa,,57.0,MODERATE,1,PHAISTOS,1,0,True,"{""PA"": 1}","{""Phaistos"": 1}",1 place name (+10); consistent =pa (+25); unknown in grid (+10); consistent DB translit (+12); avg distance 1.00 (+5); only 1 attestation (-5)
14,AB 22f,pa,,57.0,MODERATE,1,PHAISTOS,1,0,True,"{""PA"": 1}","{""Palaikastro"": 1}",1 place name (+10); consistent =pa (+25); unknown in grid (+10); consistent DB translit (+12); avg distance 1.00 (+5); only 1 attestation (-5)
15,AB 43,pa,,57.0,MODERATE,1,PHAISTOS,1,0,True,"{""PA"": 1}","{""Tylissos"": 1}",1 place name (+10); consistent =pa (+25); unknown in grid (+10); consistent DB translit (+12); avg distance 1.00 (+5); only 1 attestation (-5)
