family,family_name,concept,phonetic,query,matched,distance,distance_threshold,inscription_id,gorila_id,site,material,period
Anatolian_IE,Anatolian IE (Luwian/Hittite),liver,lišš,RISUSU,RISUSU,0,0,148,HT115a,Haghia Triada - Casa Room 9,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),who,kuiš,KUISU,KUIKU,1,1,47,HT35,Haghia Triada - Villa Magazine,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),who,kuiš,KUISU,KUNISU,1,1,14,HT10a,Haghia Triada - Villa Magazine,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),who,kuiš,KUISU,KUNISU,1,1,106,HT86a,Haghia Triada - Casa Room 7,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),who,kuiš,KUISU,KUNISU,1,1,107,HT86b,Haghia Triada - Casa Room 7,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),who,kuiš,KUISU,KUNISU,1,1,118,HT95a,Haghia Triada - Casa Room 7,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),who,kuiš,KUISU,KUNISU,1,1,119,HT95b,Haghia Triada - Casa Room 7,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),who,kuiš,KUISU,KUTUSU,1,1,65,HT49a,Haghia Triada - Villa Magazine,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),who,kuiš,KUISU,KUITA,1,1,66,HT49b,Haghia Triada - Villa Magazine,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),what,kuit,KUITU,MAITU,1,1,149,HT115b,Haghia Triada - Casa Room 9,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),what,kuit,KUITU,KUIKU,1,1,47,HT35,Haghia Triada - Villa Magazine,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),what,kuit,KUITU,KUTU,1,1,65,HT49a,Haghia Triada - Villa Magazine,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),what,kuit,KUITU,KUTU,1,1,148,HT115a,Haghia Triada - Casa Room 9,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),what,kuit,KUITU,KUTU,1,1,1598,TY3a,Tylissos,clay,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),what,kuit,KUITU,KUTU,1,1,1614,ZA8,Zakros,stone,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),what,kuit,KUITU,KUPA₃TU,1,1,155,HT119,Haghia Triada - Casa Room 9,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),what,kuit,KUITU,KUPITU,1,1,1623,ZA14,Zakros,stone,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),what,kuit,KUITU,KUNATU,1,1,63,HT47a,Haghia Triada - Villa Magazine,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),what,kuit,KUITU,KUITA,1,1,66,HT49b,Haghia Triada - Villa Magazine,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),not,natta,NATUTA,NATUDU,1,1,63,HT47a,Haghia Triada - Villa Magazine,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),not,natta,NATUTA,NATUNE,1,1,1563,SKOZc1,Skoteino Cave,,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),not,natta,NATUTA,DETUTA,1,1,124,HT98a,Haghia Triada - Casa Room 7,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),not,natta,NATUTA,NATU,1,1,1141,KH7b,Khania,clay,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),not,natta,NATUTA,NATU,1,1,1659,APZa2,Apodoulou,stone,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),not,natta,NATUTA,NATU,1,1,1671,ARKH6,Arkhalkhori,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),not,natta,NATUTA,NAITA,1,1,1140,KH7a,Khania,clay,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),not,natta,NATUTA,NATETA,1,1,1460,PEZg6,Petras,stone,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),not,natta,NATUTA,NATA,1,1,15,HT10b,Haghia Triada - Villa Magazine,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),not,natta,NATUTA,NATA,1,1,1113,IOZa6,Iouktas,stone,LM IA
Anatolian_IE,Anatolian IE (Luwian/Hittite),not,natta,NATUTA,NATA,1,1,1616,ZA10a,Zakros,stone,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),many,mekk,MEKUKU,ROKUKU,1,1,167,HT127b,Haghia Triada - Casa del Lebete,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),many,mekk,MEKUKU,KUKU,1,1,60,HT45b,Haghia Triada - Villa Magazine,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),many,mekk,MEKUKU,KUKU,1,1,152,HT117a,Haghia Triada - Casa Room 9,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),three,tri,TURUI,TUJAI,1,1,149,HT115b,Haghia Triada - Casa Room 9,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),three,tri,TURUI,TURU,1,1,168,HT128a,Haghia Triada - Casa del Lebete,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),three,tri,TURUI,TURU,1,1,1410,KOZa1,Kophinas,stone,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),three,tri,TURUI,QARUI,1,1,114,HT93a,Haghia Triada - Casa Room 7,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),three,tri,TURUI,SIRUI,1,1,1532,PKZa11,Palaikastro,stone,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),three,tri,TURUI,TUMEI,1,1,1529,PKZa8,Palaikastro,stone,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),three,tri,TURUI,RUI,1,1,31,HT24a,Haghia Triada - Corridor 9 and Vestibule 26,clay,LM IB
Anatolian_IE,Anatolian IE (Luwian/Hittite),four,meyaw,MEJAWA,MEJASA,1,1,1534,PKZa14,Palaikastro,stone,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),four,meyaw,MEJAWA,JAWA,1,1,1382,KNZa18,Knossos,stone,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),four,meyaw,MEJAWA,JAWA,1,1,1568,SYZa5,Syme,stone,Uncertain
Anatolian_IE,Anatolian IE (Luwian/Hittite),big,šall,SARURU,RURU,1,1,31,HT24a,Haghia Triada - Corridor 9 and Vestibule 26,clay,LM IB
