place_name,la_spelling,inscription_id,gorila_id,site,site_matches_expected,pattern_used,matched_string,distance,context_before_translit,context_after_translit,cooccurring_logograms
KNOSSOS,ko-no-so,65,HT49a,Haghia Triada - Villa Magazine,False,KU NU O SU,KUNUTUSU,1,TI 𐄁 1 AB 37 𐝫,AB 53 𐝫 AB 58 TI DU,
PHAISTOS,pa-i-to,4,HT4,Haghia Triada - Portico 11 and Room 13,False,PA TO,PARE,1,*306 TI KA A RE,TE 2 AB 53 PA RE,
PHAISTOS,pa-i-to,6,HT6a,Haghia Triada - Villa Magazine,False,PA TO,PADA,1,KA,DA TA RA 𐄁 TE,
PHAISTOS,pa-i-to,10,HT8a,Haghia Triada - Villa Magazine,False,PA TO,PATE,1,DI OLE+KI 10 PA₃ KA,1 ¹⁄₂ PA 3 ¹⁄₂,
PHAISTOS,pa-i-to,11,HT8b,Haghia Triada - Villa Magazine,False,PA TO,PAJA,1,SU PU₂ *188 1 —,*188 2 QA *310 I,
PHAISTOS,pa-i-to,12,HT9a,Haghia Triada - Villa Magazine,False,PA TO,PADE,1,SA RO 𐄁,VIN 𐄁 PA DE 𐄁,
PHAISTOS,pa-i-to,14,HT10a,Haghia Triada - Villa Magazine,False,PA TO,PADA,1,KU NI SU 𐄁 SA,𐄁 PA 𐄁 DA RE,
PHAISTOS,pa-i-to,22,HT16,Haghia Triada - Villa Magazine,False,PA TO,PADI,1,KA KU,DI NA U ¹⁄₈ 𐄁,
PHAISTOS,pa-i-to,24,HT18,Haghia Triada - Villa Magazine,False,PA TO,PASE,1,,GRA+QE 20 OLE+KI 2 *304,
PHAISTOS,pa-i-to,26,HT20,Haghia Triada - Villa Magazine,False,PA TO,PARO,1,,SU 𐄁 KU MA JU,
PHAISTOS,pa-i-to,31,HT24a,Haghia Triada - Corridor 9 and Vestibule 26,False,PA TO,PASA,1,RU   MA ME,9  MA RU 6,
PHAISTOS,pa-i-to,53,HT41a,Haghia Triada - Villa Magazine,False,PA TO,PAJA,1,𐝫 𐝫 QE TU,𐄁 *304 10  𐄁,
PHAISTOS,pa-i-to,56,HT43,Haghia Triada - Villa Magazine,False,PA I TO,PAII,1,MA SI DU,I 𐄁 I 𐄁 GRA+PA,
PHAISTOS,pa-i-to,60,HT45b,Haghia Triada - Villa Magazine,False,PA TO,PAA,1,,8 double mina  𐝉,
PHAISTOS,pa-i-to,86,HT62+73,Haghia Triada - Villa Magazine,False,PA I TO,PAISA,1,VIN AB 131A 𐄁 GRA 15,KU 4 18 AB 81 *28B,
PHAISTOS,pa-i-to,99,HT79+83,Haghia Triada - Villa Magazine,False,PA TO,PARI,1,I 𐄁 *305 A 305 KA,PA₃ TU PA RI ,
PHAISTOS,pa-i-to,105,HT85b,Haghia Triada - Casa Room 7,False,PA TO,PATE,1,𐄁 KI RE TA₂ 1,1 PA 1 TE TU,
PHAISTOS,pa-i-to,109,HT88,Haghia Triada - Casa Room 7,False,PA TO,PAJA,1,KI RO 𐄁 KU PA₃,KA JU 1 KU PA₃,
PHAISTOS,pa-i-to,114,HT93a,Haghia Triada - Casa Room 7,False,PA TO,PASE,1,SE I GRA+PA 26 ³⁄₄,RA₂ 20 QA QA RU,
PHAISTOS,pa-i-to,116,HT94a,Haghia Triada - Casa Room 7,False,PA TO,PATA,1,KA,62  20  7,
PHAISTOS,pa-i-to,117,HT94b,Haghia Triada - Casa Room 7,False,PA TO,PATA,1,KI RO 𐄁 TU,PA TA NE 1 DE,
PHAISTOS,pa-i-to,120,HT96a,Haghia Triada - Casa Room 7,False,PA TO,PARA,1,TI TI KU NI 𐄁,RA NE 𐄁 A AROM,
PHAISTOS,pa-i-to,121,HT96b,Haghia Triada - Casa Room 7,False,PA TO,PARA,1,A,NE 𐄁 QA *118 RA,
PHAISTOS,pa-i-to,122,HT97a,Haghia Triada - Casa Room 7,False,PA I TO,PAIDI,1,KA RU 𐄁 *307+*387, 33  KA TI,
PHAISTOS,pa-i-to,130,HT102,Haghia Triada - Casa Room 7,False,PA TO,PASA,1,KA,RA₂ GRA 976  PA₃,
PHAISTOS,pa-i-to,132,HT104,Haghia Triada - Casa Room 7,False,PA TO,PADA,1,TA,TE+RO[ 𐄁 DA KU SE,
PHAISTOS,pa-i-to,133,HT105,Haghia Triada - Casa Room 7,False,PA TO,PASA,1,KA, 234 A 100-102 SA RA₂,
PHAISTOS,pa-i-to,138,HT110a,Haghia Triada - Casa Room 7,False,PA TO,PAKU,1,SI DU *34 KU MI,KU PA 1 KU RO,
PHAISTOS,pa-i-to,148,HT115a,Haghia Triada - Casa Room 9,False,PA TO,PARA,1,2 *301 U RA NA,MI NA 1 SE KU,
PHAISTOS,pa-i-to,149,HT115b,Haghia Triada - Casa Room 9,False,PA TO,PARA,1,RU,RA NE ¹⁄₂  NU,
PHAISTOS,pa-i-to,150,HT116a,Haghia Triada - Casa Room 9,False,PA TO,PAJA,1,U TA RO 𐄁 TE,PA JA GRA 16 ,
PHAISTOS,pa-i-to,156,HT120,Haghia Triada - Casa Room 9,False,PA I TO,PAITO,0,GRA+K+L 74  62 𐝆𐝀,𐄁 I GRA+PA 20 AB 28,
PHAISTOS,pa-i-to,156,HT120,Haghia Triada - Casa Room 9,False,PA I TO,ITO,1,74  62 𐝆𐝀 ,𐄁 I GRA+PA 20 AB 28,
PHAISTOS,pa-i-to,156,HT120,Haghia Triada - Casa Room 9,False,PA I TO,NAPAITO,1,ME GRA+K+L 74  62,𐄁 I GRA+PA 20 AB 28,
PHAISTOS,pa-i-to,158,HT122a,Haghia Triada - Casa del Lebete,False,PA TO,PADI,1,𐄁 U DE ZA 2,DA SI 2 AB 41 PA,
PHAISTOS,pa-i-to,158,HT122a,Haghia Triada - Casa del Lebete,False,PA TO,PADE,1,DI 1  KI 2,I 3 JA MI DA,
PHAISTOS,pa-i-to,158,HT122a,Haghia Triada - Casa del Lebete,False,PA TO,PATA,1,2  *310 I 3,DA RE AB 57 SI DA,
PHAISTOS,pa-i-to,159,HT122b,Haghia Triada - Casa del Lebete,False,PA TO,POTO,1,A RA U DE ZA,QA QA RU AB 16 DI,
PHAISTOS,pa-i-to,161,HT123+124b,Haghia Triada - Casa del Lebete,False,PA TO,PADI,1,*188 *308 11 , DA TA 𐄁 ,
PHAISTOS,pa-i-to,168,HT128a,Haghia Triada - Casa del Lebete,False,PA TO,PARA,1,,PA RA TU RU NU,
PHAISTOS,pa-i-to,174,HT132,Haghia Triada - Casa del Lebete,False,PA TO,RETO,1,A SE 𐄁,QA RE TO 𐄁 *22F,
PHAISTOS,pa-i-to,189,HT154a,Haghia Triada - Casa del Lebete,False,PA TO,PAJA,1,TU ME,AB 57 OLIV GRA AB 122 𐝫,
PHAISTOS,pa-i-to,222,HTWa1019,Haghia Triada - Portico 11 and Room 13,False,PA TO,PATA,1,,NE SI TU,
PHAISTOS,pa-i-to,223,HTWa1020,Haghia Triada - Portico 11 and Room 13,False,PA TO,PAJE,1,*304+PA,¹⁄₄ JE TA NA,
PHAISTOS,pa-i-to,1065,HTWc3001,Haghia Triada,False,PA TO,PASE,1,,JA ¹⁄₂,
PHAISTOS,pa-i-to,1066,HTWc3002,Haghia Triada,False,PA TO,PASE,1,,JA,
PHAISTOS,pa-i-to,1094,HTZb160,Haghia Triada,False,PA TO,PATA,1,,DA DU PU₂ RE 𐝫,
PHAISTOS,pa-i-to,1138,KH5,Khania,False,PA TO,PAZU,1,SA NE CYP+E 2 VINb+WI,NA DU 𐄁 *301 NA,
PHAISTOS,pa-i-to,1139,KH6,Khania,False,PA TO,PARE,1,AB 41 TE RE AB 04 KI,¹⁄₂ AB 67 *347 AB 24 CYP,
PHAISTOS,pa-i-to,1140,KH7a,Khania,False,PA TO,PAME,1,KI *334 4 AB 67 CYP+D,CYP+E ¹⁄₁₆ E NA SI,
PHAISTOS,pa-i-to,1144,KH10,Khania,False,PA TO,PASA,1,, ¹⁄₂  10 ,
PHAISTOS,pa-i-to,1145,KH11,Khania,False,PA TO,ATO,1,A DU 𐄁 ZA,A 303 SU AB 58 CYP+E ,
PHAISTOS,pa-i-to,1145,KH11,Khania,False,PA TO,TOTO,1,A DU 𐄁 ZA CYP,SU AB 58 CYP+E  VIN,
PHAISTOS,pa-i-to,1212,KH79+89,Khania,False,PA TO,PAA,1,MI NA,𐄁 A RA  PA,
PHAISTOS,pa-i-to,1212,KH79+89,Khania,False,PA TO,PADA,1,MI NA AB 06 PA 𐄁, PA DA NI 𐝫,
PHAISTOS,pa-i-to,1231,KH99,Khania,False,PA TO,PARI,1,,DE AB 45 A *118 AB 08,
PHAISTOS,pa-i-to,1364,KN32a,Knossos,False,PA TO,PAA,1,𐝫,AB 03 A TA AB 77 𐝫,
PHAISTOS,pa-i-to,1365,KN32b,Knossos,False,PA TO,PASU,1,𐝫 TE, PA AB 50 SU ,
PHAISTOS,pa-i-to,1380,KNZa10,Knossos,False,PA TO,WATO,1,SA RA MA AB 80 𐄁,𐄁 DU WA TO 𐄁,
