word_length,measure,num_types,num_tokens,type_pct,token_pct
1,total_signs,31,69,4.98,9.82
2,total_signs,91,111,14.61,15.79
3,total_signs,106,112,17.01,15.93
4,total_signs,84,88,13.48,12.52
5,total_signs,46,52,7.38,7.4
6,total_signs,40,46,6.42,6.54
7,total_signs,30,30,4.82,4.27
8,total_signs,27,27,4.33,3.84
9,total_signs,19,19,3.05,2.7
10,total_signs,17,17,2.73,2.42
11,total_signs,16,16,2.57,2.28
12,total_signs,15,15,2.41,2.13
13,total_signs,11,11,1.77,1.56
14,total_signs,9,9,1.44,1.28
15,total_signs,9,9,1.44,1.28
16,total_signs,8,8,1.28,1.14
17,total_signs,9,9,1.44,1.28
18,total_signs,5,5,0.8,0.71
19,total_signs,11,11,1.77,1.56
20,total_signs,1,1,0.16,0.14
21,total_signs,3,3,0.48,0.43
22,total_signs,7,7,1.12,1.0
23,total_signs,1,1,0.16,0.14
24,total_signs,2,2,0.32,0.28
25,total_signs,4,4,0.64,0.57
26,total_signs,2,2,0.32,0.28
27,total_signs,2,2,0.32,0.28
28,total_signs,2,2,0.32,0.28
29,total_signs,1,1,0.16,0.14
31,total_signs,1,1,0.16,0.14
32,total_signs,2,2,0.32,0.28
33,total_signs,2,2,0.32,0.28
34,total_signs,2,2,0.32,0.28
37,total_signs,2,2,0.32,0.28
38,total_signs,2,2,0.32,0.28
39,total_signs,2,2,0.32,0.28
44,total_signs,1,1,0.16,0.14
0,phonetic_only,11,26,1.77,3.7
1,phonetic_only,96,131,15.41,18.63
2,phonetic_only,120,129,19.26,18.35
3,phonetic_only,108,113,17.34,16.07
4,phonetic_only,59,64,9.47,9.1
5,phonetic_only,60,65,9.63,9.25
6,phonetic_only,50,56,8.03,7.97
7,phonetic_only,19,19,3.05,2.7
8,phonetic_only,14,14,2.25,1.99
9,phonetic_only,9,9,1.44,1.28
10,phonetic_only,4,4,0.64,0.57
11,phonetic_only,8,8,1.28,1.14
12,phonetic_only,4,4,0.64,0.57
13,phonetic_only,11,11,1.77,1.56
14,phonetic_only,5,5,0.8,0.71
15,phonetic_only,7,7,1.12,1.0
16,phonetic_only,5,5,0.8,0.71
17,phonetic_only,8,8,1.28,1.14
18,phonetic_only,5,5,0.8,0.71
19,phonetic_only,4,4,0.64,0.57
20,phonetic_only,2,2,0.32,0.28
21,phonetic_only,3,3,0.48,0.43
22,phonetic_only,2,2,0.32,0.28
24,phonetic_only,1,1,0.16,0.14
25,phonetic_only,2,2,0.32,0.28
26,phonetic_only,1,1,0.16,0.14
28,phonetic_only,1,1,0.16,0.14
30,phonetic_only,1,1,0.16,0.14
33,phonetic_only,1,1,0.16,0.14
37,phonetic_only,1,1,0.16,0.14
43,phonetic_only,1,1,0.16,0.14
