logogram_id,total_occurrences,Geometric,LBI,LM IA,LM IB,LMI,LMIIIA,MM II,MM III,MMIA,MMIIIA,MMIIIB,Uncertain
A 301,1,0,0,0,1,0,0,0,0,0,0,0,0
A 302,1,0,0,0,1,0,0,0,0,0,0,0,0
A 303,2,0,0,0,1,0,1,0,0,0,0,0,0
A 304,1,0,0,0,0,0,0,0,0,0,0,0,1
A 305,1,0,0,0,0,0,0,1,0,0,0,0,0
A 306,1,0,0,0,0,0,0,1,0,0,0,0,0
A 307,1,0,0,0,0,0,0,0,0,0,0,0,1
A 308,1,0,0,0,0,0,0,0,0,0,0,0,1
A 309,1,0,0,0,0,0,0,0,0,0,0,0,1
A 310,1,0,0,0,0,0,0,0,0,0,0,0,1
A 311,1,0,0,0,0,0,0,0,0,0,0,0,1
A 312,1,0,0,0,0,0,0,0,0,0,0,0,1
A 313,1,0,0,0,0,0,0,0,0,0,0,0,1
A 314,2,0,0,0,1,0,0,0,0,0,0,0,1
A 316,1,0,0,0,1,0,0,0,0,0,0,0,0
A 317,1,0,0,0,1,0,0,0,0,0,0,0,0
A 318,1,0,0,0,1,0,0,0,0,0,0,0,0
A 319,1,0,0,0,1,0,0,0,0,0,0,0,0
A 320,1,0,0,0,1,0,0,0,0,0,0,0,0
A 321,2,0,0,0,2,0,0,0,0,0,0,0,0
A 322,1,0,0,0,1,0,0,0,0,0,0,0,0
A 325,1,0,0,0,1,0,0,0,0,0,0,0,0
A 326,1,0,0,0,1,0,0,0,0,0,0,0,0
A 327,1,0,0,0,0,0,0,0,0,0,0,0,1
A 328,1,0,0,0,0,0,0,0,0,0,0,0,1
A 329,1,0,0,0,1,0,0,0,0,0,0,0,0
A 331,4,0,0,0,4,0,0,0,0,0,0,0,0
A 332,5,0,0,0,4,0,0,0,0,0,0,0,1
A 333,2,0,0,0,1,0,0,0,0,0,0,0,1
A 334,15,0,0,0,15,0,0,0,0,0,0,0,0
A 335,1,0,0,0,0,0,0,0,0,0,0,0,1
A 338,1,0,0,0,1,0,0,0,0,0,0,0,0
A 339,1,0,0,0,1,0,0,0,0,0,0,0,0
A 340,2,0,0,0,2,0,0,0,0,0,0,0,0
A 342,2,0,0,0,1,0,0,0,0,0,0,0,1
A 343,1,0,0,0,1,0,0,0,0,0,0,0,0
A 344,1,0,0,0,1,0,0,0,0,0,0,0,0
A 345,1,0,0,0,1,0,0,0,0,0,0,0,0
A 346,1,0,0,0,1,0,0,0,0,0,0,0,0
A 347,1,0,0,0,1,0,0,0,0,0,0,0,0
A 348,6,0,0,0,6,0,0,0,0,0,0,0,0
A 349,3,0,0,0,3,0,0,0,0,0,0,0,0
A 350,8,0,0,0,8,0,0,0,0,0,0,0,0
A 351,1,0,0,0,1,0,0,0,0,0,0,0,0
A 352,1,0,0,0,1,0,0,0,0,0,0,0,0
A 353,1,0,0,0,0,0,0,0,0,0,0,0,1
A 354,1,0,0,0,1,0,0,0,0,0,0,0,0
A 355,10,0,0,0,7,0,0,0,0,0,0,0,3
A 356,2,0,0,0,1,0,0,0,0,0,0,0,1
A 357,1,0,0,0,1,0,0,0,0,0,0,0,0
A 358,2,0,0,0,2,0,0,0,0,0,0,0,0
A 359,1,0,0,0,0,0,0,0,0,0,0,0,1
A 360,1,0,0,0,1,0,0,0,0,0,0,0,0
A 361,2,0,0,0,2,0,0,0,0,0,0,0,0
A 362,1,0,0,0,1,0,0,0,0,0,0,0,0
A 363,1,0,0,1,0,0,0,0,0,0,0,0,0
A 364,5,0,0,0,4,0,0,0,0,0,0,0,1
A 365,1,0,0,0,1,0,0,0,0,0,0,0,0
A 366,1,0,0,0,1,0,0,0,0,0,0,0,0
A 367,1,0,0,0,1,0,0,0,0,0,0,0,0
A 368,1,0,0,0,1,0,0,0,0,0,0,0,0
A 369,1,0,0,0,1,0,0,0,0,0,0,0,0
A 370,1,0,0,0,1,0,0,0,0,0,0,0,0
A 371,1,0,0,0,1,0,0,0,0,0,0,0,0
A 372,1,0,0,0,1,0,0,0,0,0,0,0,0
A 373,1,0,0,0,1,0,0,0,0,0,0,0,0
A 374,1,0,0,0,0,0,0,0,0,0,0,0,1
A 375,1,0,0,0,1,0,0,0,0,0,0,0,0
A 376,1,0,0,0,1,0,0,0,0,0,0,0,0
A 377,2,0,0,0,2,0,0,0,0,0,0,0,0
A 378,1,0,0,0,1,0,0,0,0,0,0,0,0
A 379,1,0,0,0,0,0,0,0,0,0,0,0,1
A 380,1,0,0,0,1,0,0,0,0,0,0,0,0
A 381,8,0,0,0,8,0,0,0,0,0,0,0,0
A 382,3,0,0,0,3,0,0,0,0,0,0,0,0
A 383,2,0,0,0,2,0,0,0,0,0,0,0,0
A 384,2,0,0,0,2,0,0,0,0,0,0,0,0
A 385,1,0,0,0,1,0,0,0,0,0,0,0,0
A 386,1,0,0,0,0,0,0,0,0,0,0,0,1
A 387,1,0,0,0,0,0,0,0,0,0,0,0,1
A 388,1,0,0,0,0,0,0,0,0,0,0,0,1
A 389,4,0,0,0,3,0,0,0,0,0,0,0,1
A 390,1,0,0,0,0,0,0,0,0,0,0,0,1
A 391,1,0,0,0,1,0,0,0,0,0,0,0,0
A 392,3,0,0,0,2,0,1,0,0,0,0,0,0
A 393,8,0,0,0,5,0,0,0,0,0,0,0,3
A 394,10,0,0,0,8,0,0,0,0,0,0,0,2
A 395,3,0,0,0,3,0,0,0,0,0,0,0,0
A 396,2,0,0,0,2,0,0,0,0,0,0,0,0
A 397,2,0,0,0,1,0,0,0,0,0,0,0,1
A 398,1,0,0,0,1,0,0,0,0,0,0,0,0
