fraction_id,inscription_id,sequence,nearby_logograms,all_inscription_logograms,nearby_numbers,text_type,site,period
A 728,2,4,,,"20, 17, 10",administrative,Haghia Triada - Portico 11 and Room 13,LM IB
A 727,2,8,,,"20, 17, 10, 7, 3",administrative,Haghia Triada - Portico 11 and Room 13,LM IB
A 728,2,19,,,"54, 47, 50, 4",administrative,Haghia Triada - Portico 11 and Room 13,LM IB
A 727,2,24,,,"50, 4, 40, 7, 1",administrative,Haghia Triada - Portico 11 and Room 13,LM IB
A 726,18,5,,A 350; A 351; A 389; VASE 8,"5, 5",administrative,Haghia Triada - Villa Magazine,LM IB
A 726,20,9,,,"30, 3, 3, 9, 10",administrative,Haghia Triada - Villa Magazine,LM IB
A 726,20,25,,,"45, 40, 5, 5, 4, 6, 10",administrative,Haghia Triada - Villa Magazine,LM IB
A 710,21,10,,,"600, 80, 4, 500, 70, 400",administrative,Haghia Triada - Villa Magazine,LM IB
A 724,22,11,VASE 2; VASE 4; VASE 5,VASE 2; VASE 4; VASE 5; VASE 8,,administrative,Haghia Triada - Villa Magazine,LM IB
A 702,24,2,,,"20, 2, 3",administrative,Haghia Triada - Villa Magazine,LM IB
A 724,26,22,VASE 4; VASE 5; VASE 7,VASE 4; VASE 5; VASE 7,,administrative,Haghia Triada - Villa Magazine,LM IB
A 728,27,11,A 568,A 568; VASE 4,"100, 60, 1, 10, 1, 3, 7",administrative,Haghia Triada - Villa Magazine,LM IB
A 709,28,1,A 506,A 506,"200, 30, 113, 100",administrative,Haghia Triada - Villa Magazine,LM IB
A 730,29,7,VASE 2; VASE 6,A 348; A 349; A 365; A 381; VASE 2; VASE 6; VASE 8,,administrative,Haghia Triada - Villa Magazine,LM IB
A 715,38,4,,,"7, 7",administrative,Haghia Triada - Villa Magazine,LM IB
A 714,38,26,,,"4, 4, 70",administrative,Haghia Triada - Villa Magazine,LM IB
A 702,39,8,VASE 7,A 394; VASE 10; VASE 7,"5, 2",administrative,Haghia Triada - Villa Magazine,LM IB
A 728,39,10,VASE 7,A 394; VASE 10; VASE 7,"5, 2, 1",administrative,Haghia Triada - Villa Magazine,LM IB
A 726,39,20,VASE 10,A 394; VASE 10; VASE 7,"1, 1, 2, 3",administrative,Haghia Triada - Villa Magazine,LM IB
A 726,39,37,,A 394; VASE 10; VASE 7,"5, 2, 3",administrative,Haghia Triada - Villa Magazine,LM IB
A 726,39,42,,A 394; VASE 10; VASE 7,"3, 10",administrative,Haghia Triada - Villa Magazine,LM IB
A 726,40,14,,VASE 4,"20, 5, 2, 4",administrative,Haghia Triada - Villa Magazine,LM IB
A 726,40,31,VASE 4,VASE 4,"6, 3, 3",administrative,Haghia Triada - Villa Magazine,LM IB
A 730,44,6,A 350; VASE 7; VASE 8,A 348; A 350; A 381; VASE 7; VASE 8,"1, 1",administrative,Haghia Triada - Villa Magazine,LM IB
A 730,44,24,,A 348; A 350; A 381; VASE 7; VASE 8,"100, 8, 60, 5, 104, 53, 100, 4",administrative,Haghia Triada - Villa Magazine,LM IB
A 702,48,3,A 503; VASE 7,A 503; VASE 7,"20, 40, 4",administrative,Haghia Triada - Villa Magazine,LM IB
A 728,55,9,,A 364; A 568,"8, 8, 7, 7, 8",administrative,Haghia Triada - Villa Magazine,LM IB
A 728,55,16,,A 364; A 568,"7, 8, 8, 2, 2",administrative,Haghia Triada - Villa Magazine,LM IB
A 728,55,38,A 568,A 364; A 568,,administrative,Haghia Triada - Villa Magazine,LM IB
A 728,57,8,,,"3, 3, 5, 5, 5",administrative,Haghia Triada - Villa Magazine,LM IB
A 706,58,4,,,"5, 5, 75",administrative,Haghia Triada - Villa Magazine,LM IB
A 711,67,20,VASE 4; VASE 5; VASE 7,VASE 4; VASE 5; VASE 7,"3, 3",administrative,Haghia Triada - Villa Magazine,LM IB
A 726,68,5,,,"1, 1",administrative,Haghia Triada - Villa Magazine,LM IB
A 728,83,7,,,"19, 10, 9, 3",administrative,Haghia Triada - Villa Magazine,LM IB
A 703,85,5,,,"6, 6",administrative,Haghia Triada - Villa Magazine,LM IB
A 708,106,7,,,"20, 20",administrative,Haghia Triada - Casa Room 7,LM IB
A 704,106,26,,,"20, 20",administrative,Haghia Triada - Casa Room 7,LM IB
A 708,107,7,,,"20, 20",administrative,Haghia Triada - Casa Room 7,LM IB
A 726,111,10,,,"20, 10, 3",administrative,Haghia Triada - Casa Room 7,LM IB
A 728,112,12,VASE 1,A 561; VASE 1,,administrative,Haghia Triada - Casa Room 7,LM IB
A 728,121,16,A 568; VASE 8,A 355; A 568; VASE 8,"40, 4, 2",administrative,Haghia Triada - Casa Room 7,LM IB
A 702,126,14,VASE 6,VASE 6,"4, 1",administrative,Haghia Triada - Casa Room 7,LM IB
A 728,128,33,VASE 3; VASE 6; VASE 7,A 358; A 394; A 396; A 500; A 568; VASE 3; VASE 4; VASE 6; VASE 7,"2, 3, 2, 3",administrative,Haghia Triada - Casa Room 7,LM IB
A 730,128,38,A 568; VASE 6,A 358; A 394; A 396; A 500; A 568; VASE 3; VASE 4; VASE 6; VASE 7,"3, 2, 3",administrative,Haghia Triada - Casa Room 7,LM IB
A 702,129,3,,A 347; VASE 4,"40, 8, 8",administrative,Haghia Triada - Casa Room 7,LM IB
