fraction_id,proposed,lb_equivalent,lb_agrees,exact_complement_partner,pair_sums_to_1,value_determined_by_complement,occurrences
A 702,0.0625,0.166667,no,,,yes,5
A 703,0.1667,0.25,no,,,yes,7
A 704,0.25,0.333333,no,A 708,yes,yes,2
A 705,0.3333,0.375,no,,,yes,2
A 706,0.166667,0.5,no,,,no,4
A 707,0.6667,0.666667,no,,,yes,1
A 708,0.75,0.75,yes,A 704,yes,yes,3
A 709,0.8333,0.833333,no,,,yes,1
A 710,0.6,1,no,,,yes,1
A 711,0.875,(none),no,A 726,yes,yes,3
A 712,0.9375,(none),no,,,yes,2
A 713,0.4,(none),no,,,yes,1
A 714,0.75,(none),no,A 715,yes,yes,1
A 715,0.25,(none),no,A 714,yes,yes,1
A 716,0.2,(none),no,A 718,yes,yes,3
A 717,0.6667,(none),no,,,yes,1
A 718,0.8,(none),no,A 716,yes,yes,1
A 719,0.3125,(none),no,,,yes,1
A 720,0.1875,(none),no,A 721,yes,yes,1
A 721,0.8125,(none),no,A 720,yes,yes,1
A 722,0.4375,(none),no,A 723,yes,yes,3
A 723,0.5625,(none),no,A 722,yes,yes,1
A 724,0.6875,(none),no,,,yes,2
A 725,1.0,(none),no,,,no,10
A 726,0.125,(none),no,A 711,yes,yes,12
A 727,0.8333,(none),no,A 728,yes,yes,2
A 728,0.1667,(none),no,A 727,yes,yes,22
A 729,0.8333,(none),no,A 728,yes,yes,2
A 730,0.8333,(none),no,A 728,yes,yes,5
