sign_id,community_id
",",0
A 301,0
A 302,0
A 303,0
A 304,0
A 305,0
A 306,0
A 307,0
A 308,0
A 309,0
A 310,0
A 311,0
A 312,0
A 313,0
A 314,0
A 321,0
A 325,0
A 326,0
A 327,0
A 328,0
A 329,0
A 331,0
A 332,0
A 333,0
A 335,0
A 338,0
A 339,0
A 342,1
A 343,0
A 344,0
A 345,0
A 346,0
A 347,0
A 348,0
A 349,0
A 350,0
A 351,0
A 352,0
A 353,0
A 354,0
A 355,0
A 356,0
A 357,0
A 358,0
A 359,0
A 360,0
A 361,0
A 362,0
A 364,0
A 365,0
A 366,0
A 367,0
A 368,0
A 369,0
A 370,0
A 371,0
A 372,0
A 373,0
A 374,0
A 375,0
A 376,0
A 377,0
A 378,0
A 379,0
A 380,0
A 381,0
A 382,0
A 383,0
A 385,0
A 386,0
A 387,0
A 388,0
A 389,0
A 390,0
A 391,0
A 392,0
A 394,0
A 395,0
A 396,0
A 397,0
A 398,0
A 399,0
A 400,0
A 401,0
A 402,0
A 500,0
A 501,0
A 502,0
A 503,0
A 504,1
A 505,0
A 506,0
A 507,0
A 509,0
A 510,0
A 560,0
A 561,0
A 562,0
A 566,0
A 568,0
A 604,0
A 606,0
A 608,0
A 609,0
A 611,0
A 612,0
A 613,0
A 614,0
A 615,0
A 616,0
A 617,2
A 618,2
A 619,0
A 620,0
A 702,0
A 703,0
A 704,0
A 705,0
A 706,0
A 707,0
A 708,0
A 709,0
A 710,0
A 711,0
A 712,0
A 713,0
A 714,0
A 715,0
A 716,0
A 718,0
A 719,0
A 720,0
A 721,0
A 722,0
A 723,0
A 724,0
A 726,0
A 727,0
A 728,0
A 729,0
A 730,0
A LB,0
AB 01,0
AB 02,0
AB 03,0
AB 04,0
AB 05,0
AB 06,0
AB 07,0
AB 08,0
AB 09,0
AB 10,0
AB 102,0
AB 103,0
AB 104,0
AB 105,0
AB 106,0
AB 107,0
AB 108,0
AB 109,0
AB 11,0
AB 110,0
AB 111,0
AB 112,0
AB 113,0
AB 114,0
AB 115,0
AB 116,0
AB 117,0
AB 119,0
AB 12,0
AB 120,0
AB 121,0
AB 122,0
AB 123,0
AB 124,0
AB 127,0
AB 13,0
AB 130,0
AB 131,0
AB 132,0
AB 133,0
AB 134,0
AB 135,0
AB 136,0
AB 137,0
AB 14,0
AB 15,0
AB 16,0
AB 17,0
AB 18,0
AB 19,0
AB 20,0
AB 21,0
AB 21f,0
AB 22,0
AB 22f,0
AB 23,0
AB 24,0
AB 26,0
AB 27,0
AB 28,0
AB 29,0
AB 30,0
AB 31,0
AB 32,0
AB 33,0
AB 34,0
AB 35,0
AB 36,0
AB 37,0
AB 38,0
AB 39,0
AB 40,0
AB 41,0
AB 42,0
AB 43,0
AB 44,0
AB 45,0
AB 46,0
AB 47,0
AB 48,0
AB 49,0
AB 50,0
AB 51,0
AB 52,0
AB 53,0
AB 54,0
AB 55,0
AB 56,0
AB 57,0
AB 58,0
AB 59,0
AB 60,0
AB 61,0
AB 62,0
AB 63,0
AB 64,0
AB 65,0
AB 66,0
AB 67,0
AB 68,0
AB 69,0
AB 70,0
AB 71,0
AB 72,0
AB 73,0
AB 75,0
AB 76,0
AB 77,0
AB 78,0
AB 79,0
AB 80,0
AB 81,0
AB 82,0
AB 83,0
AB 85,0
AB 86,0
AB 87,0
AB 88,0
AB 89,0
AB 90,0
AB 91,0
AB 92,0
AB 93,0
AB 94,0
AB 95,0
AB 96,0
AB 98,0
MET A,0
MET B,0
MET C,0
MET D,0
MET E,0
MET F,0
MET G,0
MET H,0
MET I,0
MET J,0
N,3
NUM 1,0
NUM 10,0
NUM 100,0
NUM 1000,0
NUM 10000,0
VASE 1,0
VASE 10,0
VASE 11,0
VASE 12,0
VASE 13,0
VASE 2,0
VASE 3,0
VASE 4,0
VASE 5,0
VASE 6,0
VASE 7,0
VASE 8,0
VASE 9,0
b,0
e,3
n,3
o,3
|,0
ၶ,0
—,0
≈,0
𐄁,0
𐄂,0
𐄇,0
𐄈,0
𐄉,0
𐄊,0
𐄋,0
𐄌,0
𐄍,0
𐄎,0
𐄏,0
𐄐,0
𐄑,0
𐄒,0
𐄓,0
𐄔,0
𐄕,0
𐄖,0
𐄗,0
𐄘,0
𐄙,0
𐄚,0
𐄛,0
𐄜,0
𐄝,0
𐄞,0
𐄡,0
𐄢,0
𐄣,0
𐄤,0
𐝡,0
𐝢,0
𐝥,0
𐝦,0
𐝫,0
𐝬,0
𐝭,0
𐝮,0
󽇫,0
