sign_id,degree_centrality,betweenness_centrality,pagerank,clustering_coefficient
",",0.008721,0.000000,0.000710,1.000000
A 028B,0.186047,0.000229,0.001414,0.914683
A 100-102,0.392442,0.007598,0.003611,0.590160
A 131C,0.090116,0.000289,0.001679,0.761290
A 301,0.302326,0.002274,0.004257,0.736370
A 302,0.273256,0.001212,0.002627,0.776253
A 303,0.392442,0.006012,0.005177,0.591708
A 304,0.340116,0.004212,0.004833,0.684645
A 305,0.340116,0.003157,0.002763,0.688624
A 306,0.311047,0.002801,0.004093,0.700053
A 307,0.229651,0.000486,0.001310,0.843882
A 308,0.255814,0.001420,0.002678,0.748433
A 309A,0.078488,0.000000,0.002445,1.000000
A 309B,0.078488,0.000000,0.001356,1.000000
A 309C,0.078488,0.000000,0.000978,1.000000
A 310,0.264535,0.000595,0.001785,0.849084
A 312,0.220930,0.000505,0.002242,0.844561
A 314,0.098837,0.001397,0.001370,0.884135
A 315,0.014535,0.000000,0.000695,1.000000
A 316,0.061047,0.000289,0.000992,0.857143
A 317,0.119186,0.003421,0.001075,0.874390
A 318,0.130814,0.000055,0.001359,0.933333
A 319,0.081395,0.000004,0.001529,0.981481
A 320,0.008721,0.000000,0.000614,1.000000
A 321,0.168605,0.000239,0.001292,0.886872
A 322,0.058140,0.000000,0.000768,1.000000
A 323,0.154070,0.000240,0.001444,0.875907
A 324,0.156977,0.000007,0.001260,0.990217
A 325,0.145349,0.000026,0.000944,0.964082
A 326,0.148256,0.000138,0.000623,0.880784
A 327,0.130814,0.000066,0.000768,0.954545
A 328,0.017442,0.000011,0.000736,0.800000
A 329,0.034884,0.000004,0.000793,0.939394
A 331,0.052326,0.000001,0.000731,0.993464
A 332,0.017442,0.000000,0.000719,1.000000
A 333,0.020349,0.000001,0.000455,0.952381
A 334,0.133721,0.000094,0.000849,0.912077
A 335,0.037791,0.000000,0.000904,1.000000
A 336,0.049419,0.000152,0.000908,0.852941
A 339,0.026163,0.000008,0.000788,0.861111
A 342,0.026163,0.000000,0.000627,1.000000
A 343,0.125000,0.000000,0.000768,1.000000
A 344,0.084302,0.000000,0.000762,1.000000
A 345,0.069767,0.000000,0.000607,1.000000
A 346,0.078488,0.000000,0.000623,1.000000
A 347,0.078488,0.000000,0.000646,1.000000
A 348,0.072674,0.000000,0.000664,1.000000
A 349,0.072674,0.000000,0.000683,1.000000
A 350,0.072674,0.000000,0.000644,1.000000
A 351,0.002907,0.000000,0.000716,0.000000
A 352,0.023256,0.000000,0.000608,1.000000
A 353,0.008721,0.000000,0.000684,1.000000
