rank,sign_id,betweenness_centrality
1,𐝫,0.327711
2,𐄇,0.073085
3,𐄈,0.070664
4,𐄁,0.069878
5,𐄉,0.052247
6,𐄐,0.043706
7,𐄋,0.038823
8,AB 77,0.033449
9,AB 41,0.028356
10,𐄑,0.028127
11,𐄊,0.028053
12,AB 59,0.027621
13,AB 03,0.024826
14,AB 81,0.024048
15,𐝇,0.023779
16,AB 04,0.023662
17,AB 28,0.023405
18,AB 31,0.022915
19,𐝃,0.022865
20,AB 08,0.021866
21,AB 02,0.021826
22,AB 01,0.020404
23,—,0.019892
24,AB 38,0.019593
25,AB 30,0.019244
26,AB 51,0.018600
27,𐝆,0.018410
28,AB 06,0.017348
29,AB 60,0.016482
30,AB 37,0.016376
