sign_id,community_id
A 028B,0
A 100-102,0
A 301,0
A 302,0
A 303,0
A 304,0
A 305,0
A 306,0
A 307,0
A 308,0
A 310,0
A 312,0
A 314,0
A 317,0
A 318,0
A 319,0
A 321,0
A 322,0
A 323,0
A 324,0
A 325,0
A 326,0
A 327,0
A 329,0
A 331,0
A 332,0
A 333,0
A 342,0
A 343,0
A 344,0
A 345,0
A 346,0
A 370,0
A 500,0
A 501,0
A 503,0
A 506,0
A 507,0
A 509,0
A 510,0
A 561,0
A 566,0
A 568,0
A 702,0
A 703,0
A 704,0
A 706,0
A 707,0
A 708,0
A 709,0
A 710,0
A 711,0
A 713,0
A 714,0
A 715,0
A 724,0
A 726,0
A 727,0
A 728,0
A 730,0
AB 01,0
AB 02,0
AB 03,0
AB 04,0
AB 05,0
AB 06,0
AB 07,0
AB 08,0
AB 09,0
AB 10,0
AB 11,0
AB 118,0
AB 120,0
AB 122,0
AB 123,0
AB 13,0
AB 131A,0
AB 16,0
AB 164,0
AB 17,0
AB 188,0
AB 21f,0
AB 21m,0
AB 22,0
AB 22f,0
AB 23,0
AB 23m,0
AB 24,0
AB 26,0
AB 27,0
AB 28,0
AB 29,0
AB 30,0
AB 31,0
AB 34,0
AB 37,0
AB 38,0
AB 39,0
AB 40,0
AB 41,0
AB 44,0
AB 45,0
AB 46,0
AB 47,0
AB 49,0
AB 50,0
AB 51,0
AB 53,0
AB 54,0
AB 55,0
AB 56,0
AB 57,0
AB 58,0
AB 59,0
AB 60,0
AB 61,0
AB 65,0
AB 66,0
AB 67,0
AB 69,0
AB 70,0
AB 73,0
AB 74,0
AB 76,0
AB 77,0
AB 78,0
AB 79,0
AB 80,0
AB 81,0
AB 85,0
AB 86,0
AB 87,0
MET A,0
MET D,0
MET E,0
MET F,0
MET G,0
MET H,0
MET J,0
N,1
NUM 10,0
VASE 10,0
VASE 12,0
e,1
n,1
o,1
—,0
𐄁,0
𐄇,0
𐄈,0
𐄉,0
𐄊,0
𐄋,0
𐄌,0
𐄍,0
𐄎,0
𐄏,0
𐄐,0
𐄑,0
𐄒,0
𐄓,0
𐄔,0
𐄕,0
𐄖,0
𐄗,0
𐄘,0
𐄙,0
𐄚,0
𐄛,0
𐄜,0
𐄝,0
𐄞,0
𐄡,0
𐄢,0
𐄤,0
𐚢,0
𐚣,0
𐚦,0
𐚪,0
𐚯,0
𐚰,0
𐚴,0
𐚷,0
𐚸,0
𐚹,0
𐚺,0
𐚻,0
𐚼,0
𐚿,0
𐛀,0
𐛂,0
𐛃,0
𐛅,0
𐛆,0
𐛉,0
𐛊,0
𐛋,0
𐛍,0
𐛎,0
𐛏,0
𐛐,0
𐛑,0
𐛒,0
𐛔,0
𐛕,0
𐛖,0
𐛗,0
𐛙,0
𐛚,0
𐛛,0
𐛜,0
𐛞,0
𐛢,0
𐛤,0
𐛥,0
𐛧,0
𐛩,0
𐛪,0
𐛫,0
𐛬,0
𐛭,0
𐛮,0
𐛯,0
𐜎,0
𐜐,0
𐜑,0
𐜒,0
𐜫,0
𐜮,0
𐜯,0
𐝀,0
𐝁,0
𐝂,0
𐝃,0
𐝄,0
𐝅,0
𐝆,0
𐝇,0
𐝫,0
󽇫,0
