sign_id,degree_centrality,betweenness_centrality,pagerank,clustering_coefficient
A 321,0.104603,0.000000,0.001032,1.000000
A 325,0.125523,0.000000,0.001972,1.000000
A 326,0.054393,0.000000,0.000865,1.000000
A 329,0.179916,0.000000,0.000933,1.000000
A 333,0.125523,0.000000,0.000963,1.000000
A 338,0.125523,0.000000,0.001238,1.000000
A 339,0.125523,0.000000,0.000956,1.000000
A 343,0.179916,0.000000,0.000963,1.000000
A 346,0.075314,0.000000,0.000963,1.000000
A 347,0.108787,0.000000,0.001238,1.000000
A 348,0.326360,0.003219,0.003475,0.711955
A 349,0.205021,0.000983,0.003171,0.765306
A 350,0.326360,0.002669,0.003107,0.716950
A 351,0.096234,0.000000,0.001032,1.000000
A 354,0.179916,0.000000,0.000963,1.000000
A 355,0.238494,0.000441,0.001268,0.872807
A 357,0.146444,0.000000,0.000969,1.000000
A 358,0.179916,0.000117,0.001385,0.930233
A 360,0.146444,0.000000,0.000956,1.000000
A 361,0.192469,0.000684,0.001595,0.823188
A 364,0.213389,0.001019,0.001648,0.920000
A 365,0.112971,0.000000,0.001423,1.000000
A 366,0.020921,0.000000,0.000995,1.000000
A 368,0.071130,0.000000,0.000956,1.000000
A 369,0.054393,0.000000,0.001068,1.000000
A 370,0.054393,0.000000,0.001071,1.000000
A 371,0.079498,0.000000,0.001028,1.000000
A 372,0.104603,0.000000,0.001053,1.000000
A 373,0.020921,0.000000,0.000995,1.000000
A 375,0.020921,0.000000,0.000989,1.000000
A 376,0.121339,0.000000,0.001068,1.000000
A 377,0.138075,0.000123,0.001447,0.905303
A 378,0.075314,0.000000,0.000956,1.000000
A 380,0.037657,0.000000,0.001423,1.000000
A 381,0.242678,0.000638,0.002087,0.828796
A 382,0.184100,0.000129,0.001048,0.927061
A 383,0.192469,0.000684,0.001561,0.823188
A 385,0.054393,0.000000,0.001068,1.000000
A 389,0.163180,0.000119,0.001478,0.920378
A 391,0.071130,0.000000,0.000956,1.000000
A 392,0.075314,0.000000,0.001033,1.000000
A 394,0.288703,0.000579,0.001967,0.851662
A 396,0.175732,0.000101,0.001383,0.937282
A 397,0.121339,0.000000,0.001165,1.000000
A 398,0.083682,0.000000,0.001071,1.000000
A 399,0.025105,0.000000,0.000860,1.000000
A 400,0.326360,0.002009,0.003596,0.791542
A 401,0.016736,0.000000,0.000956,1.000000
A 402,0.125523,0.000000,0.000963,1.000000
A 500,0.200837,0.000489,0.002712,0.869681
A 501,0.096234,0.000000,0.001032,1.000000
A 503,0.217573,0.000156,0.001340,0.926848
A 506,0.033473,0.000000,0.000953,1.000000
A 507,0.008368,0.000000,0.000956,1.000000
A 509,0.079498,0.000000,0.001002,1.000000
A 510,0.054393,0.000000,0.001069,1.000000
A 561,0.171548,0.000044,0.001407,0.957317
A 566,0.163180,0.000221,0.002517,0.894737
A 568,0.476987,0.011982,0.007110,0.658593
A 608,0.079498,0.000000,0.000963,1.000000
A 612,0.133891,0.000047,0.000963,0.947581
A 613,0.071130,0.000000,0.000766,1.000000
A 702,0.234310,0.000371,0.002650,0.873377
A 703,0.117155,0.000128,0.002165,0.941799
A 704,0.188285,0.000067,0.001142,0.953535
A 706,0.075314,0.000006,0.001290,0.967320
A 707,0.087866,0.000000,0.001032,1.000000
A 708,0.188285,0.000067,0.001260,0.953535
A 709,0.033473,0.000000,0.000956,1.000000
A 710,0.075314,0.000000,0.001053,1.000000
A 711,0.205021,0.000220,0.001871,0.906463
A 713,0.054393,0.000000,0.001071,1.000000
A 714,0.075314,0.000000,0.000963,1.000000
A 715,0.075314,0.000000,0.000963,1.000000
A 724,0.096234,0.000062,0.001395,0.936759
A 726,0.317992,0.000913,0.005071,0.834386
A 727,0.079498,0.000000,0.000956,1.000000
A 728,0.401674,0.003181,0.005538,0.733772
A 730,0.246862,0.000545,0.002113,0.839275
AB 01,0.640167,0.022780,0.011410,0.512212
AB 02,0.736402,0.042307,0.004927,0.425909
AB 03,0.690377,0.031722,0.006393,0.460458
AB 04,0.581590,0.016119,0.005979,0.560525
AB 05,0.292887,0.001336,0.001853,0.792547
AB 06,0.644351,0.021644,0.008187,0.511332
AB 07,0.619247,0.017755,0.014208,0.545413
AB 08,0.598326,0.015530,0.005980,0.547326
AB 09,0.426778,0.004142,0.004607,0.702194
AB 10,0.523013,0.008006,0.004976,0.640387
AB 102,0.016736,0.000000,0.000955,1.000000
AB 105,0.121339,0.000000,0.001120,1.000000
AB 106,0.188285,0.000194,0.002025,0.904040
AB 107,0.117155,0.000040,0.002544,0.933862
AB 109,0.104603,0.000000,0.000951,1.000000
AB 11,0.267782,0.001388,0.002113,0.796627
AB 110,0.083682,0.000000,0.001071,1.000000
AB 111,0.221757,0.000507,0.002264,0.868650
AB 112,0.225941,0.000039,0.001796,0.975542
AB 113,0.158996,0.000024,0.000831,0.972973
AB 114,0.213389,0.000399,0.000963,0.839216
AB 115,0.188285,0.000123,0.001071,0.942424
AB 117,0.050209,0.000009,0.001268,0.939394
AB 119,0.066946,0.000000,0.000897,1.000000
AB 12,0.397490,0.002811,0.004026,0.737290
AB 120,0.025105,0.000000,0.001003,1.000000
AB 121,0.020921,0.000000,0.000639,1.000000
AB 13,0.552301,0.011895,0.004728,0.576683
AB 130,0.037657,0.000000,0.000865,1.000000
AB 131,0.179916,0.000000,0.001071,1.000000
AB 132,0.121339,0.000000,0.001120,1.000000
AB 133,0.100418,0.000000,0.000941,1.000000
AB 134,0.112971,0.000000,0.000963,1.000000
AB 14,0.313808,0.000536,0.002601,0.880721
AB 17,0.389121,0.003309,0.002930,0.743338
AB 18,0.096234,0.000026,0.001398,0.976285
AB 19,0.075314,0.000193,0.001356,0.843137
AB 20,0.167364,0.000181,0.001815,0.894872
AB 21f,0.213389,0.000112,0.001686,0.932549
AB 22,0.121339,0.000121,0.001791,0.923645
AB 22f,0.476987,0.006552,0.005371,0.646173
AB 23,0.598326,0.012167,0.010072,0.563774
AB 24,0.581590,0.014041,0.009792,0.570743
AB 26,0.640167,0.019244,0.008511,0.520554
AB 27,0.121339,0.000000,0.000971,1.000000
AB 28,0.251046,0.000395,0.001786,0.910734
AB 29,0.661088,0.019732,0.013049,0.508748
AB 30,0.723849,0.033176,0.013684,0.448515
AB 31,0.242678,0.000916,0.001564,0.814882
AB 32,0.606695,0.015849,0.012173,0.538697
AB 33,0.338912,0.002257,0.002691,0.717901
AB 34,0.376569,0.002236,0.003352,0.759301
AB 35,0.309623,0.001086,0.002674,0.827842
AB 36,0.594142,0.013719,0.008978,0.566876
AB 37,0.280335,0.000208,0.001962,0.929896
AB 38,0.443515,0.003392,0.003777,0.717700
AB 39,0.255230,0.000394,0.001365,0.875956
AB 40,0.138075,0.000043,0.000933,0.956439
AB 42,0.146444,0.000063,0.000831,0.944538
AB 43,0.439331,0.003607,0.004214,0.710989
AB 44,0.527197,0.015045,0.007898,0.597841
AB 45,0.552301,0.009341,0.009210,0.603979
AB 46,0.347280,0.004657,0.002872,0.785483
AB 47,0.460251,0.004501,0.005204,0.685405
AB 48,0.569038,0.011228,0.005796,0.572985
AB 49,0.535565,0.009268,0.009230,0.596334
AB 50,0.506276,0.011169,0.007986,0.605372
AB 51,0.669456,0.020468,0.011871,0.497563
AB 52,0.623431,0.021094,0.009650,0.536913
AB 53,0.238494,0.002450,0.002163,0.872807
AB 54,0.456067,0.006161,0.004949,0.654944
AB 55,0.309623,0.001380,0.002759,0.824139
AB 56,0.686192,0.022075,0.011944,0.491995
AB 57,0.535565,0.009145,0.007811,0.629060
AB 58,0.347280,0.002399,0.003141,0.739348
AB 59,0.489540,0.010915,0.008249,0.641173
AB 60,0.062762,0.000000,0.001238,1.000000
AB 61,0.606695,0.015322,0.004429,0.544253
AB 62,0.669456,0.024221,0.012986,0.495676
AB 63,0.514644,0.007500,0.006231,0.635879
AB 64,0.397490,0.002484,0.003839,0.748936
AB 65,0.606695,0.016989,0.010260,0.527778
AB 66,0.723849,0.030890,0.012763,0.453085
AB 68,0.121339,0.000614,0.001032,0.802956
AB 69,0.326360,0.000967,0.003208,0.822511
AB 70,0.033473,0.000000,0.001320,1.000000
AB 71,0.472803,0.006046,0.004765,0.654077
AB 72,0.380753,0.009166,0.004549,0.676190
