rank,sign_id,betweenness_centrality
1,𐝫,0.138316
2,𐄁,0.081320
3,𐄇,0.052852
4,𐄉,0.050619
5,𐄋,0.045920
6,AB 02,0.042307
7,𐄐,0.040933
8,𐄈,0.040800
9,AB 31,0.033176
10,AB 03,0.031722
11,AB 81,0.030890
12,AB 77,0.024221
13,AB 01,0.022780
14,𐄊,0.022136
15,AB 67,0.022075
16,𐝃,0.021782
17,AB 06,0.021644
18,AB 60,0.021094
19,AB 59,0.020468
20,AB 30,0.019732
21,AB 28,0.019244
22,AB 07,0.017755
23,𐝆,0.017657
24,AB 80,0.016989
25,𐄍,0.016848
26,AB 120,0.016206
27,AB 04,0.016119
28,AB 37,0.015849
29,AB 08,0.015530
30,AB 76,0.015322
