sign_id,community_id
A 301,0
A 302,0
A 303,0
A 331,0
A 332,0
A 342,1
A 344,0
A 345,0
A 350,0
A 355,0
A 362,0
A 367,0
A 381,0
A 382,0
A 389,0
A 392,0
A 395,0
A 397,0
A 400,0
A 500,0
A 502,0
A 504,1
A 560,0
A 561,0
A 568,0
A 604,0
A 606,0
A 608,0
A 706,0
A 719,0
A LB,0
AB 01,0
AB 02,0
AB 03,0
AB 04,0
AB 05,0
AB 06,0
AB 07,0
AB 08,0
AB 09,0
AB 10,0
AB 103,0
AB 104,0
AB 11,0
AB 119,0
AB 12,0
AB 122,0
AB 123,0
AB 124,0
AB 13,0
AB 135,0
AB 136,0
AB 137,0
AB 14,0
AB 15,0
AB 17,0
AB 18,0
AB 21f,0
AB 22,0
AB 22f,0
AB 23,0
AB 24,0
AB 26,0
AB 29,0
AB 30,0
AB 32,0
AB 33,0
AB 34,0
AB 35,0
AB 36,0
AB 37,0
AB 38,0
AB 39,0
AB 43,0
AB 44,0
AB 45,0
AB 47,0
AB 49,0
AB 50,0
AB 51,0
AB 52,0
AB 55,0
AB 56,0
AB 57,0
AB 58,0
AB 59,0
AB 62,0
AB 63,0
AB 64,0
AB 65,0
AB 66,0
AB 68,0
AB 69,0
AB 71,0
AB 72,0
AB 73,0
AB 76,0
AB 77,0
AB 79,0
AB 85,0
AB 86,0
AB 87,0
AB 88,0
AB 89,0
AB 90,0
AB 92,0
AB 98,0
MET G,0
MET H,0
MET I,0
MET J,0
NUM 10,0
NUM 100,0
VASE 1,0
VASE 10,0
VASE 12,0
VASE 13,0
VASE 2,0
VASE 3,0
VASE 4,0
VASE 7,0
VASE 8,0
VASE 9,0
—,0
𐄁,0
𐄇,0
𐄈,0
𐄉,0
𐄊,0
𐄋,0
𐄌,0
𐄍,0
𐄎,0
𐄏,0
𐄐,0
𐄑,0
𐄒,0
𐄓,0
𐄕,0
𐄖,0
𐄘,0
𐄙,0
𐄢,0
𐝥,0
𐝫,0
𐝭,0
