sign_id,degree_centrality,betweenness_centrality,pagerank,clustering_coefficient
A 100-102,0.151724,0.006197,0.003400,0.562771
A 131C,0.186207,0.002545,0.005537,0.658120
A 301,0.289655,0.001678,0.006244,0.804878
A 302,0.082759,0.000090,0.005171,0.893939
A 303,0.627586,0.051922,0.020291,0.411477
A 304,0.255172,0.003303,0.007724,0.684685
A 305,0.213793,0.000000,0.001920,1.000000
A 306,0.427586,0.025807,0.009985,0.543628
A 308,0.110345,0.000229,0.003443,0.891667
A 312,0.096552,0.000000,0.001978,1.000000
A 315,0.034483,0.000000,0.002519,1.000000
A 316,0.096552,0.000000,0.002519,1.000000
A 331,0.020690,0.000000,0.002326,1.000000
A 334,0.317241,0.002125,0.003283,0.794203
A 335,0.089655,0.000000,0.003747,1.000000
A 336,0.117241,0.001306,0.003400,0.801471
A 347,0.186207,0.000000,0.002079,1.000000
A 348,0.172414,0.000000,0.002325,1.000000
A 349,0.172414,0.000000,0.003003,1.000000
A 350,0.172414,0.000000,0.002219,1.000000
A 351,0.006897,0.000000,0.001912,0.000000
A 352,0.055172,0.000369,0.001675,0.750000
A 500,0.144828,0.000104,0.003825,0.952381
A 502,0.006897,0.000000,0.002519,0.000000
A 504,0.006897,0.000000,0.001097,0.000000
A 560,0.206897,0.002603,0.008858,0.668966
A 561,0.151724,0.000000,0.002519,1.000000
A 568,0.275862,0.002811,0.004265,0.837179
A 706,0.055172,0.000054,0.002099,0.892857
A 719,0.179310,0.000000,0.002461,1.000000
AB 01,0.303448,0.004839,0.008373,0.743129
AB 02,0.048276,0.027203,0.003451,0.714286
AB 03,0.475862,0.012179,0.008810,0.583973
AB 04,0.282759,0.001822,0.007104,0.795122
AB 05,0.172414,0.000000,0.004486,1.000000
AB 06,0.434483,0.010508,0.014342,0.593958
AB 07,0.227586,0.000824,0.004337,0.869318
AB 08,0.496552,0.020070,0.015747,0.522300
AB 09,0.324138,0.004505,0.005813,0.722479
AB 10,0.275862,0.001698,0.006722,0.807692
AB 11,0.151724,0.000000,0.002135,1.000000
AB 118,0.193103,0.001144,0.003786,0.783069
AB 120,0.303448,0.005546,0.009619,0.630021
AB 123,0.034483,0.000000,0.002316,1.000000
AB 13,0.227586,0.001205,0.002869,0.931818
AB 131A,0.344828,0.016031,0.010997,0.587755
AB 16,0.344828,0.005575,0.003521,0.680816
AB 17,0.282759,0.002803,0.004016,0.748780
AB 20,0.034483,0.000000,0.002519,1.000000
AB 21f,0.131034,0.000344,0.002989,0.836257
AB 21m,0.186207,0.000000,0.002519,1.000000
AB 23,0.186207,0.000000,0.002079,1.000000
AB 23m,0.034483,0.000000,0.002079,1.000000
AB 24,0.434483,0.010415,0.006854,0.629800
AB 26,0.013793,0.000000,0.002519,1.000000
AB 27,0.358621,0.010926,0.012332,0.645551
AB 28,0.531034,0.029807,0.013018,0.494874
AB 30,0.593103,0.057962,0.020780,0.406566
AB 31,0.351724,0.003757,0.005314,0.718431
AB 37,0.234483,0.000609,0.004485,0.912656
AB 38,0.268966,0.001085,0.005231,0.858300
AB 39,0.337931,0.021507,0.006561,0.630102
AB 40,0.186207,0.001571,0.003464,0.931624
AB 41,0.634483,0.046335,0.013518,0.432155
AB 44,0.041379,0.000000,0.002519,1.000000
AB 45,0.131034,0.000417,0.004139,0.824561
AB 46,0.227586,0.002756,0.003641,0.795455
AB 50,0.096552,0.000297,0.003554,0.824176
AB 51,0.310345,0.003032,0.006526,0.750505
AB 53,0.268966,0.001834,0.005408,0.788124
AB 55,0.275862,0.003087,0.005742,0.725641
AB 57,0.406897,0.015189,0.010247,0.608416
AB 58,0.282759,0.004659,0.006109,0.734146
AB 59,0.579310,0.027798,0.014527,0.478485
AB 60,0.310345,0.004235,0.004539,0.679798
AB 66,0.117241,0.000133,0.005864,0.911765
AB 67,0.489655,0.013888,0.012539,0.569416
AB 69,0.241379,0.003103,0.008476,0.727731
AB 70,0.213793,0.000000,0.002519,1.000000
AB 73,0.200000,0.001722,0.005399,0.847291
AB 77,0.248276,0.013047,0.005592,0.758730
AB 78,0.089655,0.000169,0.003876,0.846154
AB 79,0.241379,0.001478,0.003504,0.820168
AB 80,0.206897,0.002369,0.006322,0.671264
AB 81,0.420690,0.016557,0.008029,0.593443
AB 85,0.186207,0.000000,0.002079,1.000000
AB 86,0.006897,0.000000,0.001097,0.000000
MET G,0.462069,0.013107,0.017942,0.569426
MET H,0.420690,0.006839,0.011120,0.663934
MET I,0.117241,0.000000,0.002694,1.000000
MET J,0.020690,0.000000,0.002519,1.000000
NUM 10,0.034483,0.000000,0.002519,1.000000
VASE 10,0.510345,0.030998,0.012121,0.497593
VASE 12,0.048276,0.000051,0.003400,0.904762
VASE 13,0.227586,0.000178,0.003207,0.958333
—,0.158621,0.001201,0.004979,0.747036
𐄁,0.662069,0.061792,0.027128,0.406140
𐄇,0.682759,0.070910,0.043149,0.383426
𐄈,0.682759,0.090434,0.022476,0.364667
𐄉,0.420690,0.021087,0.011064,0.574863
𐄊,0.400000,0.010770,0.013156,0.638234
𐄋,0.158621,0.004946,0.006308,0.600791
𐄌,0.117241,0.000130,0.004435,0.904412
𐄍,0.089655,0.000151,0.003994,0.884615
𐄎,0.386207,0.007416,0.005850,0.655844
𐄏,0.020690,0.000000,0.002702,1.000000
𐄐,0.475862,0.027740,0.013401,0.517903
𐄑,0.241379,0.003457,0.005573,0.678992
𐄒,0.027586,0.000000,0.002519,1.000000
𐄓,0.027586,0.000000,0.002520,1.000000
𐄕,0.041379,0.000000,0.001675,1.000000
𐄖,0.048276,0.000000,0.001989,1.000000
𐄘,0.117241,0.000000,0.002732,1.000000
𐄙,0.027586,0.000000,0.001675,1.000000
𐄢,0.027586,0.000000,0.003238,1.000000
𐚨,0.006897,0.000000,0.001097,0.000000
𐚩,0.006897,0.000000,0.001097,0.000000
𐚳,0.006897,0.000000,0.002029,0.000000
𐚵,0.082759,0.000000,0.002519,1.000000
𐚶,0.082759,0.000000,0.002843,1.000000
𐚻,0.096552,0.000000,0.002843,1.000000
𐛀,0.089655,0.000000,0.002325,1.000000
𐛇,0.027586,0.000000,0.002461,1.000000
𐛌,0.151724,0.000000,0.003238,1.000000
𐛚,0.158621,0.001280,0.003987,0.750988
𐛛,0.027586,0.000000,0.002519,1.000000
𐛢,0.027586,0.000000,0.002519,1.000000
𐛥,0.013793,0.000000,0.002519,1.000000
𐛨,0.213793,0.001093,0.004395,0.808602
𐛪,0.213793,0.000000,0.004766,1.000000
𐛭,0.020690,0.000000,0.002519,1.000000
𐜐,0.165517,0.000707,0.005112,0.804348
𐜨,0.110345,0.000617,0.002519,0.783333
𐜩,0.241379,0.004790,0.005211,0.596639
𐜪,0.110345,0.000367,0.002957,0.841667
𐜫,0.089655,0.000000,0.001974,1.000000
𐝀,0.344828,0.009040,0.007775,0.678367
𐝁,0.586207,0.029275,0.014456,0.483193
𐝂,0.186207,0.002454,0.005327,0.660969
𐝃,0.358621,0.020924,0.013481,0.538462
𐝆,0.668966,0.059378,0.023108,0.399270
𐝇,0.524138,0.024915,0.009294,0.491579
𐝈,0.013793,0.000000,0.002519,1.000000
𐝥,0.055172,0.027203,0.001917,0.750000
𐝫,0.965517,0.541136,0.142203,0.225488
𐝭,0.013793,0.000000,0.001097,1.000000
