sign_id,community_id
A 333,0
A 356,1
A 374,1
A 394,2
A 604,0
A 606,0
A 608,0
A 620,0
AB 01,1
AB 02,2
AB 03,1
AB 04,1
AB 05,1
AB 06,1
AB 07,1
AB 08,1
AB 09,1
AB 10,1
AB 11,1
AB 12,1
AB 13,1
AB 14,1
AB 20,1
AB 21f,1
AB 22f,1
AB 23,1
AB 24,1
AB 26,1
AB 29,1
AB 30,1
AB 31,1
AB 32,1
AB 33,1
AB 34,1
AB 35,1
AB 36,1
AB 37,1
AB 38,1
AB 39,1
AB 40,1
AB 43,1
AB 44,1
AB 45,1
AB 46,1
AB 47,1
AB 48,1
AB 49,1
AB 50,1
AB 51,1
AB 52,1
AB 53,1
AB 54,1
AB 56,1
AB 57,1
AB 59,1
AB 62,1
AB 63,1
AB 64,1
AB 65,1
AB 66,1
AB 72,1
AB 73,1
AB 75,1
AB 77,1
AB 79,1
AB 85,1
AB 86,1
AB 96,1
VASE 11,1
VASE 8,1
VASE 9,1
b,1
ၶ,1
—,1
𐄁,1
𐄇,1
𐄈,1
𐄉,1
𐄋,1
𐄍,1
𐄏,1
𐄐,1
𐄑,1
𐄓,1
𐄙,1
𐄚,1
𐝫,1
