sign_id,degree_centrality,betweenness_centrality,pagerank,clustering_coefficient
A 333,0.069767,0.000000,0.005296,1.000000
A 356,0.081395,0.000000,0.006377,1.000000
A 374,0.046512,0.000000,0.006377,1.000000
A 394,0.011628,0.000000,0.003750,0.000000
A 604,0.069767,0.000000,0.005215,1.000000
A 606,0.069767,0.000000,0.002027,1.000000
A 608,0.069767,0.000000,0.003750,1.000000
A 620,0.069767,0.000000,0.006460,1.000000
AB 01,0.476744,0.016255,0.012777,0.710976
AB 02,0.011628,0.000000,0.002027,0.000000
AB 03,0.372093,0.007115,0.014529,0.764113
AB 04,0.430233,0.035377,0.020051,0.705706
AB 05,0.174419,0.000000,0.004843,1.000000
AB 06,0.627907,0.107058,0.027706,0.478686
AB 07,0.558140,0.067425,0.017560,0.552305
AB 08,0.500000,0.023432,0.020915,0.676633
AB 09,0.395349,0.003464,0.011060,0.846702
AB 10,0.244186,0.009457,0.009460,0.790476
AB 11,0.058140,0.000000,0.005296,1.000000
AB 12,0.023256,0.000000,0.004112,1.000000
AB 13,0.325581,0.000947,0.007815,0.933862
AB 14,0.360465,0.001413,0.011054,0.896774
AB 20,0.069767,0.000000,0.005296,1.000000
AB 21f,0.325581,0.002327,0.006799,0.873016
AB 22f,0.418605,0.004077,0.013364,0.823810
AB 23,0.116279,0.001528,0.005296,0.733333
AB 24,0.418605,0.004077,0.007828,0.823810
AB 26,0.534884,0.035366,0.014862,0.628019
AB 29,0.348837,0.051857,0.016469,0.519540
AB 30,0.430233,0.025506,0.009272,0.746246
AB 31,0.209302,0.000000,0.002027,1.000000
AB 32,0.558140,0.062465,0.023303,0.578901
AB 33,0.104651,0.002758,0.005989,0.722222
AB 34,0.441860,0.009993,0.015733,0.765292
AB 35,0.313953,0.020474,0.010185,0.643875
AB 36,0.406977,0.009661,0.020047,0.803361
AB 37,0.406977,0.010653,0.014692,0.781513
AB 38,0.302326,0.000000,0.005014,1.000000
AB 39,0.069767,0.000000,0.003308,1.000000
AB 40,0.302326,0.000000,0.005071,1.000000
AB 43,0.104651,0.002408,0.007266,0.694444
AB 44,0.488372,0.034001,0.013287,0.626016
AB 45,0.348837,0.008781,0.015573,0.763218
AB 46,0.360465,0.001669,0.013250,0.892473
AB 47,0.395349,0.005373,0.012496,0.755793
AB 48,0.081395,0.000559,0.005882,0.761905
AB 49,0.558140,0.080576,0.024339,0.505319
AB 50,0.395349,0.013657,0.014054,0.757576
AB 51,0.453488,0.017765,0.014032,0.726046
AB 52,0.534884,0.092007,0.019619,0.531401
AB 53,0.034884,0.000000,0.004644,1.000000
AB 54,0.325581,0.015208,0.013727,0.666667
AB 56,0.232558,0.000505,0.009501,0.926316
AB 57,0.058140,0.000000,0.003395,1.000000
AB 59,0.348837,0.006397,0.017908,0.827586
AB 62,0.348837,0.023318,0.010552,0.655172
AB 63,0.034884,0.000000,0.003618,1.000000
AB 64,0.325581,0.002781,0.005199,0.812169
AB 65,0.232558,0.001039,0.010180,0.847368
AB 66,0.453488,0.055379,0.011428,0.581646
AB 72,0.139535,0.003571,0.011623,0.621212
AB 73,0.174419,0.013295,0.010523,0.590476
AB 75,0.104651,0.000000,0.006499,1.000000
AB 77,0.069767,0.000000,0.004974,1.000000
AB 79,0.046512,0.000000,0.005296,1.000000
AB 85,0.174419,0.000000,0.004515,1.000000
AB 86,0.081395,0.000000,0.005296,1.000000
AB 96,0.360465,0.025834,0.009082,0.746237
VASE 11,0.046512,0.000000,0.010288,1.000000
VASE 8,0.046512,0.000000,0.006528,1.000000
VASE 9,0.023256,0.000000,0.004974,1.000000
b,0.104651,0.000000,0.006150,1.000000
ၶ,0.104651,0.000000,0.004851,1.000000
—,0.081395,0.000000,0.004974,1.000000
𐄁,0.581395,0.083591,0.058942,0.533061
𐄇,0.069767,0.000000,0.006528,1.000000
𐄈,0.151163,0.004334,0.007443,0.641026
𐄉,0.116279,0.004004,0.010235,0.622222
𐄋,0.209302,0.021749,0.014704,0.450980
𐄍,0.069767,0.000000,0.010733,1.000000
𐄏,0.069767,0.000000,0.005887,1.000000
𐄐,0.116279,0.004392,0.010243,0.644444
𐄑,0.069767,0.000000,0.005296,1.000000
𐄓,0.058140,0.000000,0.005914,1.000000
𐄙,0.174419,0.010141,0.014073,0.542857
𐄚,0.058140,0.000000,0.004572,1.000000
𐝫,0.848837,0.539657,0.126894,0.289193
