rank,sign_id,betweenness_centrality
1,𐝫,0.539657
2,AB 06,0.107058
3,AB 52,0.092007
4,𐄁,0.083591
5,AB 49,0.080576
6,AB 07,0.067425
7,AB 32,0.062465
8,AB 66,0.055379
9,AB 29,0.051857
10,AB 04,0.035377
11,AB 26,0.035366
12,AB 44,0.034001
13,AB 96,0.025834
14,AB 30,0.025506
15,AB 08,0.023432
16,AB 62,0.023318
17,𐄋,0.021749
18,AB 35,0.020474
19,AB 51,0.017765
20,AB 01,0.016255
21,AB 54,0.015208
22,AB 50,0.013657
23,AB 73,0.013295
24,AB 37,0.010653
25,𐄙,0.010141
26,AB 34,0.009993
27,AB 36,0.009661
28,AB 10,0.009457
29,AB 45,0.008781
30,AB 03,0.007115
