sign_id,community_id
A 028B,0
A 301,0
A 304,0
A 305,0
A 310,0
A 312,0
A 321,0
A 362,0
A 363,0
A 568,0
A 716,0
A 718,0
AB 01,0
AB 02,0
AB 03,0
AB 04,0
AB 05,0
AB 06,0
AB 07,0
AB 08,0
AB 09,0
AB 10,0
AB 118,0
AB 120,0
AB 122,0
AB 123,0
AB 13,0
AB 131A,0
AB 131B,0
AB 16,0
AB 17,0
AB 171,0
AB 21f,0
AB 22f,0
AB 22m,0
AB 23,0
AB 24,0
AB 26,0
AB 27,0
AB 28,0
AB 29,0
AB 30,0
AB 31,0
AB 34,0
AB 37,0
AB 38,0
AB 39,0
AB 40,0
AB 41,0
AB 44,0
AB 45,0
AB 47,0
AB 49,0
AB 50,0
AB 51,0
AB 53,0
AB 54,0
AB 55,0
AB 57,0
AB 58,0
AB 59,0
AB 60,0
AB 61,0
AB 65,0
AB 66,0
AB 67,0
AB 69,0
AB 70,0
AB 73,0
AB 76,0
AB 77,0
AB 78,0
AB 79,0
AB 80,0
AB 81,0
AB 82,0
AB 85,0
MET A,0
VASE 10,0
—,0
𐄁,0
𐄇,0
𐄈,0
𐄉,0
𐄊,0
𐄋,0
𐄌,0
𐄍,0
𐄎,0
𐄏,0
𐄐,0
𐄑,0
𐄒,0
𐄓,0
𐄔,0
𐄕,0
𐄖,0
𐄗,0
𐄙,0
𐚽,0
𐛀,0
𐛟,0
𐛭,0
𐝁,0
𐝂,0
𐝃,0
𐝄,0
𐝆,0
𐝈,0
𐝫,0
