rank,bennett_id,transliteration,phonetic_class,total_followers,total_preceders,follower_entropy,max_follower_entropy,class_mean_follower_entropy,entropy_divergence,overlap_vs_class_expectation,cross_class_affinity,most_similar_other_class,disruption_score,num_anomalous_followers,anomalous_followers,expected_top_followers,actual_top_followers
1,AB 81,ku,CV,2,2,1.000000,1.000000,3.328207,0.699328,0.000000,0.010309,V,0.582824,2,AB 15; AB 31,AB 66; AB 30; AB 49; AB 36; AB 04,AB 15; AB 31
2,AB 27,re,CV,3,4,1.370951,1.584963,3.328207,0.587905,0.200000,0.037801,V,0.486502,3,AB 47; AB 32; AB 98,AB 66; AB 30; AB 49; AB 36; AB 04,AB 47; AB 32; AB 98
3,AB 01,da,CV,43,42,5.019810,5.426265,3.328207,0.508110,1.000000,0.810997,V,0.446543,5,AB 24; AB 62; AB 56; AB 12; AB 02,AB 66; AB 30; AB 49; AB 36; AB 04,AB 24; AB 66; AB 62; AB 26; AB 36
4,AB 04,te,CV,45,46,5.201985,5.491853,3.328207,0.562830,1.000000,0.731959,V,0.444720,5,AB 77; AB 73; AB 45; AB 29; AB 57,AB 66; AB 30; AB 49; AB 36; AB 04,AB 77; AB 73; AB 04; AB 51; AB 45
5,AB 36,jo,CV,45,40,5.040654,5.491853,3.328207,0.514371,1.000000,0.776632,V,0.438738,5,AB 23; AB 62; AB 72; AB 87; AB 57,AB 66; AB 30; AB 49; AB 36; AB 04,AB 23; AB 62; AB 01; AB 26; AB 04
6,AB 07,di,CV,44,39,4.893677,5.459432,3.328207,0.470223,1.000000,0.814433,V,0.432419,7,AB 06; AB 56; AB 07; AB 38; AB 29,AB 66; AB 30; AB 49; AB 36; AB 04,AB 06; AB 56; AB 52; AB 07; AB 01
7,AB 06,na,CV,43,39,4.908001,5.426265,3.328207,0.474526,1.000000,0.797251,V,0.428985,6,AB 62; AB 32; AB 10; AB 57; AB 03,AB 66; AB 30; AB 49; AB 36; AB 04,AB 36; AB 65; AB 62; AB 32; AB 10
8,AB 26,ru,CV,47,42,4.919886,5.554589,3.328207,0.478096,1.000000,0.759450,V,0.419073,6,AB 85; AB 34; AB 06; AB 61; AB 62,AB 66; AB 30; AB 49; AB 36; AB 04,AB 85; AB 01; AB 49; AB 34; AB 06
9,AB 03,pa,CV,39,36,4.820488,5.285402,3.328207,0.448239,1.000000,0.776632,V,0.412285,4,AB 09; AB 38; AB 07; AB 08,AB 66; AB 30; AB 49; AB 36; AB 04,AB 49; AB 51; AB 01; AB 52; AB 09
10,AB 29,pu,CV,42,41,4.897690,5.392317,3.328207,0.471429,1.000000,0.742268,V,0.411252,7,AB 77; AB 50; AB 08; AB 59; AB 62,AB 66; AB 30; AB 49; AB 36; AB 04,AB 77; AB 51; AB 04; AB 50; AB 08
11,AB 16,qa,CV,1,0,-0.000000,0.000000,3.328207,0.999700,1.000000,0.027491,V,0.408127,1,AB 62,AB 66; AB 30; AB 49; AB 36; AB 04,AB 62
12,AB 67,ki,CV,1,1,-0.000000,0.000000,3.328207,0.999700,1.000000,0.027491,V,0.408127,1,AB 62,AB 66; AB 30; AB 49; AB 36; AB 04,AB 62
