sign_a,sign_b,count,pmi,mi_contribution,expected_count,log_ratio
AB 107,AB 107,3,9.356590,0.00671847,0.0046,9.356590
AB 113,AB 14,4,7.297696,0.00698678,0.0254,7.297696
AB 75,AB 92,5,6.701238,0.00801967,0.0481,6.701238
AB 10,AB 42,3,6.439052,0.00462354,0.0346,6.439052
AB 27,AB 47,3,6.297696,0.00452204,0.0381,6.297696
AB 112,AB 07,3,6.173368,0.00443277,0.0416,6.173368
AB 13,AB 96,4,6.127771,0.00586670,0.0572,6.127771
AB 10,AB 113,3,6.117124,0.00439238,0.0432,6.117124
AB 88,AB 75,6,5.964272,0.00856525,0.0961,5.964272
AB 17,AB 72,4,5.781681,0.00553536,0.0727,5.781681
AB 77,AB 22,3,5.696792,0.00409056,0.0578,5.696792
AB 73,AB 88,12,5.674766,0.01629899,0.2349,5.674766
AB 73,AB 86,10,5.518647,0.01320882,0.2181,5.518647
AB 10,AB 31,3,5.439052,0.00390549,0.0692,5.439052
AB 13,AB 72,5,5.071188,0.00606892,0.1487,5.071188
AB 50,AB 28,3,4.937800,0.00354557,0.0979,4.937800
AB 87,AB 92,3,4.886270,0.00350857,0.1014,4.886270
AB 28,AB 24,6,4.753376,0.00682629,0.2225,4.753376
AB 90,AB 87,4,4.649231,0.00445115,0.1594,4.649231
AB 17,AB 57,5,4.614224,0.00552205,0.2042,4.614224
AB 90,AB 57,5,4.614224,0.00552205,0.2042,4.614224
AB 83,AB 44,4,4.550309,0.00435645,0.1707,4.550309
AB 30,AB 61,21,4.514489,0.02269130,0.9188,4.514489
AB 48,AB 47,8,4.511100,0.00863782,0.3508,4.511100
AB 73,AB 75,5,4.464199,0.00534251,0.2265,4.464199
AB 52,AB 12,14,4.452278,0.01491907,0.6395,4.452278
AB 55,AB 73,3,4.394658,0.00315557,0.1426,4.394658
AB 61,AB 73,9,4.366644,0.00940636,0.4363,4.366644
AB 96,AB 26,5,4.349095,0.00520476,0.2453,4.349095
AB 39,AB 07,4,4.173368,0.00399557,0.2217,4.173368
AB 45,AB 55,3,4.172265,0.00299588,0.1664,4.172265
AB 50,AB 43,3,4.160193,0.00298721,0.1678,4.160193
AB 14,AB 09,6,4.138498,0.00594327,0.3407,4.138498
AB 92,AB 56,4,4.134197,0.00395806,0.2278,4.134197
AB 21f,AB 23,3,4.080465,0.00292997,0.1773,4.080465
AB 12,AB 10,6,4.012787,0.00576274,0.3717,4.012787
AB 13,AB 13,4,3.957846,0.00378923,0.2574,3.957846
AB 87,AB 29,15,3.938737,0.01414099,0.9782,3.938737
AB 26,AB 76,3,3.934058,0.00282484,0.1963,3.934058
AB 24,AB 55,4,3.888305,0.00372265,0.2701,3.888305
AB 88,AB 87,3,3.886270,0.00279052,0.2029,3.886270
AB 24,AB 14,9,3.823765,0.00823693,0.6356,3.823765
AB 17,AB 45,3,3.800297,0.00272879,0.2153,3.800297
AB 46,AB 49,14,3.763065,0.01260960,1.0312,3.763065
AB 29,AB 77,15,3.749260,0.01346072,1.1155,3.749260
AB 61,AB 87,5,3.730151,0.00446404,0.3768,3.730151
AB 10,AB 38,4,3.724806,0.00356611,0.3025,3.724806
AB 63,AB 61,4,3.717551,0.00355917,0.3041,3.717551
AB 69,AB 02,4,3.694218,0.00353683,0.3090,3.694218
AB 57,AB 12,5,3.647391,0.00436500,0.3990,3.647391
