n,gram,count,probability,type
1,𐝫,1388,0.12597568,transliteration
1,𐄁,503,0.04565257,transliteration
1,KU,285,0.02586676,transliteration
1,*301,272,0.02468688,transliteration
1,KA,265,0.02405155,transliteration
1,1,264,0.02396079,transliteration
1,SI,222,0.02014885,transliteration
1,A,179,0.01624614,transliteration
1,I,176,0.01597386,transliteration
1,RO,168,0.01524778,transliteration
1,JA,156,0.01415865,transliteration
1,TA,150,0.01361409,transliteration
1,?,149,0.01352333,transliteration
1,TE,148,0.01343256,transliteration
1,NA,145,0.01316028,transliteration
1,2,133,0.01207116,transliteration
1,SA,129,0.01170811,transliteration
1,DA,128,0.01161735,transliteration
1,𐄇,122,0.01107279,transliteration
1,NI,116,0.01052823,transliteration
1,KI,114,0.01034671,transliteration
1,RE,112,0.01016518,transliteration
1,RA,111,0.01007442,transliteration
1,MA,111,0.01007442,transliteration
1,TI,102,0.00925758,transliteration
1,¹⁄₂,102,0.00925758,transliteration
1,vase,101,0.00916682,transliteration
1,DI,92,0.00834997,transliteration
1,PA,89,0.00807769,transliteration
1,3,85,0.00771465,transliteration
1,𐄈,85,0.00771465,transliteration
1,RU,84,0.00762389,transliteration
1,MI,82,0.00744237,transliteration
1,𐄐,74,0.00671628,transliteration
1,5,71,0.00644400,transliteration
1,DU,70,0.00635324,transliteration
1,RI,69,0.00626248,transliteration
1,𐄉,66,0.00599020,transliteration
1,SE,64,0.00580868,transliteration
1,TU,63,0.00571792,transliteration
1,—,63,0.00571792,transliteration
1,U,62,0.00562716,transliteration
1,4,62,0.00562716,transliteration
1,10,62,0.00562716,transliteration
1,𐄋,61,0.00553639,transliteration
1,GRA,59,0.00535487,transliteration
1,VIN,56,0.00508259,transliteration
1,NU,52,0.00471955,transliteration
1,NE,52,0.00471955,transliteration
1,RA₂,51,0.00462879,transliteration
1,PI,51,0.00462879,transliteration
1,6,50,0.00453803,transliteration
1,SU,49,0.00444727,transliteration
1,CYP,49,0.00444727,transliteration
1,¹⁄₄,47,0.00426575,transliteration
1,ZE,47,0.00426575,transliteration
1,𐄊,46,0.00417499,transliteration
1,WA,46,0.00417499,transliteration
1,QE,40,0.00363042,transliteration
1,𐄌,39,0.00353966,transliteration
1,PA₃,38,0.00344890,transliteration
1,ZA,37,0.00335814,transliteration
1,ME,37,0.00335814,transliteration
1,20,36,0.00326738,transliteration
1,QA,36,0.00326738,transliteration
1,𐄑,34,0.00308586,transliteration
1,JU,34,0.00308586,transliteration
1,𐝆,33,0.00299510,transliteration
1,[?],33,0.00299510,transliteration
1,VIR+[?],32,0.00290434,transliteration
1,DE,32,0.00290434,transliteration
1,𐄍,31,0.00281358,transliteration
1,E,30,0.00272282,transliteration
1,ZU,28,0.00254130,transliteration
1,O,27,0.00245054,transliteration
1,≈,27,0.00245054,transliteration
1,7,27,0.00245054,transliteration
1,ta?,26,0.00235977,transliteration
1,OLIV,25,0.00226901,transliteration
1,*304,24,0.00217825,transliteration
1,𐄙,22,0.00199673,transliteration
1,8,22,0.00199673,transliteration
1,*118,22,0.00199673,transliteration
1,𐄒,21,0.00190597,transliteration
1,¹⁄₁₆,21,0.00190597,transliteration
1,¹⁄₆,21,0.00190597,transliteration
1,OLE,21,0.00190597,transliteration
1,CYP+D,21,0.00190597,transliteration
1,³⁄₄,20,0.00181521,transliteration
1,30,19,0.00172445,transliteration
1,pu,19,0.00172445,transliteration
1,*21F,19,0.00172445,transliteration
1,OLE+KI,19,0.00172445,transliteration
1,PU,19,0.00172445,transliteration
1,WI,18,0.00163369,transliteration
1,¹⁄₃,18,0.00163369,transliteration
1,ru,18,0.00163369,transliteration
1,𐘝,18,0.00163369,transliteration
1,GRA+PA,18,0.00163369,transliteration
1,*306,17,0.00154293,transliteration
1,TA₂,17,0.00154293,transliteration
1,ro,17,0.00154293,transliteration
1,OLE+MI,17,0.00154293,transliteration
1,a,17,0.00154293,transliteration
1,OLE+U,16,0.00145217,transliteration
1,jo,16,0.00145217,transliteration
1,*305,16,0.00145217,transliteration
1,𐘅,16,0.00145217,transliteration
1,12,16,0.00145217,transliteration
1,𐘤,16,0.00145217,transliteration
1,KE,15,0.00136141,transliteration
1,15,15,0.00136141,transliteration
1,*188,15,0.00136141,transliteration
1,𐄎,15,0.00136141,transliteration
1,𐘱,15,0.00136141,transliteration
1,40,15,0.00136141,transliteration
1,𐙂,15,0.00136141,transliteration
1,*164,15,0.00136141,transliteration
1,¹⁄₅,15,0.00136141,transliteration
1,𐘃,15,0.00136141,transliteration
1,*411,15,0.00136141,transliteration
1,ne,14,0.00127065,transliteration
1,𐄓,14,0.00127065,transliteration
1,JE,14,0.00127065,transliteration
1,𐙗,14,0.00127065,transliteration
1,𐙁,13,0.00117989,transliteration
1,PU₂,13,0.00117989,transliteration
1,𐘚,13,0.00117989,transliteration
1,CYP+E,13,0.00117989,transliteration
1,𐝉,13,0.00117989,transliteration
1,"?,pte?",13,0.00117989,transliteration
1,TO,13,0.00117989,transliteration
1,𐄕,12,0.00108913,transliteration
1,KO,12,0.00108913,transliteration
1,100,12,0.00108913,transliteration
1,MU,12,0.00108913,transliteration
1,𐘳,12,0.00108913,transliteration
1,𐝃,12,0.00108913,transliteration
1,*22F,12,0.00108913,transliteration
1,𐘙,11,0.00099837,transliteration
1,¹⁄₈,11,0.00099837,transliteration
1,𐄔,11,0.00099837,transliteration
1,OLE+DI,11,0.00099837,transliteration
1,𐘸,11,0.00099837,transliteration
1,*308,11,0.00099837,transliteration
1,pa,11,0.00099837,transliteration
1,𐘠,11,0.00099837,transliteration
1,HIDE+[?],11,0.00099837,transliteration
1,|,11,0.00099837,transliteration
1,na,10,0.00090761,transliteration
1,𐘭,10,0.00090761,transliteration
1,𐘁,10,0.00090761,transliteration
1,13,10,0.00090761,transliteration
1,𐝇,10,0.00090761,transliteration
1,*86,10,0.00090761,transliteration
1,VIR+KA,10,0.00090761,transliteration
1,VS,10,0.00090761,transliteration
1,*516,10,0.00090761,transliteration
1,𐘂,10,0.00090761,transliteration
1,te,10,0.00090761,transliteration
1,*301+*311,10,0.00090761,transliteration
1,𐘲,9,0.00081685,transliteration
1,di,9,0.00081685,transliteration
1,da,9,0.00081685,transliteration
1,𐘴,9,0.00081685,transliteration
1,𐘹,9,0.00081685,transliteration
1,𐘞,9,0.00081685,transliteration
1,𐝂,9,0.00081685,transliteration
1,],9,0.00081685,transliteration
1,𐘀,9,0.00081685,transliteration
1,*304+PA,9,0.00081685,transliteration
1,*47,9,0.00081685,transliteration
1,17,8,0.00072608,transliteration
1,𐘆,8,0.00072608,transliteration
1,𐘗,8,0.00072608,transliteration
1,*310,8,0.00072608,transliteration
1,AROM,8,0.00072608,transliteration
1,PO,8,0.00072608,transliteration
1,𐙉,8,0.00072608,transliteration
1,double,8,0.00072608,transliteration
1,mina,8,0.00072608,transliteration
1,𐄚,8,0.00072608,transliteration
1,𐘻,8,0.00072608,transliteration
1,*401+RU,8,0.00072608,transliteration
1,*86+*188,8,0.00072608,transliteration
1,𐄘,7,0.00063532,transliteration
1,du?,7,0.00063532,transliteration
1,*307,7,0.00063532,transliteration
1,𐝄,7,0.00063532,transliteration
1,16,7,0.00063532,transliteration
1,𐘘,7,0.00063532,transliteration
1,9,7,0.00063532,transliteration
1,50,7,0.00063532,transliteration
1,*21M,7,0.00063532,transliteration
1,𐘌,7,0.00063532,transliteration
1,𐝁,7,0.00063532,transliteration
1,𐙇,7,0.00063532,transliteration
1,*23M,7,0.00063532,transliteration
1,11,7,0.00063532,transliteration
1,AU,7,0.00063532,transliteration
1,GRA+KU,7,0.00063532,transliteration
1,60,7,0.00063532,transliteration
1,𐘾,7,0.00063532,transliteration
1,𐜋,6,0.00054456,transliteration
1,ju?,6,0.00054456,transliteration
1,"?,pa2?",6,0.00054456,transliteration
1,𐘬,6,0.00054456,transliteration
1,QA2+[?]+PU,6,0.00054456,transliteration
1,*34,6,0.00054456,transliteration
1,𐙍,6,0.00054456,transliteration
1,MI+JA+RU,6,0.00054456,transliteration
1,ka,6,0.00054456,transliteration
1,pi?,6,0.00054456,transliteration
1,OLE+TA,6,0.00054456,transliteration
1,18,6,0.00054456,transliteration
1,*904,6,0.00054456,transliteration
1,𐘇,6,0.00054456,transliteration
1,𐘽,5,0.00045380,transliteration
1,24,5,0.00045380,transliteration
1,³⁄₈,5,0.00045380,transliteration
1,14,5,0.00045380,transliteration
1,so,5,0.00045380,transliteration
1,𐘯,5,0.00045380,transliteration
1,𐜗,5,0.00045380,transliteration
1,𐙘,5,0.00045380,transliteration
1,OLE+NE,5,0.00045380,transliteration
1,𐘋,5,0.00045380,transliteration
1,mu,5,0.00045380,transliteration
1,𐝕,5,0.00045380,transliteration
1,𐘉,5,0.00045380,transliteration
1,*312,5,0.00045380,transliteration
1,𐘿,5,0.00045380,transliteration
1,ni,5,0.00045380,transliteration
1,*323,5,0.00045380,transliteration
1,CAP,5,0.00045380,transliteration
1,𐜓,5,0.00045380,transliteration
1,ja,5,0.00045380,transliteration
1,𐙋,5,0.00045380,transliteration
1,𐝀,5,0.00045380,transliteration
1,𐘡,5,0.00045380,transliteration
1,𐛭,5,0.00045380,transliteration
1,𐙚,5,0.00045380,transliteration
1,*314,5,0.00045380,transliteration
1,ligature,5,0.00045380,transliteration
1,*131C,5,0.00045380,transliteration
1,*409,5,0.00045380,transliteration
1,70,4,0.00036304,transliteration
1,𐘥,4,0.00036304,transliteration
1,??,4,0.00036304,transliteration
1,𐘣,4,0.00036304,transliteration
1,22,4,0.00036304,transliteration
1,31,4,0.00036304,transliteration
1,*325,4,0.00036304,transliteration
1,*322,4,0.00036304,transliteration
1,𐄗,4,0.00036304,transliteration
1,*560,4,0.00036304,transliteration
1,𐄜,4,0.00036304,transliteration
1,GRA+QE,4,0.00036304,transliteration
1,43,4,0.00036304,transliteration
1,OLE+RI,4,0.00036304,transliteration
1,21,4,0.00036304,transliteration
1,90,4,0.00036304,transliteration
1,𐝋,4,0.00036304,transliteration
1,𐄖,4,0.00036304,transliteration
1,𐘶,4,0.00036304,transliteration
1,SI+SE,4,0.00036304,transliteration
1,GRA+F,4,0.00036304,transliteration
1,𐝫𐝉,4,0.00036304,transliteration
1,*318,4,0.00036304,transliteration
1,*28B,4,0.00036304,transliteration
1,𐘍,4,0.00036304,transliteration
1,.3,4,0.00036304,transliteration
1,62,4,0.00036304,transliteration
1,*317,4,0.00036304,transliteration
1,33,4,0.00036304,transliteration
1,𐘈,4,0.00036304,transliteration
1,"?,de?",4,0.00036304,transliteration
1,𐝆𐝁,4,0.00036304,transliteration
1,𐘢,4,0.00036304,transliteration
1,zo?,4,0.00036304,transliteration
1,*408,4,0.00036304,transliteration
1,se,4,0.00036304,transliteration
1,*22M,4,0.00036304,transliteration
1,*309B,4,0.00036304,transliteration
1,*309,4,0.00036304,transliteration
1,*131B,4,0.00036304,transliteration
1,𐘰,3,0.00027228,transliteration
1,OLE+E,3,0.00027228,transliteration
1,"?,nwa?",3,0.00027228,transliteration
1,35,3,0.00027228,transliteration
1,19,3,0.00027228,transliteration
1,45,3,0.00027228,transliteration
1,𐝅,3,0.00027228,transliteration
1,QA2+[?]+RE+PU,3,0.00027228,transliteration
1,28,3,0.00027228,transliteration
1,𐙜,3,0.00027228,transliteration
1,𐙓,3,0.00027228,transliteration
1,𐄏,3,0.00027228,transliteration
1,𐝓,3,0.00027228,transliteration
1,*815,3,0.00027228,transliteration
1,ai?,3,0.00027228,transliteration
1,*326,3,0.00027228,transliteration
1,*307+*387,3,0.00027228,transliteration
1,𐙖,3,0.00027228,transliteration
1,41,3,0.00027228,transliteration
1,25,3,0.00027228,transliteration
1,*304+[,3,0.00027228,transliteration
1,GRA+K+L,3,0.00027228,transliteration
1,23,3,0.00027228,transliteration
1,wa,3,0.00027228,transliteration
1,ri,3,0.00027228,transliteration
1,*49,3,0.00027228,transliteration
1,e,3,0.00027228,transliteration
1,*333,3,0.00027228,transliteration
1,*321,3,0.00027228,transliteration
1,VIN+RA,3,0.00027228,transliteration
1,𐜙,3,0.00027228,transliteration
1,*401+[,3,0.00027228,transliteration
1,𐝍,3,0.00027228,transliteration
1,*805,3,0.00027228,transliteration
1,QI,3,0.00027228,transliteration
1,L,3,0.00027228,transliteration
1,HIDE+B,3,0.00027228,transliteration
1,120,3,0.00027228,transliteration
1,*316,3,0.00027228,transliteration
1,*328,3,0.00027228,transliteration
1,me,3,0.00027228,transliteration
1,𐙝,3,0.00027228,transliteration
1,105,2,0.00018152,transliteration
1,47,2,0.00018152,transliteration
1,*329,2,0.00018152,transliteration
1,*324,2,0.00018152,transliteration
1,do,2,0.00018152,transliteration
1,180,2,0.00018152,transliteration
1,130,2,0.00018152,transliteration
1,400,2,0.00018152,transliteration
1,*188+KU,2,0.00018152,transliteration
1,37,2,0.00018152,transliteration
1,𐜍,2,0.00018152,transliteration
1,𐘐,2,0.00018152,transliteration
1,𐘺,2,0.00018152,transliteration
1,𐛚,2,0.00018152,transliteration
1,𐚹,2,0.00018152,transliteration
1,ra?,2,0.00018152,transliteration
1,*406VAS+KE,2,0.00018152,transliteration
1,51,2,0.00018152,transliteration
1,42,2,0.00018152,transliteration
1,VIN+WA,2,0.00018152,transliteration
1,OLE+TU,2,0.00018152,transliteration
1,𐙯,2,0.00018152,transliteration
1,104,2,0.00018152,transliteration
1,QA2+[?]+RE,2,0.00018152,transliteration
1,MI+JA+KA,2,0.00018152,transliteration
1,200,2,0.00018152,transliteration
1,MI+JA+I,2,0.00018152,transliteration
1,64,2,0.00018152,transliteration
1,*331,2,0.00018152,transliteration
1,𐙙,2,0.00018152,transliteration
1,*370,2,0.00018152,transliteration
1,T (7/8?),2,0.00018152,transliteration
1,u,2,0.00018152,transliteration
1,𐙀,2,0.00018152,transliteration
1,"?,swi?",2,0.00018152,transliteration
1,𐙈,2,0.00018152,transliteration
1,GRA+B,2,0.00018152,transliteration
1,26,2,0.00018152,transliteration
1,110,2,0.00018152,transliteration
1,58,2,0.00018152,transliteration
1,𐜝,2,0.00018152,transliteration
1,weigh E,2,0.00018152,transliteration
1,*OLIV+TU,2,0.00018152,transliteration
1,𐄢,2,0.00018152,transliteration
1,123,2,0.00018152,transliteration
1,*327,2,0.00018152,transliteration
1,to,2,0.00018152,transliteration
1,𐘷,2,0.00018152,transliteration
1,13/20,2,0.00018152,transliteration
1,𐙆,2,0.00018152,transliteration
1,wi,2,0.00018152,transliteration
1,72,2,0.00018152,transliteration
1,za,2,0.00018152,transliteration
1,"?,je?",2,0.00018152,transliteration
1,𐘧,2,0.00018152,transliteration
1,*334,2,0.00018152,transliteration
1,𐛪,2,0.00018152,transliteration
1,𐝕𐝉𐝫,2,0.00018152,transliteration
1,VIR+*307,2,0.00018152,transliteration
1,𐜚,2,0.00018152,transliteration
1,*335,2,0.00018152,transliteration
1,𐝍𐝫,2,0.00018152,transliteration
1,*336,2,0.00018152,transliteration
1,ZO,2,0.00018152,transliteration
1,𐝉𐝫,2,0.00018152,transliteration
1,𐘦,2,0.00018152,transliteration
1,*352,2,0.00018152,transliteration
1,*316+KI,2,0.00018152,transliteration
1,DA+RO,2,0.00018152,transliteration
1,*82,2,0.00018152,transliteration
1,*417,2,0.00018152,transliteration
1,*337+*188,2,0.00018152,transliteration
1,MI+*301,2,0.00018152,transliteration
1,*338,2,0.00018152,transliteration
1,𐝊𐝫,2,0.00018152,transliteration
1,pu?,2,0.00018152,transliteration
1,VIN+TE,2,0.00018152,transliteration
1,GRA+E,2,0.00018152,transliteration
1,𐙒,2,0.00018152,transliteration
1,𐝈𐝈,2,0.00018152,transliteration
1,*339,2,0.00018152,transliteration
1,𐘔,2,0.00018152,transliteration
1,*171,2,0.00018152,transliteration
1,*309C,2,0.00018152,transliteration
1,OLE+QIf,2,0.00018152,transliteration
1,𐜌,2,0.00018152,transliteration
1,QI+SI,2,0.00018152,transliteration
1,ti,2,0.00018152,transliteration
1,𐘓,2,0.00018152,transliteration
1,32,2,0.00018152,transliteration
1,*418+L2,2,0.00018152,transliteration
1,197,1,0.00009076,transliteration
1,52,1,0.00009076,transliteration
1,109,1,0.00009076,transliteration
1,𐜊,1,0.00009076,transliteration
1,54,1,0.00009076,transliteration
1,OLE+A,1,0.00009076,transliteration
1,𐙛,1,0.00009076,transliteration
1,JA+RU,1,0.00009076,transliteration
1,𐛑,1,0.00009076,transliteration
1,𐙭,1,0.00009076,transliteration
1,66,1,0.00009076,transliteration
1,nu,1,0.00009076,transliteration
1,QA2+[?]+PU+RE,1,0.00009076,transliteration
1,56,1,0.00009076,transliteration
1,𐜉,1,0.00009076,transliteration
1,684,1,0.00009076,transliteration
1,GRA+L4+L4,1,0.00009076,transliteration
1,𐛹,1,0.00009076,transliteration
1,󽇫,1,0.00009076,transliteration
1,161,1,0.00009076,transliteration
1,𐜎,1,0.00009076,transliteration
1,GRA+L2,1,0.00009076,transliteration
1,230,1,0.00009076,transliteration
1,113,1,0.00009076,transliteration
1,SI+ME,1,0.00009076,transliteration
1,*539,1,0.00009076,transliteration
1,335,1,0.00009076,transliteration
1,*410,1,0.00009076,transliteration
1,*416,1,0.00009076,transliteration
1,𐚢,1,0.00009076,transliteration
1,300,1,0.00009076,transliteration
1,3000,1,0.00009076,transliteration
1,𐄤,1,0.00009076,transliteration
1,𐝆𐝇,1,0.00009076,transliteration
1,108,1,0.00009076,transliteration
1,53,1,0.00009076,transliteration
1,*401+*304,1,0.00009076,transliteration
1,𐝉𐝋𐝫,1,0.00009076,transliteration
1,E+KA,1,0.00009076,transliteration
1,𐝃𐝉,1,0.00009076,transliteration
1,E+[,1,0.00009076,transliteration
