SECTION,CV_TYPE_FREQUENCIES
cv_type,count,fraction
?,1,0.000174
CCV,66,0.011512
CV,3112,0.542822
CVC,830,0.144776
CVCC,16,0.002791
V,379,0.066108
VV,2,0.000349
complex,459,0.080063
other:C,118,0.020583
other:CC,6,0.001047
other:CCC,79,0.013780
other:CCCC,431,0.075179
other:CCCCC,8,0.001395
other:CCCCV,1,0.000174
other:CCCVC,148,0.025815
other:VCV,26,0.004535
other:VCVC,27,0.004710
other:VVC,24,0.004186

SECTION,CV_BIGRAM_TRANSITIONS
from,to,count,probability
CCV,CCV,2,0.035088
CCV,CV,17,0.298246
CCV,CVC,2,0.035088
CCV,complex,5,0.087719
CCV,other:C,2,0.035088
CCV,other:CCCC,12,0.210526
CCV,other:CCCVC,1,0.017544
CCV,other:VCV,10,0.175439
CCV,other:VCVC,5,0.087719
CCV,other:VVC,1,0.017544
CV,?,1,0.000416
CV,CCV,25,0.010391
CV,CV,1448,0.601829
CV,CVC,372,0.154613
CV,CVCC,10,0.004156
CV,V,152,0.063175
CV,VV,2,0.000831
CV,complex,137,0.056941
CV,other:C,50,0.020781
CV,other:CC,3,0.001247
CV,other:CCC,31,0.012884
CV,other:CCCC,84,0.034913
CV,other:CCCCC,5,0.002078
CV,other:CCCCV,1,0.000416
CV,other:CCCVC,59,0.024522
CV,other:VCV,3,0.001247
CV,other:VCVC,10,0.004156
CV,other:VVC,13,0.005403
CVC,CCV,18,0.030981
CVC,CV,366,0.629948
CVC,CVC,60,0.103270
CVC,V,33,0.056799
CVC,complex,49,0.084337
CVC,other:C,8,0.013769
CVC,other:CCC,8,0.013769
CVC,other:CCCC,16,0.027539
CVC,other:CCCVC,16,0.027539
CVC,other:VCV,2,0.003442
CVC,other:VCVC,1,0.001721
CVC,other:VVC,4,0.006885
CVCC,CV,7,0.466667
CVCC,CVC,4,0.266667
CVCC,V,3,0.200000
CVCC,other:CCCVC,1,0.066667
V,CCV,1,0.002890
V,CV,208,0.601156
V,CVC,58,0.167630
V,CVCC,2,0.005780
V,V,18,0.052023
V,complex,18,0.052023
V,other:C,20,0.057803
V,other:CCC,2,0.005780
V,other:CCCC,5,0.014451
V,other:CCCVC,13,0.037572
V,other:VCVC,1,0.002890
VV,CV,1,0.500000
VV,complex,1,0.500000
complex,CCV,1,0.003817
complex,CV,149,0.568702
complex,CVC,36,0.137405
complex,V,23,0.087786
complex,complex,18,0.068702
complex,other:C,8,0.030534
complex,other:CC,1,0.003817
complex,other:CCC,3,0.011450
complex,other:CCCC,11,0.041985
complex,other:CCCVC,11,0.041985
complex,other:VCVC,1,0.003817
other:C,CCV,3,0.029412
other:C,CV,50,0.490196
other:C,CVC,16,0.156863
other:C,CVCC,1,0.009804
other:C,V,7,0.068627
other:C,complex,7,0.068627
other:C,other:C,3,0.029412
other:C,other:CCC,1,0.009804
other:C,other:CCCC,6,0.058824
other:C,other:CCCVC,7,0.068627
other:C,other:VCVC,1,0.009804
other:CC,CV,3,0.500000
other:CC,complex,2,0.333333
other:CC,other:CCC,1,0.166667
other:CCC,CCV,1,0.020408
other:CCC,CV,22,0.448980
other:CCC,CVC,3,0.061224
other:CCC,V,3,0.061224
other:CCC,complex,3,0.061224
other:CCC,other:CC,1,0.020408
other:CCC,other:CCC,6,0.122449
other:CCC,other:CCCC,5,0.102041
other:CCC,other:CCCCC,1,0.020408
other:CCC,other:CCCVC,3,0.061224
other:CCC,other:VCV,1,0.020408
other:CCCC,CCV,6,0.037736
other:CCCC,CV,72,0.452830
other:CCCC,CVC,16,0.100629
other:CCCC,V,10,0.062893
other:CCCC,complex,7,0.044025
other:CCCC,other:C,7,0.044025
other:CCCC,other:CCC,5,0.031447
other:CCCC,other:CCCC,13,0.081761
other:CCCC,other:CCCVC,15,0.094340
other:CCCC,other:VCV,1,0.006289
other:CCCC,other:VCVC,6,0.037736
other:CCCC,other:VVC,1,0.006289
other:CCCCC,CV,3,0.500000
other:CCCCC,complex,1,0.166667
other:CCCCC,other:CCC,1,0.166667
other:CCCCC,other:CCCVC,1,0.166667
other:CCCCV,CV,1,1.000000
other:CCCVC,CV,88,0.692913
other:CCCVC,CVC,14,0.110236
other:CCCVC,CVCC,1,0.007874
other:CCCVC,V,7,0.055118
other:CCCVC,complex,7,0.055118
other:CCCVC,other:C,5,0.039370
other:CCCVC,other:CCCC,2,0.015748
other:CCCVC,other:CCCVC,2,0.015748
other:CCCVC,other:VCV,1,0.007874
other:VCV,CV,7,0.368421
other:VCV,CVC,4,0.210526
other:VCV,V,2,0.105263
other:VCV,complex,1,0.052632
other:VCV,other:CCCC,3,0.157895
other:VCV,other:VCV,2,0.105263
other:VCVC,CCV,1,0.052632
other:VCVC,CV,6,0.315789
other:VCVC,V,4,0.210526
other:VCVC,complex,1,0.052632
other:VCVC,other:CCCC,6,0.315789
other:VCVC,other:VCVC,1,0.052632
other:VVC,CV,8,0.380952
other:VVC,CVC,5,0.238095
other:VVC,V,1,0.047619
other:VVC,complex,2,0.095238
other:VVC,other:C,2,0.095238
other:VVC,other:CCC,1,0.047619
other:VVC,other:CCCC,1,0.047619
other:VVC,other:CCCVC,1,0.047619

SECTION,SYLLABLE_PATTERNS
pattern,count
CV CV,1448
CV CV CV,763
CV CV CV CV,410
CV CVC,372
CVC CV,366
V CV,208
CV CVC CV,197
CV CV CVC,184
CVC CV CV,174
CV V,152
complex CV,149
CV complex,137
V CV CV,108
CV CV CVC CV,96
CV CVC CV CV,91
CVC CV CV CV,90
CV V CV,89
