sign,total_occurrences,initial_count,medial_count,final_count,initial_fraction,medial_fraction,final_fraction,positional_entropy,normalized_positional_entropy,relative_bin_entropy,relative_bin_entropy_normalized,bias
AB 01,139,22,108,13,0.158273,0.776978,0.093525,1.023507,0.645761,3.250702,0.978559,flexible
AB 02,187,94,62,123,0.502674,0.331551,0.657754,1.424400,0.898696,2.299225,0.692136,final
AB 03,103,10,84,9,0.097087,0.815534,0.087379,0.873847,0.551336,3.237900,0.974705,flexible
AB 04,156,40,90,56,0.256410,0.576923,0.358974,1.491853,0.941254,2.963790,0.892190,mixed
AB 05,17,2,14,1,0.117647,0.823529,0.058824,0.834347,0.526414,2.895424,0.871609,flexible
AB 06,158,7,138,14,0.044304,0.873418,0.088608,0.679559,0.428754,3.286669,0.989386,flexible
AB 07,109,9,89,11,0.082569,0.816514,0.100917,0.869805,0.548786,3.231005,0.972629,flexible
AB 08,202,91,101,17,0.450495,0.500000,0.084158,1.318766,0.832048,2.761481,0.831289,mixed
AB 09,67,4,49,16,0.059701,0.731343,0.238806,1.066259,0.672735,3.123957,0.940405,mixed
AB 10,68,11,53,4,0.161765,0.779412,0.058824,0.945793,0.596729,3.145724,0.946957,mixed
AB 102,6,2,4,1,0.333333,0.666667,0.166667,1.349123,0.851202,1.918296,0.577465,mixed
AB 103,1,1,0,0,1.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,initial
AB 104,4,1,3,1,0.250000,0.750000,0.250000,1.311278,0.827324,1.500000,0.451545,flexible
AB 105,4,1,3,0,0.250000,0.750000,0.000000,0.811278,0.511860,2.000000,0.602060,mixed
AB 106,4,0,4,0,0.000000,1.000000,0.000000,-0.000000,-0.000000,1.500000,0.451545,flexible
AB 107,6,0,5,1,0.000000,0.833333,0.166667,0.650022,0.410118,2.584963,0.778151,mixed
AB 108,1,0,0,1,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,final
AB 109,4,0,3,1,0.000000,0.750000,0.250000,0.811278,0.511860,2.000000,0.602060,mixed
AB 11,8,2,6,0,0.250000,0.750000,0.000000,0.811278,0.511860,1.750000,0.526802,mixed
AB 110,4,3,1,3,0.750000,0.250000,0.750000,1.122556,0.708254,0.811278,0.244219,initial
AB 111,5,1,4,1,0.200000,0.800000,0.200000,1.186314,0.748481,1.921928,0.578558,flexible
AB 112,3,0,3,0,0.000000,1.000000,0.000000,-0.000000,-0.000000,0.918296,0.276435,flexible
AB 113,5,0,4,1,0.000000,0.800000,0.200000,0.721928,0.455486,1.921928,0.578558,mixed
AB 114,3,1,2,0,0.333333,0.666667,0.000000,0.918296,0.579380,1.584963,0.477121,mixed
AB 115,3,1,2,0,0.333333,0.666667,0.000000,0.918296,0.579380,1.584963,0.477121,mixed
AB 116,3,2,0,2,0.666667,0.000000,0.666667,0.779950,0.492094,1.584963,0.477121,initial
AB 117,2,0,1,1,0.000000,0.500000,0.500000,1.000000,0.630930,1.000000,0.301030,mixed
AB 119,2,0,1,1,0.000000,0.500000,0.500000,1.000000,0.630930,1.000000,0.301030,mixed
AB 12,43,3,34,6,0.069767,0.790698,0.139535,0.932348,0.588246,3.026793,0.911156,flexible
AB 120,1,0,0,1,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,final
AB 121,3,3,0,0,1.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,initial
AB 122,2,0,2,0,0.000000,1.000000,0.000000,-0.000000,-0.000000,1.000000,0.301030,flexible
AB 123,2,1,0,2,0.500000,0.000000,1.000000,0.500000,0.315465,1.000000,0.301030,final
AB 124,2,0,1,1,0.000000,0.500000,0.500000,1.000000,0.630930,1.000000,0.301030,mixed
AB 126,2,2,0,2,1.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,initial
AB 127,2,0,1,1,0.000000,0.500000,0.500000,1.000000,0.630930,1.000000,0.301030,mixed
AB 13,45,8,33,4,0.177778,0.733333,0.088889,1.081520,0.682363,3.079379,0.926985,flexible
AB 130,1,0,1,0,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,flexible
AB 131,1,0,1,0,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,flexible
