section,key,value
META,database,/home/eduardoneville/projects/labrys/data/database/lineara_full.db
META,min_occurrences,5
CORPUS,signs_with_profiles,93
CORPUS,total_sign_occurrences_analysed,6632
CLUSTER,cluster_0,"{""label"": ""medial-biased"", ""size"": 28, ""initial"": 0.0764, ""medial"": 0.8481, ""final"": 0.0756}"
CLUSTER,cluster_1,"{""label"": ""mixed"", ""size"": 17, ""initial"": 0.2445, ""medial"": 0.5099, ""final"": 0.2456}"
CLUSTER,cluster_2,"{""label"": ""medial-biased"", ""size"": 33, ""initial"": 0.1424, ""medial"": 0.7039, ""final"": 0.1537}"
CLUSTER,cluster_3,"{""label"": ""flexible"", ""size"": 15, ""initial"": 0.4005, ""medial"": 0.1506, ""final"": 0.4489}"
BOUNDARY,prefix_candidates,1
BOUNDARY,suffix_candidates,2
TOP_PREFIX,AB 80,init_bias=0.5000
TOP_SUFFIX,AB 82,final_bias=0.5625
TOP_SUFFIX,AB 60,final_bias=0.5054
ANOMALOUS_AB,AB 16,"{""trans"": ""qa"", ""class"": ""CV"", ""kl_div"": 1.3532, ""final_frac"": 0.4, ""init_frac"": 0.6, ""flags"": ""initial-biased; prefix-like CV sign""}"
ANOMALOUS_AB,AB 60,"{""trans"": ""ra"", ""class"": ""CV"", ""kl_div"": 1.3274, ""final_frac"": 0.5054, ""init_frac"": 0.4946, ""flags"": ""final-biased; ANOMALOUS: CV sign in final position; prefix-like CV sign""}"
ANOMALOUS_AB,AB 80,"{""trans"": ""ma"", ""class"": ""CV"", ""kl_div"": 1.0841, ""final_frac"": 0.4643, ""init_frac"": 0.5, ""flags"": ""ANOMALOUS: CV sign in final position; prefix-like CV sign""}"
ANOMALOUS_AB,AB 22,"{""trans"": ""pi"", ""class"": ""CV"", ""kl_div"": 0.9322, ""final_frac"": 0.6667, ""init_frac"": 0.2222, ""flags"": ""final-biased; ANOMALOUS: CV sign in final position""}"
ANOMALOUS_AB,AB 02,"{""trans"": ""ro"", ""class"": ""CV"", ""kl_div"": 0.4426, ""final_frac"": 0.4409, ""init_frac"": 0.3369, ""flags"": ""ANOMALOUS: CV sign in final position""}"
ANOMALOUS_AB,AB 53,"{""trans"": ""ri"", ""class"": ""CV"", ""kl_div"": 0.4216, ""final_frac"": 0.4091, ""init_frac"": 0.3636, ""flags"": ""ANOMALOUS: CV sign in final position""}"
PHONETIC_CLASS,CV,"{""count"": 35, ""mean_initial"": 0.2013, ""mean_medial"": 0.6014, ""mean_final"": 0.1972}"
PHONETIC_CLASS,V,"{""count"": 4, ""mean_initial"": 0.2207, ""mean_medial"": 0.6752, ""mean_final"": 0.1041}"
