rank,bennett_id,transliteration,phonetic_class,total_occurrences,initial_fraction,medial_fraction,final_fraction,positional_entropy,class_mean_initial,class_mean_medial,class_mean_final,kl_divergence,euclidean_deviation,flags
1,AB 21,mi,CV,5,0.6,0.0,0.4,0.970951,0.171877,0.657383,0.17074,1.57343,0.817314,initial-biased; prefix-like CV sign
2,AB 22,pi,CV,6,0.333333,0.166667,0.5,1.459148,0.171877,0.657383,0.17074,0.763632,0.612603,ANOMALOUS: CV sign in final position
3,AB 02,ro,CV,279,0.34767,0.204301,0.448029,1.516991,0.171877,0.657383,0.17074,0.632455,0.559531,ANOMALOUS: CV sign in final position
4,AB 77,ka,CV,437,0.402746,0.201373,0.395881,1.52325,0.171877,0.657383,0.17074,0.631363,0.558511,prefix-like CV sign
5,AB 81,ku,CV,461,0.362256,0.281996,0.355748,1.576118,0.171877,0.657383,0.17074,0.422078,0.459769,
6,AB 53,ri,CV,77,0.038961,0.922078,0.038961,0.472737,0.171877,0.657383,0.17074,0.283637,0.324185,
7,AB 11,si,CV,8,0.25,0.75,0.0,0.811278,0.171877,0.657383,0.17074,0.277754,0.209364,
8,AB 31,sa,CV,139,0.079137,0.877698,0.043165,0.650499,0.171877,0.657383,0.17074,0.191807,0.270951,
9,AB 06,na,CV,159,0.044025,0.861635,0.09434,0.7048,0.171877,0.657383,0.17074,0.169083,0.252789,
10,AB 04,te,CV,187,0.224599,0.459893,0.315508,1.52437,0.171877,0.657383,0.17074,0.129145,0.250479,
11,AB 10,u,V,68,0.176471,0.764706,0.058824,0.978016,0.268026,0.572157,0.159817,0.128801,0.235917,
12,AB 17,za,CV,40,0.05,0.825,0.125,0.820062,0.171877,0.657383,0.17074,0.125017,0.21223,
13,AB 05,to,CV,17,0.117647,0.823529,0.058824,0.834347,0.171877,0.657383,0.17074,0.112944,0.207535,
14,AB 26,ru,CV,95,0.084211,0.831579,0.084211,0.822501,0.171877,0.657383,0.17074,0.109454,0.213347,
15,AB 38,e,V,32,0.1875,0.5,0.3125,1.477217,0.268026,0.572157,0.159817,0.10843,0.187092,
16,AB 08,a,V,209,0.435407,0.478469,0.086124,1.335811,0.268026,0.572157,0.159817,0.104525,0.205486,
17,AB 80,ma,CV,121,0.099174,0.818182,0.082645,0.864771,0.171877,0.657383,0.17074,0.093097,0.197238,
18,AB 09,se,CV,69,0.057971,0.710145,0.231884,1.077788,0.171877,0.657383,0.17074,0.0906,0.139632,
19,AB 13,me,CV,43,0.069767,0.790698,0.139535,0.932348,0.171877,0.657383,0.17074,0.079257,0.170801,
20,AB 07,di,CV,109,0.100917,0.788991,0.110092,0.954129,0.171877,0.657383,0.17074,0.060498,0.161351,
21,AB 03,pa,CV,103,0.106796,0.786408,0.106796,0.961886,0.171877,0.657383,0.17074,0.057708,0.158025,
22,AB 60,ra,CV,117,0.094017,0.777778,0.128205,0.982618,0.171877,0.657383,0.17074,0.053884,0.149554,
23,AB 55,nu,CV,61,0.131148,0.770492,0.098361,1.003271,0.171877,0.657383,0.17074,0.047045,0.140326,
24,AB 69,tu,CV,74,0.108108,0.77027,0.121622,1.006696,0.171877,0.657383,0.17074,0.044272,0.138646,
25,AB 30,ni,CV,146,0.150685,0.589041,0.260274,1.366622,0.171877,0.657383,0.17074,0.036417,0.114613,
26,AB 01,da,CV,143,0.160839,0.741259,0.097902,1.072428,0.171877,0.657383,0.17074,0.034461,0.111635,
27,AB 24,ne,CV,59,0.101695,0.745763,0.152542,1.064777,0.171877,0.657383,0.17074,0.033918,0.114314,
28,AB 67,ki,CV,132,0.143939,0.75,0.106061,1.057122,0.171877,0.657383,0.17074,0.032927,0.116369,
29,AB 40,wi,CV,24,0.125,0.75,0.125,1.061278,0.171877,0.657383,0.17074,0.028952,0.113435,
30,AB 27,re,CV,126,0.103175,0.730159,0.166667,1.1002,0.171877,0.657383,0.17074,0.02883,0.100165,
31,AB 16,qa,CV,46,0.173913,0.717391,0.108696,1.130635,0.171877,0.657383,0.17074,0.022549,0.08634,
32,AB 54,wa,CV,52,0.230769,0.615385,0.153846,1.334679,0.171877,0.657383,0.17074,0.016356,0.07428,
33,AB 23,mu,CV,16,0.1875,0.6875,0.125,1.19946,0.171877,0.657383,0.17074,0.01173,0.056949,
34,AB 29,pu,CV,15,0.2,0.666667,0.133333,1.241946,0.171877,0.657383,0.17074,0.009644,0.047711,
35,AB 78,qe,CV,47,0.212766,0.617021,0.170213,1.33968,0.171877,0.657383,0.17074,0.008345,0.057456,
36,AB 28,i,V,220,0.272727,0.545455,0.181818,1.435371,0.268026,0.572157,0.159817,0.003063,0.034917,
37,AB 57,ja,CV,173,0.179191,0.66474,0.156069,1.25432,0.171877,0.657383,0.17074,0.001217,0.017967,
