bennett_id,cluster_id,cluster_label,initial_fraction,medial_fraction,final_fraction,distance_to_centroid
AB 01,2,medial-biased,0.153846,0.755245,0.090909,0.081892
AB 02,3,flexible,0.336918,0.222222,0.44086,0.096124
AB 03,0,medial-biased,0.097087,0.815534,0.087379,0.040324
AB 04,1,mixed,0.215054,0.483871,0.301075,0.068007
AB 05,0,medial-biased,0.117647,0.823529,0.058824,0.050844
AB 06,0,medial-biased,0.044025,0.867925,0.08805,0.039966
AB 07,0,medial-biased,0.082569,0.816514,0.100917,0.040936
AB 08,1,mixed,0.435407,0.483254,0.08134,0.253254
AB 09,2,medial-biased,0.057971,0.710145,0.231884,0.115279
AB 10,0,medial-biased,0.161765,0.779412,0.058824,0.11083
AB 102,1,mixed,0.285714,0.571429,0.142857,0.126626
AB 104,1,mixed,0.2,0.6,0.2,0.110315
AB 107,0,medial-biased,0.0,0.833333,0.166667,0.119788
AB 11,2,medial-biased,0.25,0.75,0.0,0.193164
AB 110,3,flexible,0.428571,0.142857,0.428571,0.035488
AB 111,2,medial-biased,0.166667,0.666667,0.166667,0.046286
AB 113,0,medial-biased,0.0,0.8,0.2,0.153707
AB 12,0,medial-biased,0.069767,0.790698,0.139535,0.08617
AB 13,2,medial-biased,0.177778,0.733333,0.088889,0.079454
AB 14,0,medial-biased,0.05,0.825,0.125,0.060587
AB 16,3,flexible,0.6,0.0,0.4,0.254679
AB 17,2,medial-biased,0.272727,0.636364,0.090909,0.159617
AB 18,2,medial-biased,0.111111,0.666667,0.222222,0.084059
AB 19,3,flexible,0.333333,0.166667,0.5,0.085937
AB 20,1,mixed,0.294118,0.411765,0.294118,0.120231
AB 21f,2,medial-biased,0.2,0.733333,0.066667,0.108402
AB 22,3,flexible,0.222222,0.111111,0.666667,0.284216
AB 22f,2,medial-biased,0.103448,0.758621,0.137931,0.069007
AB 23,0,medial-biased,0.074468,0.851064,0.074468,0.00373
AB 24,2,medial-biased,0.103175,0.753968,0.142857,0.064537
AB 26,1,mixed,0.269406,0.552511,0.178082,0.083608
AB 27,0,medial-biased,0.2,0.8,0.0,0.152651
AB 28,2,medial-biased,0.2,0.666667,0.133333,0.071514
AB 29,2,medial-biased,0.118056,0.638889,0.243056,0.113179
AB 30,0,medial-biased,0.064748,0.892086,0.043165,0.055893
AB 31,0,medial-biased,0.125,0.875,0.0,0.093813
AB 32,0,medial-biased,0.098214,0.785714,0.116071,0.077483
AB 33,1,mixed,0.16129,0.548387,0.290323,0.101992
AB 34,0,medial-biased,0.084746,0.79661,0.118644,0.067617
AB 35,2,medial-biased,0.125,0.75,0.125,0.057021
AB 36,3,flexible,0.363363,0.312312,0.324324,0.207479
AB 37,2,medial-biased,0.125,0.75,0.125,0.057021
AB 38,2,medial-biased,0.085714,0.771429,0.142857,0.088849
AB 39,3,flexible,0.294118,0.294118,0.411765,0.182476
AB 40,2,medial-biased,0.222222,0.666667,0.111111,0.097798
