gorila_id,inscription_id,num_signs,strategy,num_boundaries,confidence,has_ground_truth,details
ANZb1,1656,1,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
ANZb1,1656,1,boundary_entropy,0,1.0000,False,"threshold=1.0000, median=1.0000"
ANZb1,1656,1,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ANZb1,1656,1,ground_truth,0,0.0000,False,0 divider(s)
ANZb1,1656,1,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ANZb1,1656,1,viterbi_hmm,0,1.0000,False,too short
APZa1,1658,7,bigram_transition,1,1.0000,True,"threshold=0.012821, p25"
APZa1,1658,7,boundary_entropy,5,1.0000,True,"threshold=1.0000, median=1.0000"
APZa1,1658,7,consensus,1,1.0000,True,"4 strategies, 1 accepted"
APZa1,1658,7,ground_truth,1,1.0000,True,1 divider(s)
APZa1,1658,7,positional_profile,1,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
APZa1,1658,7,viterbi_hmm,1,1.0000,True,"within_pairs=2768, cross_pairs=382"
APZa2,1659,35,bigram_transition,6,1.0000,True,"threshold=0.012821, p25"
APZa2,1659,35,boundary_entropy,28,1.0000,True,"threshold=1.0000, median=1.0000"
APZa2,1659,35,consensus,5,1.0000,True,"4 strategies, 5 accepted"
APZa2,1659,35,ground_truth,5,1.0000,True,5 divider(s)
APZa2,1659,35,positional_profile,5,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
APZa2,1659,35,viterbi_hmm,5,1.0000,True,"within_pairs=2768, cross_pairs=382"
APZa<3>,1657,3,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
APZa<3>,1657,3,boundary_entropy,2,1.0000,False,"threshold=1.0000, median=1.0000"
APZa<3>,1657,3,consensus,0,0.0000,False,"4 strategies, 0 accepted"
APZa<3>,1657,3,ground_truth,0,0.0000,False,0 divider(s)
APZa<3>,1657,3,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
APZa<3>,1657,3,viterbi_hmm,0,1.0000,False,"within_pairs=2768, cross_pairs=382"
ARGZg1,1662,4,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
ARGZg1,1662,4,boundary_entropy,3,1.0000,False,"threshold=1.0000, median=1.0000"
ARGZg1,1662,4,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ARGZg1,1662,4,ground_truth,0,0.0000,False,0 divider(s)
ARGZg1,1662,4,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARGZg1,1662,4,viterbi_hmm,3,1.0000,False,"within_pairs=2768, cross_pairs=382"
ARKH1a,1663,34,bigram_transition,4,1.0000,True,"threshold=0.012821, p25"
ARKH1a,1663,34,boundary_entropy,29,1.0000,True,"threshold=1.0000, median=1.0000"
ARKH1a,1663,34,consensus,2,1.0000,True,"4 strategies, 2 accepted"
ARKH1a,1663,34,ground_truth,2,1.0000,True,2 divider(s)
ARKH1a,1663,34,positional_profile,2,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARKH1a,1663,34,viterbi_hmm,2,1.0000,True,"within_pairs=2768, cross_pairs=382"
ARKH1b,1664,15,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
ARKH1b,1664,15,boundary_entropy,11,1.0000,False,"threshold=1.0000, median=1.0000"
ARKH1b,1664,15,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ARKH1b,1664,15,ground_truth,0,0.0000,False,0 divider(s)
ARKH1b,1664,15,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARKH1b,1664,15,viterbi_hmm,7,1.0000,False,"within_pairs=2768, cross_pairs=382"
ARKH2,1665,30,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
ARKH2,1665,30,boundary_entropy,19,1.0000,False,"threshold=1.0000, median=1.0000"
ARKH2,1665,30,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ARKH2,1665,30,ground_truth,0,0.0000,False,0 divider(s)
ARKH2,1665,30,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARKH2,1665,30,viterbi_hmm,15,1.0000,False,"within_pairs=2768, cross_pairs=382"
ARKH3a,1666,36,bigram_transition,1,1.0000,False,"threshold=0.012821, p25"
ARKH3a,1666,36,boundary_entropy,17,1.0000,False,"threshold=1.0000, median=1.0000"
ARKH3a,1666,36,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ARKH3a,1666,36,ground_truth,0,0.0000,False,0 divider(s)
ARKH3a,1666,36,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARKH3a,1666,36,viterbi_hmm,19,1.0000,False,"within_pairs=2768, cross_pairs=382"
ARKH3b,1667,23,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
ARKH3b,1667,23,boundary_entropy,10,1.0000,False,"threshold=1.0000, median=1.0000"
ARKH3b,1667,23,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ARKH3b,1667,23,ground_truth,0,0.0000,False,0 divider(s)
ARKH3b,1667,23,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARKH3b,1667,23,viterbi_hmm,16,1.0000,False,"within_pairs=2768, cross_pairs=382"
ARKH4a,1668,30,bigram_transition,3,1.0000,True,"threshold=0.012821, p25"
ARKH4a,1668,30,boundary_entropy,20,1.0000,True,"threshold=1.0000, median=1.0000"
ARKH4a,1668,30,consensus,3,1.0000,True,"4 strategies, 3 accepted"
ARKH4a,1668,30,ground_truth,3,1.0000,True,3 divider(s)
ARKH4a,1668,30,positional_profile,3,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARKH4a,1668,30,viterbi_hmm,6,1.0000,True,"within_pairs=2768, cross_pairs=382"
ARKH4b,1669,27,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
ARKH4b,1669,27,boundary_entropy,15,1.0000,False,"threshold=1.0000, median=1.0000"
ARKH4b,1669,27,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ARKH4b,1669,27,ground_truth,0,0.0000,False,0 divider(s)
ARKH4b,1669,27,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARKH4b,1669,27,viterbi_hmm,12,1.0000,False,"within_pairs=2768, cross_pairs=382"
ARKH5,1670,21,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
ARKH5,1670,21,boundary_entropy,10,1.0000,False,"threshold=1.0000, median=1.0000"
ARKH5,1670,21,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ARKH5,1670,21,ground_truth,0,0.0000,False,0 divider(s)
ARKH5,1670,21,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARKH5,1670,21,viterbi_hmm,10,1.0000,False,"within_pairs=2768, cross_pairs=382"
ARKH6,1671,11,bigram_transition,2,1.0000,True,"threshold=0.012821, p25"
ARKH6,1671,11,boundary_entropy,9,1.0000,True,"threshold=1.0000, median=1.0000"
ARKH6,1671,11,consensus,1,1.0000,True,"4 strategies, 1 accepted"
ARKH6,1671,11,ground_truth,1,1.0000,True,1 divider(s)
ARKH6,1671,11,positional_profile,1,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARKH6,1671,11,viterbi_hmm,1,1.0000,True,"within_pairs=2768, cross_pairs=382"
ARKH7,1672,5,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
ARKH7,1672,5,boundary_entropy,4,1.0000,False,"threshold=1.0000, median=1.0000"
ARKH7,1672,5,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ARKH7,1672,5,ground_truth,0,0.0000,False,0 divider(s)
ARKH7,1672,5,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARKH7,1672,5,viterbi_hmm,2,1.0000,False,"within_pairs=2768, cross_pairs=382"
ARKHZc8,1673,3,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
ARKHZc8,1673,3,boundary_entropy,2,1.0000,False,"threshold=1.0000, median=1.0000"
ARKHZc8,1673,3,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ARKHZc8,1673,3,ground_truth,0,0.0000,False,0 divider(s)
ARKHZc8,1673,3,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARKHZc8,1673,3,viterbi_hmm,2,1.0000,False,"within_pairs=2768, cross_pairs=382"
ARKHZf9,1674,11,bigram_transition,2,1.0000,True,"threshold=0.012821, p25"
ARKHZf9,1674,11,boundary_entropy,9,1.0000,True,"threshold=1.0000, median=1.0000"
ARKHZf9,1674,11,consensus,2,1.0000,True,"4 strategies, 2 accepted"
ARKHZf9,1674,11,ground_truth,2,1.0000,True,2 divider(s)
ARKHZf9,1674,11,positional_profile,2,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARKHZf9,1674,11,viterbi_hmm,3,1.0000,True,"within_pairs=2768, cross_pairs=382"
ARMZg1,1675,1,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
ARMZg1,1675,1,boundary_entropy,0,1.0000,False,"threshold=1.0000, median=1.0000"
ARMZg1,1675,1,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ARMZg1,1675,1,ground_truth,0,0.0000,False,0 divider(s)
ARMZg1,1675,1,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARMZg1,1675,1,viterbi_hmm,0,1.0000,False,too short
ARZf1,1660,4,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
ARZf1,1660,4,boundary_entropy,3,1.0000,False,"threshold=1.0000, median=1.0000"
ARZf1,1660,4,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ARZf1,1660,4,ground_truth,0,0.0000,False,0 divider(s)
ARZf1,1660,4,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARZf1,1660,4,viterbi_hmm,1,1.0000,False,"within_pairs=2768, cross_pairs=382"
ARZf2,1661,5,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
ARZf2,1661,5,boundary_entropy,4,1.0000,False,"threshold=1.0000, median=1.0000"
ARZf2,1661,5,consensus,0,0.0000,False,"4 strategies, 0 accepted"
ARZf2,1661,5,ground_truth,0,0.0000,False,0 divider(s)
ARZf2,1661,5,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARZf2,1661,5,viterbi_hmm,1,1.0000,False,"within_pairs=2768, cross_pairs=382"
CR(?)Zf1,1676,22,bigram_transition,5,1.0000,True,"threshold=0.012821, p25"
CR(?)Zf1,1676,22,boundary_entropy,17,1.0000,True,"threshold=1.0000, median=1.0000"
CR(?)Zf1,1676,22,consensus,4,1.0000,True,"4 strategies, 4 accepted"
CR(?)Zf1,1676,22,ground_truth,4,1.0000,True,4 divider(s)
CR(?)Zf1,1676,22,positional_profile,4,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
CR(?)Zf1,1676,22,viterbi_hmm,5,1.0000,True,"within_pairs=2768, cross_pairs=382"
CRZf5,1677,1,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
CRZf5,1677,1,boundary_entropy,0,1.0000,False,"threshold=1.0000, median=1.0000"
CRZf5,1677,1,consensus,0,0.0000,False,"4 strategies, 0 accepted"
CRZf5,1677,1,ground_truth,0,0.0000,False,0 divider(s)
CRZf5,1677,1,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
CRZf5,1677,1,viterbi_hmm,0,1.0000,False,too short
CRZg3,1678,6,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
CRZg3,1678,6,boundary_entropy,3,1.0000,False,"threshold=1.0000, median=1.0000"
CRZg3,1678,6,consensus,0,0.0000,False,"4 strategies, 0 accepted"
CRZg3,1678,6,ground_truth,0,0.0000,False,0 divider(s)
CRZg3,1678,6,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
CRZg3,1678,6,viterbi_hmm,4,1.0000,False,"within_pairs=2768, cross_pairs=382"
CRZg4,1679,6,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
CRZg4,1679,6,boundary_entropy,5,1.0000,False,"threshold=1.0000, median=1.0000"
CRZg4,1679,6,consensus,0,0.0000,False,"4 strategies, 0 accepted"
CRZg4,1679,6,ground_truth,0,0.0000,False,0 divider(s)
CRZg4,1679,6,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
CRZg4,1679,6,viterbi_hmm,3,1.0000,False,"within_pairs=2768, cross_pairs=382"
DRAZg1,1702,4,bigram_transition,1,1.0000,False,"threshold=0.012821, p25"
DRAZg1,1702,4,boundary_entropy,2,1.0000,False,"threshold=1.0000, median=1.0000"
DRAZg1,1702,4,consensus,0,0.0000,False,"4 strategies, 0 accepted"
DRAZg1,1702,4,ground_truth,0,0.0000,False,0 divider(s)
DRAZg1,1702,4,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
DRAZg1,1702,4,viterbi_hmm,1,1.0000,False,"within_pairs=2768, cross_pairs=382"
FOZc1,1680,3,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
FOZc1,1680,3,boundary_entropy,2,1.0000,False,"threshold=1.0000, median=1.0000"
FOZc1,1680,3,consensus,0,0.0000,False,"4 strategies, 0 accepted"
FOZc1,1680,3,ground_truth,0,0.0000,False,0 divider(s)
FOZc1,1680,3,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
FOZc1,1680,3,viterbi_hmm,2,1.0000,False,"within_pairs=2768, cross_pairs=382"
GO2r,1681,18,bigram_transition,2,1.0000,False,"threshold=0.012821, p25"
GO2r,1681,18,boundary_entropy,14,1.0000,False,"threshold=1.0000, median=1.0000"
GO2r,1681,18,consensus,1,0.7500,False,"4 strategies, 1 accepted"
GO2r,1681,18,ground_truth,0,0.0000,False,0 divider(s)
GO2r,1681,18,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
GO2r,1681,18,viterbi_hmm,11,1.0000,False,"within_pairs=2768, cross_pairs=382"
GO2v,1682,13,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
GO2v,1682,13,boundary_entropy,8,1.0000,False,"threshold=1.0000, median=1.0000"
