gorila_id,inscription_id,num_signs,num_words,segmented_text,ground_truth_boundaries,predicted_boundaries,confidence
ANZb1,1656,1,1,𐘃,[],[],0.0000
APZa1,1658,7,1,𐘱𐘳𐘚𐙕𐘉𐘱𐄁,[6],[6],1.0000
APZa2,1659,35,5,𐝫𐘅𐘤𐄁 | 𐘚𐘢𐘅𐙁𐝫𐄁 | 𐝫𐘚𐙂𐘰𐘅𐘹𐘅𐘃𐝫𐝫𐘢𐘻𐘅𐘃𐄁 | 𐘚𐘅𐘱𐘙𐘳𐝫𐄁 | 𐝫𐘌𐄁,"[3, 9, 24, 31, 34]","[3, 9, 24, 31, 34]",1.0000
APZa<3>,1657,3,1,𐝫𐘱𐝫,[],[],0.0000
ARGZg1,1662,4,1,𐘮≈𐙍𐘻,[],[],0.0000
ARKH1a,1663,34,3,𐝫𐘳𐘢𐄁 | 𐘌𐝫𐝫𐘸𐝫𐝫𐄁 | 𐘇𐘴𐝫𐝫𐝫𐘇𐘲𐘻𐙈𐝫𐝫𐘗𐄈𐝆𐘇𐘂𐝫𐝫𐘻𐘸𐘞𐘗𐝫,"[3, 10]","[3, 10]",1.0000
ARKH1b,1664,15,1,𐘇𐝫𐝫𐘱𐘙𐄉𐝫𐝫𐘰𐝫𐝫—𐝫𐘅𐄎,[],[],0.0000
ARKH2,1665,30,1,𐘤𐘀𐘃𐙂𐘴𐙎𐄋𐘇𐘤𐘀𐘄𐘚𐄐𐄈𐙀𐙕𐘈𐘦𐘐𐙈𐄌𐘇𐘲𐘫𐘮𐄊𐘘𐘻𐝫𐝫,[],[],0.0000
ARKH3a,1666,36,1,𐝫𐘾𐘗𐙉𐝫𐝫𐝂𐙋𐄉𐝂𐙎𐄈𐝫𐝫𐄈𐙩𐄈𐝫𐝫𐘸𐘯𐙉𐄐𐄉𐝫𐝫𐘃𐄈𐙩𐄈𐙢𐄈𐝫𐝫𐙂𐄉,[],[],0.0000
ARKH3b,1667,23,1,𐝫𐘱𐘢𐙉𐄌𐝫𐝫𐘢𐙦𐙉𐄇𐝫𐙖𐝫𐝫𐝫𐄈𐙖𐄊𐝫𐙍𐄇𐝫,[],[],0.0000
ARKH4a,1668,30,4,𐝫𐝫𐘝𐘳𐝫𐝫𐘳𐄁 | 𐘙𐄋𐘇𐝫𐄁 | 𐝫𐘶𐄊𐘦𐘲𐝫𐄁 | 𐝫𐘨𐘃𐄋𐘢𐘠𐘗𐘇𐝫𐝫,"[7, 12, 19]","[7, 12, 19]",1.0000
ARKH4b,1669,27,1,𐝫𐝫𐝫𐘙𐄐𐘉𐝫𐝫𐘦𐘻𐄐𐘚𐘨𐝫𐝫𐄏𐘇𐘸𐘁𐄉𐘍𐘤𐙀𐝫𐝫𐄉𐝫,[],[],0.0000
ARKH5,1670,21,1,𐘇𐘬𐘝𐘳𐘅𐄓𐄇𐝫𐝫𐄍𐘇𐘀𐘁𐙉𐄓𐝫𐙎𐄌𐘇𐝫𐝫,[],[],0.0000
ARKH6,1671,11,2,𐘀𐘅𐘹𐄁 | 𐙂𐝫𐝫𐘃𐘭𐝫𐝫,[3],[3],1.0000
ARKH7,1672,5,1,𐝫—𐙜𐝂𐝫,[],[],0.0000
ARKHZc8,1673,3,1,𐙚𐘳𐘧,[],[],0.0000
ARKHZf9,1674,11,2,𐘱𐘸𐘤𐘸𐘯𐄁 | 𐘻𐘀𐙁𐘽𐄁,"[5, 10]","[5, 10]",1.0000
