bennett_id,decision,value,confidence,corpus_freq,has_codepoint,status
AB 01,CONFIRM,da,73.5,139,True,VALID
AB 02,CONFIRM,ro,42.8,187,True,VALID
AB 03,CONFIRM,pa,74.5,103,True,VALID
AB 04,CONFIRM,te,57.6,156,True,VALID
AB 05,CONFIRM,to,65.5,17,True,VALID
AB 06,CONFIRM,na,65.6,158,True,VALID
AB 07,CONFIRM,di,69.2,109,True,VALID
AB 08,CONFIRM,a,65.1,202,True,VALID
AB 09,CONFIRM,se,68.3,67,True,VALID
AB 10,CONFIRM,u,67.3,68,True,VALID
AB 11,CONFIRM,si,73.7,8,True,VALID
AB 12,CONFIRM,so,65.3,0,False,VOID
AB 13,CONFIRM,me,57.5,43,True,VALID
AB 14,CONFIRM,do,61.9,0,False,VOID
AB 15,CONFIRM,mo,59.3,0,False,VOID
AB 16,UNCERTAIN,qa,48.1,45,True,UNCERTAIN
AB 17,CONFIRM,za,78.1,40,True,VALID
AB 18,CONFIRM,zo,61.6,0,False,VOID
AB 19,UNCERTAIN,?,0.0,0,False,UNCERTAIN-NO_CP
AB 20,UNCERTAIN,zo?,0.0,2,True,UNCERTAIN
AB 21,CONFIRM,mi,60.4,3,True,VALID
AB 21F,UNCERTAIN,?,0.0,0,False,UNCERTAIN-NO_CP
AB 22,CONFIRM,pi,54.7,5,True,VALID
AB 22F,CONFIRM,pa,57.0,0,False,VOID
AB 23,CONFIRM,mu,61.5,15,True,VALID
AB 24,CONFIRM,ne,71.3,58,True,VALID
AB 26,CONFIRM,ru,72.2,93,True,VALID
AB 27,CONFIRM,re,64.9,125,True,VALID
AB 28,CONFIRM,i,78.7,193,True,VALID
AB 29,CONFIRM,pu,63.2,14,True,VALID
AB 30,CONFIRM,ni,62.7,135,True,VALID
AB 31,CONFIRM,sa,75.3,139,True,VALID
AB 32,CONFIRM,i,67.0,0,False,VOID
AB 33,CONFIRM,pa,57.0,0,False,VOID
AB 34,CONFIRM,ti,55.0,8,True,VALID
AB 35,CONFIRM,ti,54.7,0,False,VOID
AB 36,CONFIRM,jo,59.0,0,False,VOID
AB 37,CONFIRM,?,0.0,111,True,VALID
AB 38,CONFIRM,e,73.5,31,True,VALID
AB 39,CONFIRM,?,41.0,58,True,VALID
AB 40,CONFIRM,wi,76.4,23,True,VALID
AB 41,UNCERTAIN,si,25.0,240,True,UNCERTAIN
AB 42,UNCERTAIN,?,0.0,0,False,UNCERTAIN-NO_CP
AB 43,CONFIRM,pa,57.0,0,False,VOID
AB 44,CONFIRM,ke,85.0,16,True,VALID
AB 45,CONFIRM,ri,45.0,35,True,VALID
AB 46,CONFIRM,?,33.5,16,True,VALID
AB 47,CONFIRM,nu,35.5,9,True,VALID
AB 48,CONFIRM,?,64.0,1,True,VALID
AB 49,CONFIRM,?,62.0,4,True,VALID
AB 50,CONFIRM,pu,71.0,24,True,VALID
AB 51,CONFIRM,du,53.0,79,True,VALID
AB 52,CONFIRM,?,62.0,0,False,VOID
AB 53,CONFIRM,ri,58.7,77,True,VALID
