n,chunk,n_inscriptions,inscriptions
2,AB 85 AB 46,13,IOZa2;IOZa3;IOZa4;IOZa7;IOZa8;KOZa1;PKZa11;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
2,AB 51 AB 26,12,IOZa2;IOZa3;IOZa6;IOZa7;KOZa1;PKZa11;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
2,AB 26 AB 85,12,IOZa2;IOZa3;IOZa6;IOZa7;KOZa1;PKZa11;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
5,AB 08 AB 51 AB 26 AB 85 AB 46,11,IOZa2;IOZa3;IOZa7;KOZa1;PKZa11;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
4,AB 08 AB 51 AB 26 AB 85,11,IOZa2;IOZa3;IOZa7;KOZa1;PKZa11;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
4,AB 51 AB 26 AB 85 AB 46,11,IOZa2;IOZa3;IOZa7;KOZa1;PKZa11;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
3,AB 08 AB 51 AB 26,11,IOZa2;IOZa3;IOZa7;KOZa1;PKZa11;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
3,AB 51 AB 26 AB 85,11,IOZa2;IOZa3;IOZa7;KOZa1;PKZa11;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
3,AB 26 AB 85 AB 46,11,IOZa2;IOZa3;IOZa7;KOZa1;PKZa11;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
3,AB 85 AB 46 AB 49,11,IOZa2;IOZa3;IOZa7;IOZa8;KOZa1;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
2,AB 08 AB 51,11,IOZa2;IOZa3;IOZa7;KOZa1;PKZa11;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
2,AB 46 AB 49,11,IOZa2;IOZa3;IOZa7;IOZa8;KOZa1;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
6,AB 08 AB 51 AB 26 AB 85 AB 46 AB 49,10,IOZa2;IOZa3;IOZa7;KOZa1;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
5,AB 51 AB 26 AB 85 AB 46 AB 49,10,IOZa2;IOZa3;IOZa7;KOZa1;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
4,AB 26 AB 85 AB 46 AB 49,10,IOZa2;IOZa3;IOZa7;KOZa1;PKZa12;SYZa1;SYZa2;SYZa3;SYZa4;SYZa8
2,AB 30 AB 30,10,IOZa12;IOZa16;IOZa2;IOZa6;IOZa9;PKZa11;PKZa14;PKZa27;PKZa4;PRZa1
