bennett_id,conventional_value,refined_value,decision,confidence,resolved_by_bootstrapping
AB 12,so,so,CONFIRM,65.3,NO
AB 14,do,do,CONFIRM,61.9,YES
AB 15,mo,mo,CONFIRM,59.3,NO
AB 18,zo,zo,CONFIRM,61.6,NO
AB 19,?,?,UNCERTAIN,0.0,NO
AB 21F,?,?,UNCERTAIN,0.0,NO
AB 22F,?,pa,CONFIRM,57.0,NO
AB 32,?,i,CONFIRM,67.0,NO
AB 33,?,pa,CONFIRM,57.0,NO
AB 35,ti,ti,CONFIRM,54.7,NO
AB 36,jo,jo,CONFIRM,59.0,YES
AB 42,?,?,UNCERTAIN,0.0,NO
AB 43,?,pa,CONFIRM,57.0,NO
AB 52,?,?,CONFIRM,62.0,YES
AB 62,?,?,CONFIRM,39.0,YES
AB 63,?,ke,CONFIRM,55.0,NO
AB 64,?,?,CONFIRM,41.0,YES
AB 68,ro₂,ro,CONFIRM,41.0,YES
AB 71,?,ke,UNCERTAIN,25.0,NO
AB 88,?,lo,UNCERTAIN,25.0,NO
AB 89,?,mi,UNCERTAIN,25.0,NO
AB 90,?,lo,UNCERTAIN,25.0,NO
AB 91,?,lo,UNCERTAIN,25.0,NO
AB 92,?,?,CONFIRM,25.0,YES
AB 93,?,pi,UNCERTAIN,25.0,NO
AB 94,?,re,UNCERTAIN,25.0,NO
AB 95,?,te,UNCERTAIN,25.0,NO
AB 96,?,?,CONFIRM,25.0,YES
AB 97,?,o,UNCERTAIN,25.0,NO
AB 98,?,ke,UNCERTAIN,41.0,NO
AB 99,?,ma,UNCERTAIN,25.0,NO
AB 100,?,to,UNCERTAIN,25.0,NO
AB 101,?,?,UNCERTAIN,0.0,NO
AB 102,?,?,UNCERTAIN,0.0,NO
AB 103,?,?,UNCERTAIN,0.0,NO
AB 104,?,?,UNCERTAIN,0.0,NO
AB 105,?,?,UNCERTAIN,0.0,NO
AB 106,?,?,UNCERTAIN,0.0,NO
AB 107,?,?,UNCERTAIN,0.0,NO
AB 108,?,?,UNCERTAIN,0.0,NO
AB 109,?,?,UNCERTAIN,0.0,NO
AB 110,?,?,UNCERTAIN,0.0,NO
AB 111,?,?,UNCERTAIN,0.0,NO
AB 112,?,pa,CONFIRM,57.0,NO
AB 113,?,?,CONFIRM,0.0,YES
AB 114,?,?,UNCERTAIN,0.0,NO
AB 115,?,?,UNCERTAIN,0.0,NO
AB 116,?,?,UNCERTAIN,0.0,NO
AB 117,?,?,UNCERTAIN,0.0,NO
AB 118,?,?,UNCERTAIN,0.0,NO
AB 119,?,?,UNCERTAIN,0.0,NO
AB 120,?,?,UNCERTAIN,0.0,NO
AB 121,?,?,UNCERTAIN,0.0,NO
AB 122,?,?,UNCERTAIN,0.0,NO
AB 123,?,?,UNCERTAIN,0.0,NO
AB 124,?,?,UNCERTAIN,0.0,NO
AB 125,?,?,UNCERTAIN,0.0,NO
AB 126,?,?,UNCERTAIN,0.0,NO
AB 127,?,?,UNCERTAIN,0.0,NO
AB 128,?,?,UNCERTAIN,0.0,NO
AB 129,?,?,UNCERTAIN,0.0,NO
AB 130,?,?,UNCERTAIN,0.0,NO
AB 131,?,?,UNCERTAIN,0.0,NO
AB 132,?,?,UNCERTAIN,0.0,NO
AB 133,?,?,UNCERTAIN,0.0,NO
AB 134,?,?,UNCERTAIN,0.0,NO
AB 135,?,?,UNCERTAIN,0.0,NO
AB 136,?,?,UNCERTAIN,0.0,NO
AB 137,?,?,UNCERTAIN,0.0,NO
