bennett_id,decision,value,confidence,note
AB 32,CONFIRM,i,67.0,HIGH-CONF phantom
AB 12,CONFIRM,so,65.3,HIGH-CONF phantom
AB 52,CONFIRM,?,62.0,HIGH-CONF phantom
AB 14,CONFIRM,do,61.9,HIGH-CONF phantom
AB 18,CONFIRM,zo,61.6,HIGH-CONF phantom
AB 15,CONFIRM,mo,59.3,HIGH-CONF phantom
AB 36,CONFIRM,jo,59.0,HIGH-CONF phantom
AB 22F,CONFIRM,pa,57.0,HIGH-CONF phantom
AB 33,CONFIRM,pa,57.0,HIGH-CONF phantom
AB 43,CONFIRM,pa,57.0,HIGH-CONF phantom
AB 112,CONFIRM,pa,57.0,HIGH-CONF phantom
AB 63,CONFIRM,ke,55.0,HIGH-CONF phantom
AB 35,CONFIRM,ti,54.7,HIGH-CONF phantom
AB 64,CONFIRM,?,41.0,
AB 68,CONFIRM,ro,41.0,
AB 98,UNCERTAIN,ke,41.0,
AB 62,CONFIRM,?,39.0,
AB 71,UNCERTAIN,ke,25.0,
AB 88,UNCERTAIN,lo,25.0,
AB 89,UNCERTAIN,mi,25.0,
AB 90,UNCERTAIN,lo,25.0,
AB 91,UNCERTAIN,lo,25.0,
AB 92,CONFIRM,?,25.0,
AB 93,UNCERTAIN,pi,25.0,
AB 94,UNCERTAIN,re,25.0,
AB 95,UNCERTAIN,te,25.0,
AB 96,CONFIRM,?,25.0,
AB 97,UNCERTAIN,o,25.0,
AB 99,UNCERTAIN,ma,25.0,
AB 100,UNCERTAIN,to,25.0,
AB 19,UNCERTAIN,?,0.0,
AB 21F,UNCERTAIN,?,0.0,
AB 42,UNCERTAIN,?,0.0,
AB 101,UNCERTAIN,?,0.0,
AB 102,UNCERTAIN,?,0.0,
AB 103,UNCERTAIN,?,0.0,
AB 104,UNCERTAIN,?,0.0,
AB 105,UNCERTAIN,?,0.0,
AB 106,UNCERTAIN,?,0.0,
AB 107,UNCERTAIN,?,0.0,
AB 108,UNCERTAIN,?,0.0,
AB 109,UNCERTAIN,?,0.0,
AB 110,UNCERTAIN,?,0.0,
AB 111,UNCERTAIN,?,0.0,
AB 113,CONFIRM,?,0.0,
AB 114,UNCERTAIN,?,0.0,
AB 115,UNCERTAIN,?,0.0,
AB 116,UNCERTAIN,?,0.0,
AB 117,UNCERTAIN,?,0.0,
AB 118,UNCERTAIN,?,0.0,
AB 119,UNCERTAIN,?,0.0,
AB 120,UNCERTAIN,?,0.0,
AB 121,UNCERTAIN,?,0.0,
AB 122,UNCERTAIN,?,0.0,
AB 123,UNCERTAIN,?,0.0,
AB 124,UNCERTAIN,?,0.0,
AB 125,UNCERTAIN,?,0.0,
AB 126,UNCERTAIN,?,0.0,
AB 127,UNCERTAIN,?,0.0,
AB 128,UNCERTAIN,?,0.0,
AB 129,UNCERTAIN,?,0.0,
AB 130,UNCERTAIN,?,0.0,
AB 131,UNCERTAIN,?,0.0,
AB 132,UNCERTAIN,?,0.0,
AB 133,UNCERTAIN,?,0.0,
AB 134,UNCERTAIN,?,0.0,
AB 135,UNCERTAIN,?,0.0,
AB 136,UNCERTAIN,?,0.0,
AB 137,UNCERTAIN,?,0.0,
