bennett_id,top_candidate,agreement,num_candidates,candidates_considered
AB 100,pu,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 101,ji,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 102,ru,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 103,ji,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 104,ru,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 105,ni,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 106,e,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 107,la,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 108,pu,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 109,u,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 110,nu,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 111,tu,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 113,qa,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 114,da,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 115,u,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 116,pi,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 117,zu,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 118,li,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 119,je,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 120,ti,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 121,ra,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 122,le,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 123,ta,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 124,nu,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 125,a,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 126,ku,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 127,mi,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 128,sa,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 129,we,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 130,ka,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 131,ne,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 132,ru,0.20,70,"['a', 'da', 'de', 'di', 'do']"
AB 133,re,0.10,70,"['a', 'da', 'de', 'di', 'do']"
AB 134,po,0.10,70,"['a', 'da', 'de', 'di', 'do']"
