GORILA_ID,Findspot_Site,Findspot_Location,Material,Object_Type,Date,Num_Signs,Text_Type,Current_Location,Catalog_Number,Publication_Ref,Digital_Image_Available,Digital_Transcription_Available,Key_Notable_Features
HT 1,"Hagia Triada","Villa Reale, Room 4","Stone (serpentine)","Libation table (table à libations)",LM IA,49,"Religious / Dedicatory","Heraklion Archaeological Museum","HM 49","GORILA 1 pp.1-5; Godart & Olivier 1976","Yes (lineara.xyz, SigLA)","Yes (Younger, lineara.xyz, SigLA)","Longest known Linear A text; opening formula a-ka-ra-na / ja-sa-sa-ra-me; religious dedication formula"
HT 2,"Hagia Triada","Villa Reale, Room 4","Stone (serpentine)","Libation table",LM IA,46,"Religious / Dedicatory","Heraklion Archaeological Museum","HM 50","GORILA 1 pp.6-10; Godart & Olivier 1976","Yes (lineara.xyz, SigLA)","Yes (Younger, lineara.xyz, SigLA)","Second longest tablet; contains ja-sa-sa-ra-me formula"
HT 3,"Hagia Triada","Villa Reale, Room 4","Stone (serpentine)","Libation table",LM IA,25,"Religious / Dedicatory","Heraklion Archaeological Museum","HM 51","GORILA 1 pp.11-13","Yes (lineara.xyz, SigLA)","Yes (Younger, lineara.xyz)","Triple-opening formula; religious context"
HT 4,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,12,"Administrative","Heraklion Archaeological Museum","HM 296","GORILA 1 pp.14-15","Yes (lineara.xyz, SigLA)","Yes (Younger, lineara.xyz)","Commodity list with logograms"
HT 5,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,8,"Administrative","Heraklion Archaeological Museum","HM 297","GORILA 1 pp.16-17","Yes (lineara.xyz, SigLA)","Yes (Younger, lineara.xyz)","Agricultural record"
HT 6,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,15,"Administrative","Heraklion Archaeological Museum","HM 298","GORILA 1 pp.18-19","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","List of personnel?"
HT 7,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,7,"Administrative","Heraklion Archaeological Museum","HM 299","GORILA 1 pp.20-21","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Short commodity text"
HT 8,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,11,"Administrative","Heraklion Archaeological Museum","HM 300","GORILA 1 pp.22-23","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Contains fraction signs"
HT 9,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,9,"Administrative","Heraklion Archaeological Museum","HM 301","GORILA 1 pp.24-25","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Animal ideograms"
HT 10,"Hagia Triada","Villa Reale","Clay","Tablet (page-shaped)",LM IB,14,"Administrative","Heraklion Archaeological Museum","HM 302","GORILA 1 pp.26-27","Yes (lineara.xyz)","Yes (Younger, lineara.xyz)","Multiple entries"
