bennettId,unicode,character,transliteration,signType
CHIC 001,U+E000,,,syllabogram
CHIC 002,U+E001,,,syllabogram
CHIC 003,U+E002,,,syllabogram
CHIC 004,U+E003,,,syllabogram
CHIC 005,U+E004,,,syllabogram
CHIC 006,U+E005,,,syllabogram
CHIC 007,U+E006,,,syllabogram
CHIC 008,U+E007,,,syllabogram
CHIC 009,U+E008,,,syllabogram
CHIC 010,U+E009,,,syllabogram
CHIC 011,U+E00A,,,syllabogram
CHIC 012,U+E00B,,,syllabogram
CHIC 013,U+E00C,,,syllabogram
CHIC 014,U+E00D,,,syllabogram
CHIC 015,U+E00E,,,syllabogram
CHIC 016,U+E00F,,,syllabogram
CHIC 017,U+E010,,,syllabogram
CHIC 018,U+E011,,,syllabogram
CHIC 019,U+E012,,,syllabogram
CHIC 020,U+E013,,,syllabogram
CHIC 021,U+E014,,,syllabogram
CHIC 022,U+E015,,,syllabogram
CHIC 023,U+E016,,,syllabogram
CHIC 024,U+E017,,,syllabogram
CHIC 025,U+E018,,,syllabogram
CHIC 026,U+E019,,,syllabogram
CHIC 027,U+E01A,,,syllabogram
CHIC 028,U+E01B,,,syllabogram
CHIC 029,U+E01C,,,syllabogram
CHIC 030,U+E01D,,,syllabogram
CHIC 031,U+E01E,,,syllabogram
CHIC 032,U+E01F,,,syllabogram
CHIC 033,U+E020,,,syllabogram
CHIC 034,U+E021,,,syllabogram
CHIC 035,U+E022,,,syllabogram
CHIC 036,U+E023,,,syllabogram
CHIC 037,U+E024,,,syllabogram
CHIC 038,U+E025,,,syllabogram
CHIC 039,U+E026,,,syllabogram
CHIC 040,U+E027,,,syllabogram
CHIC 041,U+E028,,,syllabogram
CHIC 042,U+E029,,,syllabogram
CHIC 043,U+E02A,,,syllabogram
CHIC 044,U+E02B,,,syllabogram
CHIC 045,U+E02C,,,syllabogram
CHIC 046,U+E02D,,,syllabogram
CHIC 047,U+E02E,,,syllabogram
CHIC 048,U+E02F,,,syllabogram
CHIC 049,U+E030,,,syllabogram
CHIC 050,U+E031,,,syllabogram
CHIC 051,U+E032,,,syllabogram
CHIC 052,U+E033,,,syllabogram
CHIC 053,U+E034,,,syllabogram
CHIC 054,U+E035,,,syllabogram
CHIC 055,U+E036,,,syllabogram
CHIC 056,U+E037,,,syllabogram
CHIC 057,U+E038,,,syllabogram
CHIC 058,U+E039,,,syllabogram
CHIC 059,U+E03A,,,syllabogram
CHIC 060,U+E03B,,,syllabogram
CHIC 061,U+E03C,,,syllabogram
CHIC 062,U+E03D,,,syllabogram
CHIC 063,U+E03E,,,syllabogram
CHIC 064,U+E03F,,,syllabogram
CHIC 065,U+E040,,,syllabogram
CHIC 066,U+E041,,,syllabogram
CHIC 067,U+E042,,,syllabogram
CHIC 068,U+E043,,,syllabogram
CHIC 069,U+E044,,,syllabogram
CHIC 070,U+E045,,,syllabogram
CHIC 071,U+E046,,,syllabogram
CHIC 072,U+E047,,,syllabogram
CHIC 073,U+E048,,,syllabogram
CHIC 074,U+E049,,,syllabogram
CHIC 075,U+E04A,,,syllabogram
CHIC 076,U+E04B,,,syllabogram
CHIC 077,U+E04C,,,syllabogram
CHIC 078,U+E04D,,,syllabogram
CHIC 079,U+E04E,,,syllabogram
CHIC 080,U+E04F,,,syllabogram
CHIC 081,U+E050,,,logogram
CHIC 082,U+E051,,,logogram
CHIC 083,U+E052,,,logogram
CHIC 084,U+E053,,,logogram
CHIC 085,U+E054,,,logogram
CHIC 086,U+E055,,,logogram
CHIC 087,U+E056,,,logogram
CHIC 088,U+E057,,,logogram
CHIC 089,U+E058,,,logogram
CHIC 090,U+E059,,,logogram
CHIC 091,U+E05A,,,logogram
CHIC 092,U+E05B,,,logogram
CHIC 093,U+E05C,,,logogram
CHIC 094,U+E05D,,,logogram
CHIC 095,U+E05E,,,logogram
CHIC 096,U+E05F,,,logogram
