bennettId,unicode,character,transliteration,signType
CM 001,U+12F90,𒾐,,syllabogram
CM 002,U+12F91,𒾑,,syllabogram
CM 003,U+12F92,𒾒,,syllabogram
CM 004,U+12F93,𒾓,,syllabogram
CM 005,U+12F94,𒾔,,syllabogram
CM 006,U+12F95,𒾕,,syllabogram
CM 007,U+12F96,𒾖,,syllabogram
CM 008,U+12F97,𒾗,,syllabogram
CM 009,U+12F98,𒾘,,syllabogram
CM 010,U+12F99,𒾙,,syllabogram
CM 011,U+12F9A,𒾚,,syllabogram
CM 012,U+12F9B,𒾛,,syllabogram
CM 013,U+12F9C,𒾜,,syllabogram
CM 014,U+12F9D,𒾝,,syllabogram
CM 015,U+12F9E,𒾞,,syllabogram
CM 016,U+12F9F,𒾟,,syllabogram
CM 017,U+12FA0,𒾠,,syllabogram
CM 018,U+12FA1,𒾡,,syllabogram
CM 019,U+12FA2,𒾢,,syllabogram
CM 020,U+12FA3,𒾣,,syllabogram
CM 021,U+12FA4,𒾤,,syllabogram
CM 022,U+12FA5,𒾥,,syllabogram
CM 023,U+12FA6,𒾦,,syllabogram
CM 024,U+12FA7,𒾧,,syllabogram
CM 025,U+12FA8,𒾨,,syllabogram
CM 026,U+12FA9,𒾩,,syllabogram
CM 027,U+12FAA,𒾪,,syllabogram
CM 028,U+12FAB,𒾫,,syllabogram
CM 029,U+12FAC,𒾬,,syllabogram
CM 030,U+12FAD,𒾭,,syllabogram
CM 031,U+12FAE,𒾮,,syllabogram
CM 032,U+12FAF,𒾯,,syllabogram
CM 033,U+12FB0,𒾰,,syllabogram
CM 034,U+12FB1,𒾱,,syllabogram
CM 035,U+12FB2,𒾲,,syllabogram
CM 036,U+12FB3,𒾳,,syllabogram
CM 037,U+12FB4,𒾴,,syllabogram
CM 038,U+12FB5,𒾵,,syllabogram
CM 039,U+12FB6,𒾶,,syllabogram
CM 040,U+12FB7,𒾷,,syllabogram
CM 041,U+12FB8,𒾸,,syllabogram
CM 042,U+12FB9,𒾹,,syllabogram
CM 043,U+12FBA,𒾺,,syllabogram
CM 044,U+12FBB,𒾻,,syllabogram
CM 045,U+12FBC,𒾼,,syllabogram
CM 046,U+12FBD,𒾽,,syllabogram
CM 047,U+12FBE,𒾾,,syllabogram
CM 048,U+12FBF,𒾿,,syllabogram
CM 049,U+12FC0,𒿀,,syllabogram
CM 050,U+12FC1,𒿁,,syllabogram
CM 051,U+12FC2,𒿂,,syllabogram
CM 052,U+12FC3,𒿃,,syllabogram
CM 053,U+12FC4,𒿄,,syllabogram
CM 054,U+12FC5,𒿅,,syllabogram
CM 055,U+12FC6,𒿆,,syllabogram
CM 056,U+12FC7,𒿇,,syllabogram
CM 057,U+12FC8,𒿈,,syllabogram
CM 058,U+12FC9,𒿉,,syllabogram
CM 059,U+12FCA,𒿊,,syllabogram
CM 060,U+12FCB,𒿋,,syllabogram
CM 061,U+12FCC,𒿌,,syllabogram
CM 062,U+12FCD,𒿍,,syllabogram
CM 063,U+12FCE,𒿎,,syllabogram
CM 064,U+12FCF,𒿏,,syllabogram
CM 065,U+12FD0,𒿐,,syllabogram
CM 066,U+12FD1,𒿑,,syllabogram
CM 067,U+12FD2,𒿒,,syllabogram
CM 068,U+12FD3,𒿓,,syllabogram
CM 069,U+12FD4,𒿔,,syllabogram
CM 070,U+12FD5,𒿕,,syllabogram
CM 071,U+12FD6,𒿖,,syllabogram
CM 072,U+12FD7,𒿗,,syllabogram
CM 073,U+12FD8,𒿘,,syllabogram
CM 074,U+12FD9,𒿙,,syllabogram
CM 075,U+12FDA,𒿚,,syllabogram
CM 076,U+12FDB,𒿛,,syllabogram
CM 077,U+12FDC,𒿜,,syllabogram
CM 078,U+12FDD,𒿝,,syllabogram
CM 079,U+12FDE,𒿞,,syllabogram
CM 080,U+12FDF,𒿟,,syllabogram
CM 081,U+12FE0,𒿠,,syllabogram
CM 082,U+12FE1,𒿡,,syllabogram
CM 083,U+12FE2,𒿢,,syllabogram
CM 084,U+12FE3,𒿣,,syllabogram
CM 085,U+12FE4,𒿤,,syllabogram
CM 086,U+12FE5,𒿥,,syllabogram
CM 087,U+12FE6,𒿦,,logogram
CM 088,U+12FE7,𒿧,,logogram
CM 089,U+12FE8,𒿨,,logogram
