link_type,sign_a,sign_b,shared_following_sign,shared_preceding_sign,bigram_total,total_common_right,total_common_left,common_right_signs,common_left_signs
consonant-candidate,AB 05,AB 70,AB 12,,334,50,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 14,AB 12,,320,27,,"AB 02, AB 05, AB 09, AB 12, AB 13",
vowel-candidate,AB 44,AB 68,,AB 38,311,,5,,"AB 03, AB 08, AB 38, AB 78, AB 81"
vowel-candidate,AB 44,AB 65,,AB 38,311,,6,,"AB 08, AB 28, AB 38, AB 42, AB 53"
vowel-candidate,AB 44,AB 32,,AB 38,310,,25,,"AB 02, AB 03, AB 05, AB 06, AB 08"
consonant-candidate,AB 05,AB 06,AB 12,,284,44,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 30,AB 12,,274,19,,"AB 03, AB 05, AB 07, AB 08, AB 12",
consonant-candidate,AB 05,AB 50,AB 12,,272,23,,"AB 01, AB 02, AB 04, AB 05, AB 06",
consonant-candidate,AB 05,AB 11,AB 12,,271,40,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 53,AB 12,,269,44,,"AB 01, AB 03, AB 04, AB 05, AB 06",
consonant-candidate,AB 05,AB 54,AB 12,,269,39,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 45,AB 12,,267,42,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 57,AB 12,,267,55,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 28,AB 12,,263,43,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 01,AB 12,,263,34,,"AB 01, AB 02, AB 04, AB 05, AB 06",
consonant-candidate,AB 05,AB 47,AB 12,,263,3,,"AB 01, AB 12, AB 37",
consonant-candidate,AB 05,AB 40,AB 12,,262,26,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 32,AB 12,,262,28,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 56,AB 05,AB 12,,261,9,,"AB 01, AB 12, AB 26, AB 28, AB 37",
consonant-candidate,AB 05,AB 55,AB 12,,261,21,,"AB 03, AB 05, AB 08, AB 09, AB 12",
consonant-candidate,AB 05,AB 80,AB 12,,261,36,,"AB 01, AB 02, AB 04, AB 05, AB 06",
consonant-candidate,AB 05,AB 43,AB 12,,260,14,,"AB 04, AB 12, AB 13, AB 30, AB 31",
consonant-candidate,AB 05,AB 39,AB 12,,260,47,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 03,AB 12,,259,41,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 38,AB 12,,259,45,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 73,AB 12,,259,19,,"AB 03, AB 04, AB 05, AB 08, AB 12",
consonant-candidate,AB 05,AB 81,AB 12,,259,32,,"AB 01, AB 02, AB 03, AB 04, AB 06",
consonant-candidate,AB 05,AB 74,AB 12,,259,8,,"AB 02, AB 05, AB 10, AB 12, AB 29",
consonant-candidate,AB 05,AB 67,AB 12,,258,28,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 48,AB 12,,258,6,,"AB 12, AB 27, AB 36, AB 37, AB 41",
consonant-candidate,AB 05,AB 44,AB 12,,258,44,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 49,AB 12,,258,1,,AB 12,
consonant-candidate,AB 05,AB 17,AB 12,,258,17,,"AB 02, AB 05, AB 06, AB 08, AB 12",
consonant-candidate,AB 05,AB 07,AB 12,,258,23,,"AB 01, AB 02, AB 03, AB 10, AB 12",
consonant-candidate,AB 05,AB 09,AB 12,,258,21,,"AB 01, AB 02, AB 04, AB 05, AB 10",
consonant-candidate,AB 05,AB 63,AB 12,,258,3,,"AB 04, AB 10, AB 12",
consonant-candidate,AB 05,AB 16,AB 12,,258,28,,"AB 01, AB 02, AB 04, AB 05, AB 06",
consonant-candidate,AB 03,AB 51,AB 02,,258,12,,"AB 02, AB 05, AB 06, AB 15, AB 30",
consonant-candidate,AB 14,AB 02,AB 38,,254,26,,"AB 02, AB 05, AB 09, AB 13, AB 15",
consonant-candidate,AB 03,AB 29,AB 02,,254,11,,"AB 02, AB 04, AB 27, AB 37, AB 40",
consonant-candidate,AB 70,AB 65,AB 05,,251,4,,"AB 05, AB 77, AB 78, AB 80",
vowel-candidate,AB 43,AB 05,,AB 70,251,,12,,"AB 02, AB 05, AB 06, AB 15, AB 28"
consonant-candidate,AB 70,AB 35,AB 05,,249,2,,"AB 05, AB 67",
vowel-candidate,AB 42,AB 43,,AB 70,237,,12,,"AB 02, AB 05, AB 06, AB 15, AB 28"
consonant-candidate,AB 06,AB 65,AB 05,,223,4,,"AB 05, AB 77, AB 78, AB 80",
consonant-candidate,AB 06,AB 35,AB 05,,221,2,,"AB 05, AB 67",
vowel-candidate,AB 06,AB 91,,AB 61,210,,1,,AB 61
consonant-candidate,AB 41,AB 21,AB 36,,204,7,,"AB 36, AB 41, AB 42, AB 53, AB 57",
consonant-candidate,AB 41,AB 64,AB 36,,202,2,,"AB 36, AB 57",
consonant-candidate,AB 41,AB 48,AB 36,,199,4,,"AB 27, AB 36, AB 41, AB 59",
consonant-candidate,AB 14,AB 20,AB 38,,196,9,,"AB 02, AB 05, AB 13, AB 36, AB 38",
consonant-candidate,AB 14,AB 27,AB 38,,190,23,,"AB 02, AB 05, AB 09, AB 13, AB 15",
consonant-candidate,AB 27,AB 46,AB 10,,187,17,,"AB 02, AB 04, AB 05, AB 10, AB 14",
consonant-candidate,AB 53,AB 64,AB 36,,186,2,,"AB 36, AB 57",
vowel-candidate,AB 59,AB 60,,AB 77,185,,51,,"AB 01, AB 02, AB 03, AB 04, AB 05"
consonant-candidate,AB 14,AB 42,AB 38,,182,25,,"AB 02, AB 05, AB 13, AB 15, AB 27",
vowel-candidate,AB 60,AB 44,,AB 77,180,,44,,"AB 01, AB 02, AB 03, AB 04, AB 05"
consonant-candidate,AB 14,AB 78,AB 38,,178,19,,"AB 02, AB 05, AB 13, AB 15, AB 27",
consonant-candidate,AB 14,AB 24,AB 38,,171,21,,"AB 05, AB 13, AB 15, AB 27, AB 36",
consonant-candidate,AB 27,AB 74,AB 10,,171,6,,"AB 02, AB 05, AB 10, AB 37, AB 75",
consonant-candidate,AB 27,AB 63,AB 10,,170,2,,"AB 04, AB 10",
vowel-candidate,AB 10,AB 82,,AB 27,170,,1,,AB 27
consonant-candidate,AB 14,AB 61,AB 38,,169,25,,"AB 02, AB 05, AB 09, AB 13, AB 15",
vowel-candidate,AB 10,AB 90,,AB 27,169,,1,,AB 27
consonant-candidate,AB 14,AB 25,AB 38,,167,14,,"AB 02, AB 05, AB 13, AB 27, AB 38",
consonant-candidate,AB 14,AB 41,AB 38,,165,20,,"AB 02, AB 05, AB 13, AB 27, AB 30",
consonant-candidate,AB 14,AB 83,AB 38,,165,3,,"AB 27, AB 36, AB 38",
consonant-candidate,AB 14,AB 68,AB 38,,164,5,,"AB 32, AB 36, AB 38, AB 60, AB 81",
vowel-candidate,AB 81,AB 45,,AB 12,164,,28,,"AB 02, AB 03, AB 04, AB 05, AB 06"
consonant-candidate,AB 14,AB 31,AB 38,,163,21,,"AB 02, AB 05, AB 13, AB 27, AB 30",
consonant-candidate,AB 14,AB 72,AB 38,,163,20,,"AB 02, AB 05, AB 09, AB 13, AB 15",
vowel-candidate,AB 04,AB 60,,AB 77,163,,49,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 78,AB 45,,AB 12,163,,26,,"AB 02, AB 03, AB 04, AB 05, AB 06"
vowel-candidate,AB 60,AB 06,,AB 77,162,,39,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 16,AB 45,,AB 12,162,,21,,"AB 02, AB 04, AB 05, AB 08, AB 10"
consonant-candidate,AB 14,AB 37,AB 38,,161,22,,"AB 02, AB 05, AB 09, AB 13, AB 27",
consonant-candidate,AB 14,AB 13,AB 38,,161,16,,"AB 02, AB 05, AB 27, AB 30, AB 37",
consonant-candidate,AB 14,AB 62,AB 38,,161,6,,"AB 27, AB 37, AB 38, AB 52, AB 53",
consonant-candidate,AB 14,AB 90,AB 38,,160,2,,"AB 36, AB 38",
vowel-candidate,AB 13,AB 45,,AB 12,160,,30,,"AB 02, AB 03, AB 04, AB 05, AB 06"
vowel-candidate,AB 45,AB 58,,AB 12,158,,12,,"AB 02, AB 05, AB 06, AB 12, AB 36"
vowel-candidate,AB 21,AB 45,,AB 12,157,,11,,"AB 04, AB 05, AB 08, AB 12, AB 39"
vowel-candidate,AB 54,AB 43,,AB 70,157,,12,,"AB 02, AB 05, AB 06, AB 15, AB 28"
vowel-candidate,AB 60,AB 80,,AB 77,154,,39,,"AB 01, AB 02, AB 04, AB 05, AB 06"
consonant-candidate,AB 02,AB 44,AB 38,,153,43,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 02,AB 57,AB 38,,149,54,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 20,AB 05,AB 38,,147,19,,"AB 01, AB 02, AB 03, AB 04, AB 05",
vowel-candidate,AB 03,AB 60,,AB 77,147,,42,,"AB 02, AB 03, AB 04, AB 05, AB 06"
vowel-candidate,AB 44,AB 64,,AB 08,145,,1,,AB 08
consonant-candidate,AB 70,AB 14,AB 12,,142,25,,"AB 02, AB 05, AB 12, AB 13, AB 15",
consonant-candidate,AB 38,AB 69,AB 70,,142,25,,"AB 02, AB 04, AB 05, AB 06, AB 08",
consonant-candidate,AB 05,AB 27,AB 38,,141,43,,"AB 02, AB 03, AB 04, AB 05, AB 06",
vowel-candidate,AB 59,AB 44,,AB 77,141,,48,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 31,AB 60,,AB 77,139,,32,,"AB 02, AB 03, AB 04, AB 05, AB 06"
vowel-candidate,AB 70,AB 60,,AB 77,138,,51,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 05,,AB 77,138,,51,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 44,AB 79,,AB 08,138,,2,,"AB 08, AB 80"
consonant-candidate,AB 38,AB 58,AB 70,,137,11,,"AB 02, AB 03, AB 05, AB 08, AB 20",
consonant-candidate,AB 38,AB 76,AB 70,,136,9,,"AB 04, AB 05, AB 08, AB 37, AB 42",
vowel-candidate,AB 57,AB 76,,AB 37,135,,8,,"AB 03, AB 16, AB 37, AB 39, AB 44"
vowel-candidate,AB 60,AB 62,,AB 59,135,,5,,"AB 07, AB 26, AB 59, AB 60, AB 78"
consonant-candidate,AB 20,AB 02,AB 38,,134,18,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 38,AB 23,AB 70,,134,5,,"AB 02, AB 05, AB 37, AB 59, AB 70",
consonant-candidate,AB 38,AB 33,AB 70,,134,3,,"AB 42, AB 54, AB 70",
vowel-candidate,AB 70,AB 68,,AB 38,134,,5,,"AB 03, AB 08, AB 38, AB 69, AB 78"
vowel-candidate,AB 70,AB 65,,AB 38,134,,6,,"AB 08, AB 28, AB 38, AB 42, AB 53"
consonant-candidate,AB 05,AB 42,AB 38,,133,48,,"AB 01, AB 02, AB 03, AB 04, AB 05",
vowel-candidate,AB 60,AB 68,,AB 38,133,,6,,"AB 03, AB 08, AB 38, AB 69, AB 78"
vowel-candidate,AB 60,AB 65,,AB 38,133,,6,,"AB 08, AB 28, AB 38, AB 42, AB 53"
vowel-candidate,AB 70,AB 32,,AB 38,133,,28,,"AB 02, AB 03, AB 05, AB 06, AB 07"
consonant-candidate,AB 38,AB 82,AB 70,,132,4,,"AB 45, AB 61, AB 70, AB 80",
consonant-candidate,AB 38,AB 79,AB 70,,132,2,,"AB 04, AB 70",
vowel-candidate,AB 61,AB 60,,AB 77,132,,45,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 32,,AB 38,132,,29,,"AB 02, AB 03, AB 05, AB 06, AB 07"
consonant-candidate,AB 36,AB 20,AB 38,,131,19,,"AB 01, AB 02, AB 03, AB 04, AB 05",
vowel-candidate,AB 27,AB 60,,AB 77,131,,49,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 75,,AB 77,131,,46,,"AB 01, AB 02, AB 03, AB 04, AB 05"
consonant-candidate,AB 05,AB 78,AB 38,,129,35,,"AB 01, AB 02, AB 03, AB 04, AB 05",
vowel-candidate,AB 38,AB 60,,AB 77,129,,50,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 02,,AB 77,129,,50,,"AB 01, AB 02, AB 03, AB 04, AB 05"
consonant-candidate,AB 02,AB 27,AB 38,,128,44,,"AB 02, AB 03, AB 04, AB 05, AB 06",
consonant-candidate,AB 30,AB 64,AB 36,,128,2,,"AB 36, AB 57",
vowel-candidate,AB 60,AB 41,,AB 77,128,,41,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 42,,AB 77,127,,50,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 57,AB 48,,AB 37,127,,3,,"AB 01, AB 37, AB 41"
vowel-candidate,AB 60,AB 53,,AB 77,126,,49,,"AB 02, AB 03, AB 04, AB 05, AB 07"
vowel-candidate,AB 60,AB 40,,AB 77,126,,39,,"AB 01, AB 02, AB 03, AB 04, AB 05"
consonant-candidate,AB 36,AB 27,AB 38,,125,44,,"AB 02, AB 03, AB 04, AB 05, AB 06",
consonant-candidate,AB 69,AB 06,AB 70,,125,20,,"AB 02, AB 04, AB 05, AB 08, AB 20",
consonant-candidate,AB 61,AB 64,AB 36,,124,2,,"AB 36, AB 57",
vowel-candidate,AB 59,AB 04,,AB 77,124,,52,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 26,,AB 77,124,,27,,"AB 02, AB 04, AB 05, AB 08, AB 10"
vowel-candidate,AB 59,AB 06,,AB 77,123,,38,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 36,AB 91,,AB 61,123,,1,,AB 61
vowel-candidate,AB 15,AB 83,,AB 01,123,,1,,AB 01
consonant-candidate,AB 06,AB 02,AB 38,,122,45,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 24,AB 38,,122,34,,"AB 01, AB 03, AB 04, AB 05, AB 08",
consonant-candidate,AB 70,AB 51,AB 02,,122,14,,"AB 02, AB 05, AB 06, AB 15, AB 26",
vowel-candidate,AB 15,AB 87,,AB 01,122,,1,,AB 01
vowel-candidate,AB 60,AB 12,,AB 77,121,,40,,"AB 01, AB 03, AB 04, AB 05, AB 06"
vowel-candidate,AB 60,AB 24,,AB 77,121,,35,,"AB 01, AB 02, AB 05, AB 06, AB 08"
vowel-candidate,AB 60,AB 37,,AB 77,121,,46,,"AB 02, AB 03, AB 04, AB 05, AB 06"
vowel-candidate,AB 60,AB 28,,AB 77,121,,41,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 01,,AB 77,121,,46,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 77,,AB 77,121,,49,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 08,,AB 77,121,,44,,"AB 02, AB 03, AB 04, AB 05, AB 06"
consonant-candidate,AB 05,AB 61,AB 38,,120,49,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 80,AB 02,AB 38,,120,35,,"AB 01, AB 02, AB 04, AB 05, AB 06",
consonant-candidate,AB 42,AB 02,AB 38,,120,52,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 06,AB 58,AB 70,,120,10,,"AB 02, AB 03, AB 05, AB 08, AB 20",
vowel-candidate,AB 02,AB 43,,AB 70,120,,12,,"AB 02, AB 05, AB 06, AB 15, AB 28"
vowel-candidate,AB 15,AB 48,,AB 01,120,,1,,AB 01
consonant-candidate,AB 76,AB 06,AB 70,,119,8,,"AB 04, AB 05, AB 08, AB 37, AB 42",
vowel-candidate,AB 04,AB 44,,AB 77,119,,45,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 45,,AB 77,119,,37,,"AB 02, AB 03, AB 04, AB 05, AB 06"
vowel-candidate,AB 60,AB 52,,AB 77,119,,44,,"AB 01, AB 02, AB 03, AB 05, AB 06"
vowel-candidate,AB 60,AB 54,,AB 77,119,,43,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 07,,AB 77,119,,25,,"AB 02, AB 05, AB 08, AB 10, AB 11"
consonant-candidate,AB 05,AB 25,AB 38,,118,24,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 02,AB 70,AB 38,,118,50,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 70,AB 29,AB 02,,118,11,,"AB 02, AB 04, AB 26, AB 27, AB 37",
vowel-candidate,AB 60,AB 10,,AB 77,118,,34,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 06,AB 44,,AB 77,118,,34,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 14,AB 85,,AB 36,118,,6,,"AB 05, AB 36, AB 52, AB 57, AB 59"
consonant-candidate,AB 36,AB 42,AB 38,,117,51,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 54,AB 69,AB 70,,117,20,,"AB 02, AB 04, AB 05, AB 06, AB 08",
consonant-candidate,AB 06,AB 23,AB 70,,117,5,,"AB 02, AB 05, AB 37, AB 59, AB 70",
consonant-candidate,AB 06,AB 33,AB 70,,117,3,,"AB 42, AB 54, AB 70",
vowel-candidate,AB 60,AB 36,,AB 77,117,,44,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 14,,AB 77,117,,39,,"AB 01, AB 02, AB 03, AB 04, AB 05"
consonant-candidate,AB 05,AB 41,AB 38,,116,36,,"AB 01, AB 02, AB 03, AB 04, AB 05",
consonant-candidate,AB 05,AB 83,AB 38,,116,4,,"AB 27, AB 36, AB 38, AB 61",
consonant-candidate,AB 02,AB 78,AB 38,,116,34,,"AB 01, AB 02, AB 03, AB 04, AB 05",
vowel-candidate,AB 60,AB 15,,AB 77,116,,30,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 30,,AB 77,116,,35,,"AB 02, AB 03, AB 05, AB 06, AB 08"
vowel-candidate,AB 60,AB 11,,AB 77,116,,40,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 60,AB 72,,AB 77,116,,34,,"AB 01, AB 02, AB 03, AB 04, AB 05"
vowel-candidate,AB 27,AB 68,,AB 38,116,,6,,"AB 03, AB 08, AB 38, AB 69, AB 78"
vowel-candidate,AB 27,AB 65,,AB 38,116,,5,,"AB 08, AB 28, AB 38, AB 42, AB 72"
consonant-candidate,AB 05,AB 68,AB 38,,115,8,,"AB 08, AB 24, AB 32, AB 36, AB 38",
