triple_id,total_connections,connections,sign_1,sign_2,sign_3,shared_following,shared_preceding,s1_in_uncertain,s2_in_uncertain,s3_in_uncertain,uncertain_count,sign_1_ml_pred,sign_2_ml_pred,sign_3_ml_pred,sign_1_ml_conf,sign_2_ml_conf,sign_3_ml_conf,sign_1_pos_init,sign_2_pos_init,sign_3_pos_init,sign_1_pos_fin,sign_2_pos_fin,sign_3_pos_fin,sign_1_total_occ,sign_2_total_occ,sign_3_total_occ
9761,3,"C,V,both",AB 05,AB 36,AB 70,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.042,0.55,0.504,0.816,0.176,1789,1676,1564
9789,3,"C,V,both",AB 05,AB 36,AB 38,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.042,0.701,0.504,0.816,0.127,1789,1676,1563
2759,3,"C,V,both",AB 02,AB 36,AB 05,AB 56,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.042,0.274,0.677,0.816,0.504,1479,1676,1789
11292,3,"C,V,both",AB 05,AB 38,AB 70,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.701,0.55,0.504,0.127,0.176,1789,1563,1564
4860,3,"C,V,both",AB 02,AB 70,AB 05,"AB 12,AB 38,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.55,0.274,0.677,0.176,0.504,1479,1564,1789
4413,3,"C,V,both",AB 02,AB 38,AB 05,"AB 12,AB 38,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.701,0.274,0.677,0.127,0.504,1479,1563,1789
48280,3,"C,V,both",AB 36,AB 38,AB 70,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.042,0.701,0.55,0.816,0.127,0.176,1676,1563,1564
9748,3,"C,V,both",AB 05,AB 36,AB 08,AB 56,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.042,0.904,0.504,0.816,0.074,1789,1676,1286
9783,3,"C,V,both",AB 05,AB 36,AB 61,"AB 38,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.042,0.61,0.504,0.816,0.231,1789,1676,1275
9795,3,"C,V,both",AB 05,AB 36,AB 44,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.042,0.277,0.504,0.816,0.21,1789,1676,1268
2729,3,"C,V,both",AB 02,AB 36,AB 70,"AB 12,AB 38,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.042,0.55,0.677,0.816,0.176,1479,1676,1564
2760,3,"C,V,both",AB 02,AB 36,AB 38,"AB 12,AB 38,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.042,0.701,0.677,0.816,0.127,1479,1676,1563
9785,3,"C,V,both",AB 05,AB 36,AB 60,AB 56,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.042,0.224,0.504,0.816,0.262,1789,1676,1243
9541,3,"C,V,both",AB 05,AB 57,AB 36,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.059,0.042,0.504,0.654,0.816,1789,1222,1676
9771,3,"C,V,both",AB 05,AB 36,AB 59,AB 56,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.042,0.18,0.504,0.816,0.436,1789,1676,1217
11175,3,"C,V,both",AB 05,AB 08,AB 70,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.904,0.55,0.504,0.074,0.176,1789,1286,1564
11189,3,"C,V,both",AB 05,AB 08,AB 38,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.904,0.701,0.504,0.074,0.127,1789,1286,1563
11615,3,"C,V,both",AB 05,AB 61,AB 70,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.61,0.55,0.504,0.231,0.176,1789,1275,1564
11304,3,"C,V,both",AB 05,AB 38,AB 61,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.701,0.61,0.504,0.127,0.231,1789,1563,1275
10848,3,"C,V,both",AB 05,AB 44,AB 70,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.277,0.55,0.504,0.21,0.176,1789,1268,1564
10864,3,"C,V,both",AB 05,AB 44,AB 38,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.277,0.701,0.504,0.21,0.127,1789,1268,1563
4398,3,"C,V,both",AB 02,AB 38,AB 70,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.701,0.55,0.677,0.127,0.176,1479,1563,1564
10712,3,"C,V,both",AB 05,AB 60,AB 70,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.224,0.55,0.504,0.262,0.176,1789,1243,1564
10729,3,"C,V,both",AB 05,AB 60,AB 38,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.224,0.701,0.504,0.262,0.127,1789,1243,1563
7514,3,"C,V,both",AB 04,AB 36,AB 05,AB 56,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.28,0.042,0.274,0.265,0.816,0.504,1118,1676,1789
9565,3,"C,V,both",AB 05,AB 57,AB 70,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.059,0.55,0.504,0.654,0.176,1789,1222,1564
9594,3,"C,V,both",AB 05,AB 57,AB 38,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.059,0.701,0.504,0.654,0.127,1789,1222,1563
11701,3,"C,V,both",AB 05,AB 70,AB 59,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.55,0.18,0.504,0.176,0.436,1789,1564,1217
11297,3,"C,V,both",AB 05,AB 38,AB 59,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.274,0.701,0.18,0.504,0.127,0.436,1789,1563,1217
4286,3,"C,V,both",AB 02,AB 08,AB 05,AB 56,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.904,0.274,0.677,0.074,0.504,1479,1286,1789
4759,3,"C,V,both",AB 02,AB 61,AB 05,"AB 38,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.61,0.274,0.677,0.231,0.504,1479,1275,1789
3942,3,"C,V,both",AB 02,AB 44,AB 05,"AB 12,AB 38,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.277,0.274,0.677,0.21,0.504,1479,1268,1789
16088,3,"C,V,both",AB 08,AB 36,AB 70,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.904,0.042,0.55,0.074,0.816,0.176,1286,1676,1564
16115,3,"C,V,both",AB 08,AB 36,AB 38,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.904,0.042,0.701,0.074,0.816,0.127,1286,1676,1563
48383,3,"C,V,both",AB 36,AB 61,AB 70,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.042,0.61,0.55,0.816,0.231,0.176,1676,1275,1564
48286,3,"C,V,both",AB 36,AB 38,AB 61,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.042,0.701,0.61,0.816,0.127,0.231,1676,1563,1275
3803,3,"C,V,both",AB 02,AB 60,AB 05,AB 56,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.224,0.274,0.677,0.262,0.504,1479,1243,1789
48072,3,"C,V,both",AB 36,AB 44,AB 70,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.042,0.277,0.55,0.816,0.21,0.176,1676,1268,1564
48081,3,"C,V,both",AB 36,AB 44,AB 38,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.042,0.277,0.701,0.816,0.21,0.127,1676,1268,1563
2556,3,"C,V,both",AB 02,AB 57,AB 05,"AB 12,AB 38,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.059,0.274,0.677,0.654,0.504,1479,1222,1789
4877,3,"C,V,both",AB 02,AB 59,AB 05,AB 56,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.18,0.274,0.677,0.436,0.504,1479,1217,1789
