translit,sign_id,source,confidence
a,AB 08,unicode_lb,high
a2,AB 25,unicode_lb,high
a3,AB 43,unicode_lb,high
au,AB 85,unicode_lb,high
da,AB 01,unicode_lb,high
de,AB 45,unicode_lb,high
di,AB 07,unicode_lb,high
do,AB 14,unicode_lb,high
du,AB 51,unicode_lb,high
dwe,AB 71,unicode_lb,high
dwo,AB 90,unicode_lb,high
e,AB 38,unicode_lb,high
i,AB 28,unicode_lb,high
ja,AB 57,unicode_lb,high
je,AB 46,unicode_lb,high
jo,AB 36,unicode_lb,high
ju,AB 65,unicode_lb,high
ka,AB 77,unicode_lb,high
ke,AB 44,unicode_lb,high
ki,AB 67,unicode_lb,high
ko,AB 70,unicode_lb,high
koe,LB koe,corpus_only,low
ku,AB 81,unicode_lb,high
ma,AB 80,unicode_lb,high
me,AB 13,unicode_lb,high
mi,AB 73,unicode_lb,high
mo,AB 15,unicode_lb,high
mu,AB 23,unicode_lb,high
na,AB 06,unicode_lb,high
ne,AB 24,unicode_lb,high
ni,AB 30,unicode_lb,high
no,AB 52,unicode_lb,high
nu,AB 55,unicode_lb,high
nwa,AB 48,unicode_lb,high
o,AB 61,unicode_lb,high
pa,AB 03,unicode_lb,high
pe,AB 72,unicode_lb,high
pi,AB 39,unicode_lb,high
po,AB 11,unicode_lb,high
pte,AB 62,unicode_lb,high
pu,AB 50,unicode_lb,high
pu2,AB 29,unicode_lb,high
qa,AB 16,unicode_lb,high
qe,AB 78,unicode_lb,high
qi,AB 21,unicode_lb,high
qo,AB 32,unicode_lb,high
ra,AB 60,unicode_lb,high
ra2,AB 76,unicode_lb,high
ra3,AB 33,unicode_lb,high
re,AB 27,unicode_lb,high
ri,AB 53,unicode_lb,high
ro,AB 02,unicode_lb,high
ro2,AB 68,unicode_lb,high
ru,AB 26,unicode_lb,high
sa,AB 31,unicode_lb,high
se,AB 09,unicode_lb,high
si,AB 41,unicode_lb,high
so,AB 12,unicode_lb,high
su,AB 58,unicode_lb,high
ta,AB 59,unicode_lb,high
ta2,AB 66,unicode_lb,high
te,AB 04,unicode_lb,high
ti,AB 37,unicode_lb,high
to,AB 05,unicode_lb,high
tu,AB 69,unicode_lb,high
twe,AB 87,unicode_lb,high
two,AB 91,unicode_lb,high
u,AB 10,unicode_lb,high
wa,AB 54,unicode_lb,high
we,AB 75,unicode_lb,high
wi,AB 40,unicode_lb,high
wo,AB 42,unicode_lb,high
za,AB 17,unicode_lb,high
ze,AB 74,unicode_lb,high
zo,AB 20,unicode_lb,high
